arrwidth1,arrwidth2,arrwidth3,arrwidth4,arrwidth5,keyb,type,orientation,instruction_image,block_filename,block_type,arrow11,arrow22,arrow33,arrow44,arrow55,keyb_3,orientation3,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,welcome.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,instruction_example.started,instruction_example.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,instruction_task.started,instruction_task.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,A1.started,A1.stopped,A2.started,A2.stopped,A3.started,A3.stopped,A4.started,A4.stopped,A5.started,A5.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,fb.started,fb.stopped,instruction_block.started,instruction_block.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_8.started,text_8.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,text_5.started,text_5.stopped,A11_3.started,A11_3.stopped,A22_2.started,A22_2.stopped,A33_2.started,A33_2.stopped,A44_2.started,A44_2.stopped,A55_2.started,A55_2.stopped,M1_3.started,M1_3.stopped,M2_2.started,M2_2.stopped,M3_2.started,M3_2.stopped,M4_2.started,M4_2.stopped,M5_2.started,M5_2.stopped,M6_2.started,M6_2.stopped,M7_2.started,M7_2.stopped,M8_2.started,M8_2.stopped,key_resp_9.started,key_resp_9.stopped,fixation.started,fixation.stopped,ET,fb_3.started,fb_3.stopped,text_9.started,text_9.stopped,fb_4.started,fb_4.stopped,text_7.started,text_7.stopped,endtext.started,endtext.stopped,fixation_ITI,CCC,Acc,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.836761899998237,None,space,3.861268200002087,12.836761899998237,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11001,002,2023_Dec_29_1637,MFTM_A_new1021,2021.2.3,60.00445232933789,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.725842899999407,None,space,16.628288200001407,16.725842899999407,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11001,002,2023_Dec_29_1637,MFTM_A_new1021,2021.2.3,60.00445232933789,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.36750120000215,None,space,3.6026539999948,33.36750120000215,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11001,002,2023_Dec_29_1637,MFTM_A_new1021,2021.2.3,60.00445232933789,
-0.6,-0.6,-0.6,0.6,0.6,left,3:2,L,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00634989999526,None,37.00634989999526,None,37.00634989999526,None,37.00634989999526,None,37.00634989999526,None,37.00634989999526,None,left,1,2.211807500003488,37.00634989999526,None,39.260813799999596,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11001,002,2023_Dec_29_1637,MFTM_A_new1021,2021.2.3,60.00445232933789,
0.6,0.6,0.6,-0.6,-0.6,right,3:2,R,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,40.01059759999771,None,40.01059759999771,None,40.01059759999771,None,40.01059759999771,None,40.01059759999771,None,40.01059759999771,None,right,1,3.43156689999887,40.01059759999771,None,43.46544410000206,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11001,002,2023_Dec_29_1637,MFTM_A_new1021,2021.2.3,60.00445232933789,
-0.6,-0.6,-0.6,0.6,0.6,left,3:2,L,,,,,,,,,,,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,44.2168285000007,None,44.2168285000007,None,44.2168285000007,None,44.2168285000007,None,44.2168285000007,None,44.2168285000007,None,left,1,1.961535599999479,44.2168285000007,None,46.20342150000215,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11001,002,2023_Dec_29_1637,MFTM_A_new1021,2021.2.3,60.00445232933789,
0.6,0.6,0.6,-0.6,-0.6,right,3:2,R,,,,,,,,,,,1,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,46.95391170000221,None,46.95391170000221,None,46.95391170000221,None,46.95391170000221,None,46.95391170000221,None,46.95391170000221,None,left,0,1.2084775999974227,46.95391170000221,None,48.188903199996275,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11001,002,2023_Dec_29_1637,MFTM_A_new1021,2021.2.3,60.00445232933789,
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,0,0,0,0,0,0,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.14069179999933,None,space,3.573392900005274,49.14069179999933,None,52.81289989999641,None,left,1,1.43609949999518,53.24682889999531,None,53.24682889999531,56.252767400001176,53.24682889999531,56.252767400001176,53.24682889999531,56.252767400001176,53.24682889999531,56.252767400001176,53.24682889999531,56.252767400001176,56.235317899998336,56.73713459999999,56.235317899998336,56.73713459999999,56.235317899998336,56.73713459999999,56.235317899998336,56.73713459999999,56.235317899998336,56.73713459999999,56.235317899998336,56.73713459999999,56.235317899998336,56.73713459999999,56.235317899998336,56.73713459999999,53.24682889999531,None,56.73713459999999,56.73713459999999,3,56.75192699999752,None,57.50365729999612,None,,,,,,,,,,11001,002,2023_Dec_29_1637,MFTM_A_new1021,2021.2.3,60.00445232933789,
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,0,0,0,0,1,1,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.005138599997736,None,right,1,0.9620869999998831,58.5043336000017,60.50886380000156,58.5043336000017,60.00701619999745,58.5043336000017,60.00701619999745,58.5043336000017,60.00701619999745,58.5043336000017,60.00701619999745,58.5043336000017,60.00701619999745,59.99107269999513,60.4916435999985,59.99107269999513,60.4916435999985,59.99107269999513,60.4916435999985,59.99107269999513,60.4916435999985,59.99107269999513,60.4916435999985,59.99107269999513,60.4916435999985,59.99107269999513,60.4916435999985,59.99107269999513,60.4916435999985,58.5043336000017,None,60.4916435999985,61.993383499997435,1.5,62.01001790000009,None,62.7622418999963,None,,,,,,,,,,11001,002,2023_Dec_29_1637,MFTM_A_new1021,2021.2.3,60.00445232933789,
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,0,0,0,0,2,2,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.26231700000062,None,right,1,1.5350985000040964,63.763307199995324,65.06475969999883,63.763307199995324,64.56361330000072,63.763307199995324,64.56361330000072,63.763307199995324,64.56361330000072,63.763307199995324,64.56361330000072,63.763307199995324,64.56361330000072,64.54793049999716,65.0479387000014,64.54793049999716,65.0479387000014,64.54793049999716,65.0479387000014,64.54793049999716,65.0479387000014,64.54793049999716,65.0479387000014,64.54793049999716,65.0479387000014,64.54793049999716,65.0479387000014,64.54793049999716,65.0479387000014,63.763307199995324,None,65.0479387000014,67.25154459999612,0.8,67.2682719000004,None,68.018705399998,None,,,,,,,,,,11001,002,2023_Dec_29_1637,MFTM_A_new1021,2021.2.3,60.00445232933789,
