arrwidth1,arrwidth2,arrwidth3,arrwidth4,arrwidth5,keyb,type,orientation,instruction_image,block_filename,block_type,arrow11,arrow22,arrow33,arrow44,arrow55,keyb_3,orientation3,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,welcome.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,instruction_example.started,instruction_example.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,instruction_task.started,instruction_task.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,A1.started,A1.stopped,A2.started,A2.stopped,A3.started,A3.stopped,A4.started,A4.stopped,A5.started,A5.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,fb.started,fb.stopped,instruction_block.started,instruction_block.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_8.started,text_8.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,text_5.started,text_5.stopped,A11_3.started,A11_3.stopped,A22_2.started,A22_2.stopped,A33_2.started,A33_2.stopped,A44_2.started,A44_2.stopped,A55_2.started,A55_2.stopped,M1_3.started,M1_3.stopped,M2_2.started,M2_2.stopped,M3_2.started,M3_2.stopped,M4_2.started,M4_2.stopped,M5_2.started,M5_2.stopped,M6_2.started,M6_2.stopped,M7_2.started,M7_2.stopped,M8_2.started,M8_2.stopped,key_resp_9.started,key_resp_9.stopped,fixation.started,fixation.stopped,ET,fb_3.started,fb_3.stopped,text_9.started,text_9.stopped,fb_4.started,fb_4.stopped,text_7.started,text_7.stopped,endtext.started,endtext.stopped,fixation_ITI,CCC,Acc,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9922385,None,space,16.6161176,10.9922385,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11024,2,2024_Jan_07_1540,MFTM_A_new1021,2021.2.3,60.10117432
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6336845,None,space,1.9106209,27.6336845,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11024,2,2024_Jan_07_1540,MFTM_A_new1021,2021.2.3,60.10117432
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5698486,None,space,1.6626234,29.5698486,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11024,2,2024_Jan_07_1540,MFTM_A_new1021,2021.2.3,60.10117432
-0.6,-0.6,-0.6,0.6,0.6,left,3:02,L,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,31.273028,None,31.273028,None,31.273028,None,31.273028,None,31.273028,None,31.273028,None,left,1,2.0952663,31.273028,None,33.3916644,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11024,2,2024_Jan_07_1540,MFTM_A_new1021,2021.2.3,60.10117432
0.6,0.6,0.6,-0.6,-0.6,right,3:02,R,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,34.1442025,None,34.1442025,None,34.1442025,None,34.1442025,None,34.1442025,None,34.1442025,None,right,1,1.4163893,34.1442025,None,35.5788604,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11024,2,2024_Jan_07_1540,MFTM_A_new1021,2021.2.3,60.10117432
-0.6,-0.6,-0.6,0.6,0.6,left,3:02,L,,,,,,,,,,,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,36.3296306,None,36.3296306,None,36.3296306,None,36.3296306,None,36.3296306,None,36.3296306,None,left,1,1.8867933,36.3296306,None,38.2328358,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11024,2,2024_Jan_07_1540,MFTM_A_new1021,2021.2.3,60.10117432
0.6,0.6,0.6,-0.6,-0.6,right,3:02,R,,,,,,,,,,,1,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,38.9844161,None,38.9844161,None,38.9844161,None,38.9844161,None,38.9844161,None,38.9844161,None,right,1,1.4323687,38.9844161,None,40.4358314,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11024,2,2024_Jan_07_1540,MFTM_A_new1021,2021.2.3,60.10117432
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,0,0,0,0,0,0,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.3873322,None,space,3.0131579,41.3873322,None,44.4916046,None,left,1,1.5686327,44.9436674,None,44.9436674,47.9471699,44.9436674,47.9471699,44.9436674,47.9471699,44.9436674,47.9471699,44.9436674,47.9471699,47.9302997,48.4316815,47.9302997,48.4316815,47.9302997,48.4316815,47.9302997,48.4316815,47.9302997,48.4316815,47.9302997,48.4316815,47.9302997,48.4316815,47.9302997,48.4316815,44.9436674,None,48.4143257,48.4143257,3,48.4476537,None,49.1993494,None,,,,,,,,,,11024,2,2024_Jan_07_1540,MFTM_A_new1021,2021.2.3,60.10117432
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,0,0,0,0,1,1,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6995922,None,right,1,1.8241618,50.200399,52.2042081,50.200399,51.7025509,50.200399,51.7025509,50.200399,51.7025509,50.200399,51.7025509,50.200399,51.7025509,51.6864948,52.1874209,51.6864948,52.1874209,51.6864948,52.1874209,51.6864948,52.1874209,51.6864948,52.1874209,51.6864948,52.1874209,51.6864948,52.1874209,51.6864948,52.1874209,50.200399,None,52.1874209,53.6895457,1.5,53.706494,None,54.4574668,None,,,,,,,,,,11024,2,2024_Jan_07_1540,MFTM_A_new1021,2021.2.3,60.10117432
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,0,0,0,0,2,2,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.9574475,None,right,1,1.2702247,55.4587459,56.7600981,55.4587459,56.2599685,55.4587459,56.2599685,55.4587459,56.2599685,55.4587459,56.2599685,55.4587459,56.2599685,56.2429411,56.7434155,56.2429411,56.7434155,56.2429411,56.7434155,56.2429411,56.7434155,56.2429411,56.7434155,56.2429411,56.7434155,56.2429411,56.7434155,56.2429411,56.7434155,55.4587459,None,56.7434155,58.9482743,0.8,58.9640076,None,59.7151673,None,,,,,,,,,,11024,2,2024_Jan_07_1540,MFTM_A_new1021,2021.2.3,60.10117432
