arrwidth1,arrwidth2,arrwidth3,arrwidth4,arrwidth5,keyb,type,orientation,instruction_image,block_filename,block_type,arrow11,arrow22,arrow33,arrow44,arrow55,keyb_3,orientation3,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,welcome.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,instruction_example.started,instruction_example.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,instruction_task.started,instruction_task.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,A1.started,A1.stopped,A2.started,A2.stopped,A3.started,A3.stopped,A4.started,A4.stopped,A5.started,A5.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,fb.started,fb.stopped,instruction_block.started,instruction_block.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_8.started,text_8.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,text_5.started,text_5.stopped,A11_3.started,A11_3.stopped,A22_2.started,A22_2.stopped,A33_2.started,A33_2.stopped,A44_2.started,A44_2.stopped,A55_2.started,A55_2.stopped,M1_3.started,M1_3.stopped,M2_2.started,M2_2.stopped,M3_2.started,M3_2.stopped,M4_2.started,M4_2.stopped,M5_2.started,M5_2.stopped,M6_2.started,M6_2.stopped,M7_2.started,M7_2.stopped,M8_2.started,M8_2.stopped,key_resp_9.started,key_resp_9.stopped,fixation.started,fixation.stopped,ET,fb_3.started,fb_3.stopped,text_9.started,text_9.stopped,fb_4.started,fb_4.stopped,text_7.started,text_7.stopped,endtext.started,endtext.stopped,fixation_ITI,CCC,Acc,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0834755,None,right,38.6223625,11.0834755,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11035,2,2024_Mar_11_1426,MFTM_A_new1021,2021.2.3,60.04455309
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.725063,None,right,3.2208323,49.725063,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11035,2,2024_Mar_11_1426,MFTM_A_new1021,2021.2.3,60.04455309
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.9634356,None,right,3.3501903,52.9634356,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11035,2,2024_Mar_11_1426,MFTM_A_new1021,2021.2.3,60.04455309
0.6,0.6,0.6,-0.6,-0.6,right,3:02,R,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,56.3531828,None,56.3531828,None,56.3531828,None,56.3531828,None,56.3531828,None,56.3531828,None,right,1,4.4327077,56.3531828,None,60.8269133,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11035,2,2024_Mar_11_1426,MFTM_A_new1021,2021.2.3,60.04455309
-0.6,-0.6,-0.6,0.6,0.6,left,3:02,L,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,61.5595487,None,61.5595487,None,61.5595487,None,61.5595487,None,61.5595487,None,61.5595487,None,left,1,1.5708345,61.5595487,None,63.1454045,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11035,2,2024_Mar_11_1426,MFTM_A_new1021,2021.2.3,60.04455309
0.6,0.6,0.6,-0.6,-0.6,right,3:02,R,,,,,,,,,,,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,63.8979649,None,63.8979649,None,63.8979649,None,63.8979649,None,63.8979649,None,63.8979649,None,left,0,1.6639165,63.8979649,None,65.5822741,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11035,2,2024_Mar_11_1426,MFTM_A_new1021,2021.2.3,60.04455309
-0.6,-0.6,-0.6,0.6,0.6,left,3:02,L,,,,,,,,,,,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,66.333621,None,66.333621,None,66.333621,None,66.333621,None,66.333621,None,66.333621,None,left,1,1.3885695,66.333621,None,67.752301,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11035,2,2024_Mar_11_1426,MFTM_A_new1021,2021.2.3,60.04455309
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.7706287,None,right,3.3517288,68.7706287,None,72.226428,None,left,1,2.774294,72.659802,None,72.659802,75.6641083,72.659802,75.6641083,72.659802,75.6641083,72.659802,75.6641083,72.659802,75.6641083,75.6474613,76.1484586,75.6474613,76.1484586,75.6474613,76.1484586,75.6474613,76.1484586,75.6474613,76.1484586,75.6474613,76.1484586,75.6474613,76.1484586,75.6474613,76.1484586,72.659802,None,76.1484586,76.1484586,3,76.1649204,None,76.9174031,None,,,,,,,,,,11035,2,2024_Mar_11_1426,MFTM_A_new1021,2021.2.3,60.04455309
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,0,0,0,0,1,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.4178238,None,left,1,1.9970875,77.9176015,79.920743,77.9176015,79.4210698,77.9176015,79.4210698,77.9176015,79.4210698,77.9176015,79.4210698,77.9176015,79.4210698,79.4044375,79.9041065,79.4044375,79.9041065,79.4044375,79.9041065,79.4044375,79.9041065,79.4044375,79.9041065,79.4044375,79.9041065,79.4044375,79.9041065,79.4044375,79.9041065,77.9176015,None,79.9041065,81.4065345,1.5,81.4230959,None,82.1752156,None,,,,,,,,,,11035,2,2024_Mar_11_1426,MFTM_A_new1021,2021.2.3,60.04455309
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,0,0,0,0,2,2,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.6753979,None,left,1,1.9707022,83.175666,84.4780766,83.175666,83.9771103,83.175666,83.9771103,83.175666,83.9771103,83.175666,83.9771103,83.175666,83.9771103,83.9603969,84.4610004,83.9603969,84.4610004,83.9603969,84.4610004,83.9603969,84.4610004,83.9603969,84.4610004,83.9603969,84.4610004,83.9603969,84.4610004,83.9603969,84.4610004,83.175666,None,84.4610004,86.6641803,0.8,86.6809447,None,87.4327672,None,,,,,,,,,,11035,2,2024_Mar_11_1426,MFTM_A_new1021,2021.2.3,60.04455309
