arrwidth1,arrwidth2,arrwidth3,arrwidth4,arrwidth5,keyb,type,orientation,instruction_image,block_filename,block_type,arrow11,arrow22,arrow33,arrow44,arrow55,keyb_3,orientation3,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,welcome.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,instruction_example.started,instruction_example.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,instruction_task.started,instruction_task.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,A1.started,A1.stopped,A2.started,A2.stopped,A3.started,A3.stopped,A4.started,A4.stopped,A5.started,A5.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,fb.started,fb.stopped,instruction_block.started,instruction_block.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_8.started,text_8.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,text_5.started,text_5.stopped,A11_3.started,A11_3.stopped,A22_2.started,A22_2.stopped,A33_2.started,A33_2.stopped,A44_2.started,A44_2.stopped,A55_2.started,A55_2.stopped,M1_3.started,M1_3.stopped,M2_2.started,M2_2.stopped,M3_2.started,M3_2.stopped,M4_2.started,M4_2.stopped,M5_2.started,M5_2.stopped,M6_2.started,M6_2.stopped,M7_2.started,M7_2.stopped,M8_2.started,M8_2.stopped,key_resp_9.started,key_resp_9.stopped,fixation.started,fixation.stopped,ET,fb_3.started,fb_3.stopped,text_9.started,text_9.stopped,fb_4.started,fb_4.stopped,text_7.started,text_7.stopped,endtext.started,endtext.stopped,fixation_ITI,CCC,Acc,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.015908400004264,None,right,4.13379750000604,9.015908400004264,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11044,001,2024_Mar_24_0958,MFTM_A_new1021,2021.2.3,59.892182090332355,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.171983699998236,None,right,4.809680799997295,13.171983699998236,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11044,001,2024_Mar_24_0958,MFTM_A_new1021,2021.2.3,59.892182090332355,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.012810899992473,None,right,3.4577462000015657,18.012810899992473,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11044,001,2024_Mar_24_0958,MFTM_A_new1021,2021.2.3,59.892182090332355,
0.6,0.6,0.6,-0.6,-0.6,right,3:2,R,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,21.501404099995852,None,21.501404099995852,None,21.501404099995852,None,21.501404099995852,None,21.501404099995852,None,21.501404099995852,None,right,1,2.12864389999595,21.501404099995852,None,23.67242269999406,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11044,001,2024_Mar_24_0958,MFTM_A_new1021,2021.2.3,59.892182090332355,
-0.6,-0.6,-0.6,0.6,0.6,left,3:2,L,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,24.422436699998798,None,24.422436699998798,None,24.422436699998798,None,24.422436699998798,None,24.422436699998798,None,24.422436699998798,None,right,0,1.487366600005771,24.422436699998798,None,25.940870099992026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11044,001,2024_Mar_24_0958,MFTM_A_new1021,2021.2.3,59.892182090332355,
0.6,0.6,0.6,-0.6,-0.6,right,3:2,R,,,,,,,,,,,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,26.69281520000368,None,26.69281520000368,None,26.69281520000368,None,26.69281520000368,None,26.69281520000368,None,26.69281520000368,None,right,1,2.057465299993055,26.69281520000368,None,28.778963099990506,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11044,001,2024_Mar_24_0958,MFTM_A_new1021,2021.2.3,59.892182090332355,
-0.6,-0.6,-0.6,0.6,0.6,left,3:2,L,,,,,,,,,,,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,29.530255899997428,None,29.530255899997428,None,29.530255899997428,None,29.530255899997428,None,29.530255899997428,None,29.530255899997428,None,left,1,1.0436366999929305,29.530255899997428,None,30.59855979999702,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11044,001,2024_Mar_24_0958,MFTM_A_new1021,2021.2.3,59.892182090332355,
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,0,0,0,0,0,0,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.565798800002085,None,right,29.809477599992533,31.565798800002085,None,61.461129799994524,None,right,1,2.222347200004151,61.912510699999984,None,61.912510699999984,64.91690199999721,61.912510699999984,64.91690199999721,61.912510699999984,64.91690199999721,61.912510699999984,64.91690199999721,61.912510699999984,64.91690199999721,64.90045469999313,65.4013522000023,64.90045469999313,65.4013522000023,64.90045469999313,65.4013522000023,64.90045469999313,65.4013522000023,64.90045469999313,65.4013522000023,64.90045469999313,65.4013522000023,64.90045469999313,65.4013522000023,64.90045469999313,65.4013522000023,61.912510699999984,None,65.4013522000023,65.4013522000023,3,65.41783530000248,None,66.16903059999458,None,,,,,,,,,,11044,001,2024_Mar_24_0958,MFTM_A_new1021,2021.2.3,59.892182090332355,
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,0,0,0,0,1,1,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.67030149999482,None,left,0,2.3726388000068255,67.17035780000151,69.17343840000103,67.17035780000151,68.6726362999907,67.17035780000151,68.6726362999907,67.17035780000151,68.6726362999907,67.17035780000151,68.6726362999907,67.17035780000151,68.6726362999907,68.65592039999319,69.15684630000032,68.65592039999319,69.15684630000032,68.65592039999319,69.15684630000032,68.65592039999319,69.15684630000032,68.65592039999319,69.15684630000032,68.65592039999319,69.15684630000032,68.65592039999319,69.15684630000032,68.65592039999319,69.15684630000032,67.17035780000151,None,69.15684630000032,70.65908749999653,1.5,70.67564230000426,None,71.42685239999264,None,,,,,,,,,,11044,001,2024_Mar_24_0958,MFTM_A_new1021,2021.2.3,59.892182090332355,
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,0,0,0,0,2,2,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.92752359999577,None,right,0,1.1869643999962136,72.42826430000423,73.73019619999104,72.42826430000423,73.22952939999232,72.42826430000423,73.22952939999232,72.42826430000423,73.22952939999232,72.42826430000423,73.22952939999232,72.42826430000423,73.22952939999232,73.21306490000279,73.71352479999769,73.21306490000279,73.71352479999769,73.21306490000279,73.71352479999769,73.21306490000279,73.71352479999769,73.21306490000279,73.71352479999769,73.21306490000279,73.71352479999769,73.21306490000279,73.71352479999769,73.21306490000279,73.71352479999769,72.42826430000423,None,73.71352479999769,75.91687249999086,0.8,75.93340660000104,None,76.68491509999149,None,,,,,,,,,,11044,001,2024_Mar_24_0958,MFTM_A_new1021,2021.2.3,59.892182090332355,
