arrwidth1,arrwidth2,arrwidth3,arrwidth4,arrwidth5,keyb,type,orientation,instruction_image,block_filename,block_type,arrow11,arrow22,arrow33,arrow44,arrow55,keyb_3,orientation3,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,welcome.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,instruction_example.started,instruction_example.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,instruction_task.started,instruction_task.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,A1.started,A1.stopped,A2.started,A2.stopped,A3.started,A3.stopped,A4.started,A4.stopped,A5.started,A5.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,fb.started,fb.stopped,instruction_block.started,instruction_block.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_8.started,text_8.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,text_5.started,text_5.stopped,A11_3.started,A11_3.stopped,A22_2.started,A22_2.stopped,A33_2.started,A33_2.stopped,A44_2.started,A44_2.stopped,A55_2.started,A55_2.stopped,M1_3.started,M1_3.stopped,M2_2.started,M2_2.stopped,M3_2.started,M3_2.stopped,M4_2.started,M4_2.stopped,M5_2.started,M5_2.stopped,M6_2.started,M6_2.stopped,M7_2.started,M7_2.stopped,M8_2.started,M8_2.stopped,key_resp_9.started,key_resp_9.stopped,fixation.started,fixation.stopped,ET,fb_3.started,fb_3.stopped,text_9.started,text_9.stopped,fb_4.started,fb_4.stopped,text_7.started,text_7.stopped,endtext.started,endtext.stopped,fixation_ITI,CCC,Acc,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.073855199851096,None,down,1.6818570999894291,13.073855199851096,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11045,002,2024_Apr_13_1519,MFTM_A_new1021,2021.2.3,59.50238160338267,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.776860699988902,None,down,1.0834904999937862,14.776860699988902,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11045,002,2024_Apr_13_1519,MFTM_A_new1021,2021.2.3,59.50238160338267,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.878393199993297,None,down,1.102396700065583,15.878393199993297,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11045,002,2024_Apr_13_1519,MFTM_A_new1021,2021.2.3,59.50238160338267,
-0.6,-0.6,-0.6,0.6,0.6,left,3:2,L,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,17.01470880000852,None,17.01470880000852,None,17.01470880000852,None,17.01470880000852,None,17.01470880000852,None,17.01470880000852,None,left,1,1.4131686000619084,17.01470880000852,None,18.466904499800876,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11045,002,2024_Apr_13_1519,MFTM_A_new1021,2021.2.3,59.50238160338267,
0.6,0.6,0.6,-0.6,-0.6,right,3:2,R,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,19.21813129982911,None,19.21813129982911,None,19.21813129982911,None,19.21813129982911,None,19.21813129982911,None,19.21813129982911,None,right,1,1.1301160999573767,19.21813129982911,None,20.368641499895602,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11045,002,2024_Apr_13_1519,MFTM_A_new1021,2021.2.3,59.50238160338267,
-0.6,-0.6,-0.6,0.6,0.6,left,3:2,L,,,,,,,,,,,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1202670999337,None,21.1202670999337,None,21.1202670999337,None,21.1202670999337,None,21.1202670999337,None,21.1202670999337,None,left,1,0.8600346001330763,21.1202670999337,None,22.005076400004327,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11045,002,2024_Apr_13_1519,MFTM_A_new1021,2021.2.3,59.50238160338267,
0.6,0.6,0.6,-0.6,-0.6,right,3:2,R,,,,,,,,,,,1,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,22.75580699997954,None,22.75580699997954,None,22.75580699997954,None,22.75580699997954,None,22.75580699997954,None,22.75580699997954,None,right,1,1.2481142999604344,22.75580699997954,None,24.02373779984191,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11045,002,2024_Apr_13_1519,MFTM_A_new1021,2021.2.3,59.50238160338267,
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,0,0,0,0,0,0,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.14185609994456,None,space,3.119383699959144,25.14185609994456,None,28.38118759985082,None,right,1,2.1594610000029206,28.79746019979939,None,28.79746019979939,31.802941599860787,28.79746019979939,31.802941599860787,28.79746019979939,31.802941599860787,28.79746019979939,31.802941599860787,28.79746019979939,31.802941599860787,31.78613579994999,32.286771199898794,31.78613579994999,32.286771199898794,31.78613579994999,32.286771199898794,31.78613579994999,32.286771199898794,31.78613579994999,32.286771199898794,31.78613579994999,32.286771199898794,31.78613579994999,32.286771199898794,31.78613579994999,32.286771199898794,28.79746019979939,None,32.286771199898794,32.286771199898794,3,32.30304909986444,None,33.05455579981208,None,,,,,,,,,,11045,002,2024_Apr_13_1519,MFTM_A_new1021,2021.2.3,59.50238160338267,
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,0,0,0,0,1,1,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5559590999037,None,right,0,1.747202099999413,34.05701619992033,36.059514299966395,34.05701619992033,35.557890799827874,34.05701619992033,35.557890799827874,34.05701619992033,35.557890799827874,34.05701619992033,35.557890799827874,34.05701619992033,35.557890799827874,35.54105689981952,36.0427355999127,35.54105689981952,36.0427355999127,35.54105689981952,36.0427355999127,35.54105689981952,36.0427355999127,35.54105689981952,36.0427355999127,35.54105689981952,36.0427355999127,35.54105689981952,36.0427355999127,35.54105689981952,36.0427355999127,34.05701619992033,None,36.0427355999127,37.54481569980271,1.5,37.56192579981871,None,38.31297369999811,None,,,,,,,,,,11045,002,2024_Apr_13_1519,MFTM_A_new1021,2021.2.3,59.50238160338267,
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,0,0,0,0,2,2,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.81333879986778,None,right,1,1.6747975000180304,39.31425890000537,40.61560419993475,39.31425890000537,40.11507639987394,39.31425890000537,40.11507639987394,39.31425890000537,40.11507639987394,39.31425890000537,40.11507639987394,39.31425890000537,40.11507639987394,40.09898919984698,40.599440599791706,40.09898919984698,40.599440599791706,40.09898919984698,40.599440599791706,40.09898919984698,40.599440599791706,40.09898919984698,40.599440599791706,40.09898919984698,40.599440599791706,40.09898919984698,40.599440599791706,40.09898919984698,40.599440599791706,39.31425890000537,None,40.599440599791706,42.80270389979705,0.8,42.81951810000464,None,43.57073189993389,None,,,,,,,,,,11045,002,2024_Apr_13_1519,MFTM_A_new1021,2021.2.3,59.50238160338267,
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,0,0,0,0,3,3,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.07181299990043,None,left,0,2.0092901999596506,44.572047599824145,45.32368399994448,44.572047599824145,44.82254239986651,44.572047599824145,44.82254239986651,44.572047599824145,44.82254239986651,44.572047599824145,44.82254239986651,44.572047599824145,44.82254239986651,44.805682899896055,45.3077222998254,44.805682899896055,45.3077222998254,44.805682899896055,45.3077222998254,44.805682899896055,45.3077222998254,44.805682899896055,45.3077222998254,44.805682899896055,45.3077222998254,44.805682899896055,45.3077222998254,44.805682899896055,45.3077222998254,44.572047599824145,None,45.3077222998254,48.06044619996101,3,48.07736419979483,None,48.82823619991541,None,,,,,,,,,,11045,002,2024_Apr_13_1519,MFTM_A_new1021,2021.2.3,59.50238160338267,
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.34565939987078,50.34815049986355,50.31394599983469,50.31394599983469,50.31394599983469,None,,,,11045,002,2024_Apr_13_1519,MFTM_A_new1021,2021.2.3,59.50238160338267,
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,1,1,1,0,0,0,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.55171709996648,None,down,4.557812699815258,53.55171709996648,None,58.159729299834,None,left,1,2.0490200000349432,58.64363979990594,None,58.64363979990594,61.64780479995534,58.64363979990594,61.64780479995534,58.64363979990594,61.64780479995534,58.64363979990594,61.64780479995534,58.64363979990594,61.64780479995534,61.631501499796286,62.13326479983516,61.631501499796286,62.13326479983516,61.631501499796286,62.13326479983516,61.631501499796286,62.13326479983516,61.631501499796286,62.13326479983516,61.631501499796286,62.13326479983516,61.631501499796286,62.13326479983516,61.631501499796286,62.13326479983516,58.64363979990594,None,62.11505619995296,62.11505619995296,3,62.1480956999585,None,62.899898199830204,None,,,,,,,0,6.000000000000005,1.0,11045,002,2024_Apr_13_1519,MFTM_A_new1021,2021.2.3,59.50238160338267,
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,1,1,1,0,1,1,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.40081879985519,None,right,0,1.9453764001373202,63.90044120000675,64.65188949997537,63.90044120000675,64.15155219985172,63.90044120000675,64.15155219985172,63.90044120000675,64.15155219985172,63.90044120000675,64.15155219985172,63.90044120000675,64.15155219985172,64.13489769981243,64.63595339981839,64.13489769981243,64.63595339981839,64.13489769981243,64.63595339981839,64.13489769981243,64.63595339981839,64.13489769981243,64.63595339981839,64.13489769981243,64.63595339981839,64.13489769981243,64.63595339981839,64.13489769981243,64.63595339981839,63.90044120000675,None,64.63595339981839,65.87092119990848,0.25,65.90467249997891,None,66.65594500000589,None,,,,,,,[0.875],2.570000000000002,0.5,11045,002,2024_Apr_13_1519,MFTM_A_new1021,2021.2.3,59.50238160338267,
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,1,1,1,0,2,2,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.15701379999518,None,right,1,1.6595999000128359,67.65771529986523,69.27556280000135,67.65771529986523,68.77521829982288,67.65771529986523,68.77521829982288,67.65771529986523,68.77521829982288,67.65771529986523,68.77521829982288,67.65771529986523,68.77521829982288,68.74131229985505,69.24201829987578,68.74131229985505,69.24201829987578,68.74131229985505,69.24201829987578,68.74131229985505,69.24201829987578,68.74131229985505,69.24201829987578,68.74131229985505,69.24201829987578,68.74131229985505,69.24201829987578,68.74131229985505,69.24201829987578,67.65771529986523,None,69.24201829987578,70.29389399988577,1.1100000000000008,70.34561829990707,None,71.09550949977711,None,,,,,,,[1.04666667],3.3800000000000026,0.6666666666666666,11045,002,2024_Apr_13_1519,MFTM_A_new1021,2021.2.3,59.50238160338267,
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,1,1,1,0,3,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.5965489000082,None,right,0,1.5025161998346448,72.09708300000057,73.23221259983256,72.09708300000057,72.73219449981116,72.09708300000057,72.73219449981116,72.09708300000057,72.73219449981116,72.09708300000057,72.73219449981116,72.09708300000057,72.73219449981116,72.71500759990886,73.21517249988392,72.71500759990886,73.21517249988392,72.71500759990886,73.21517249988392,72.71500759990886,73.21517249988392,72.71500759990886,73.21517249988392,72.71500759990886,73.21517249988392,72.71500759990886,73.21517249988392,72.71500759990886,73.21517249988392,72.09708300000057,None,73.19839189993218,74.4503824999556,0.6300000000000003,74.50135989999399,None,75.2515362999402,None,,,,,,,[1.2525],2.1700000000000017,0.5,11045,002,2024_Apr_13_1519,MFTM_A_new1021,2021.2.3,59.50238160338267,
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,1,1,1,0,4,4,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.75299089984037,None,right,1,1.2649734001606703,76.25255739991553,78.22313279984519,76.25255739991553,77.72165139997378,76.25255739991553,77.72165139997378,76.25255739991553,77.72165139997378,76.25255739991553,77.72165139997378,76.25255739991553,77.72165139997378,77.6884983999189,78.18967469991185,77.6884983999189,78.18967469991185,77.6884983999189,78.18967469991185,77.6884983999189,78.18967469991185,77.6884983999189,78.18967469991185,77.6884983999189,78.18967469991185,77.6884983999189,78.18967469991185,77.6884983999189,78.18967469991185,76.25255739991553,None,78.18967469991185,79.24069629982114,1.460000000000001,79.25683789979666,None,80.0089502998162,None,,,,,,,[[1.04]],2.690000000000002,0.6,11045,002,2024_Apr_13_1519,MFTM_A_new1021,2021.2.3,59.50238160338267,
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,1,1,1,0,5,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.50935939978808,None,right,1,1.2042131000198424,81.01029609981924,82.52916239993647,81.01029609981924,82.04519319999963,81.01029609981924,82.04519319999963,81.01029609981924,82.04519319999963,81.01029609981924,82.04519319999963,81.01029609981924,82.04519319999963,82.01195509987883,82.51296419999562,82.01195509987883,82.51296419999562,82.01195509987883,82.51296419999562,82.01195509987883,82.51296419999562,82.01195509987883,82.51296419999562,82.01195509987883,82.51296419999562,82.01195509987883,82.51296419999562,82.01195509987883,82.51296419999562,81.01029609981924,None,82.51296419999562,83.78093559993431,1.0200000000000007,83.79708319995552,None,84.54895509989001,None,,,,,,,[1.255],3.0400000000000023,0.6666666666666666,11045,002,2024_Apr_13_1519,MFTM_A_new1021,2021.2.3,59.50238160338267,
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,1,1,1,0,6,6,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.05052629997954,None,left,1,1.4395364001393318,85.55025579989888,86.85214489977807,85.55025579989888,86.35168679989874,85.55025579989888,86.35168679989874,85.55025579989888,86.35168679989874,85.55025579989888,86.35168679989874,85.55025579989888,86.35168679989874,86.33506949990988,86.83546929992735,86.33506949990988,86.83546929992735,86.33506949990988,86.83546929992735,86.33506949990988,86.83546929992735,86.33506949990988,86.83546929992735,86.33506949990988,86.83546929992735,86.33506949990988,86.83546929992735,86.33506949990988,86.83546929992735,85.55025579989888,None,86.83546929992735,88.15500469994731,0.8000000000000005,88.17172099999152,None,88.92228209995665,None,,,,,,,[1.31857143],3.3200000000000025,0.7142857142857143,11045,002,2024_Apr_13_1519,MFTM_A_new1021,2021.2.3,59.50238160338267,
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,1,1,1,0,7,7,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.42344529996626,None,right,1,1.737886399962008,89.92423269990832,91.09235549997538,89.92423269990832,90.59163999999873,89.92423269990832,90.59163999999873,89.92423269990832,90.59163999999873,89.92423269990832,90.59163999999873,89.92423269990832,90.59163999999873,90.57516809995286,91.07559289992787,90.57516809995286,91.07559289992787,90.57516809995286,91.07559289992787,90.57516809995286,91.07559289992787,90.57516809995286,91.07559289992787,90.57516809995286,91.07559289992787,90.57516809995286,91.07559289992787,90.57516809995286,91.07559289992787,89.92423269990832,None,91.07559289992787,92.46095909993164,0.6600000000000004,92.47691420000046,None,93.22851189994253,None,,,,,,,[1.38375],3.5400000000000027,0.75,11045,002,2024_Apr_13_1519,MFTM_A_new1021,2021.2.3,59.50238160338267,
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,1,1,1,0,8,8,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.72951409989037,None,left,1,1.4644985999912024,94.22950259991921,95.29924829979427,94.22950259991921,94.81472979998216,94.22950259991921,94.81472979998216,94.22950259991921,94.81472979998216,94.22950259991921,94.81472979998216,94.22950259991921,94.81472979998216,94.78101209993474,95.2823492998723,94.78101209993474,95.2823492998723,94.78101209993474,95.2823492998723,94.78101209993474,95.2823492998723,94.78101209993474,95.2823492998723,94.78101209993474,95.2823492998723,94.78101209993474,95.2823492998723,94.78101209993474,95.2823492998723,94.22950259991921,None,95.2823492998723,96.73544629989192,0.5700000000000003,96.76812689984217,None,97.5192680999171,None,,,,,,,[1.44444444],3.730000000000003,0.7777777777777778,11045,002,2024_Apr_13_1519,MFTM_A_new1021,2021.2.3,59.50238160338267,
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,1,1,1,0,9,9,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.01999709988013,None,right,0,1.3097743999678642,98.52043089992367,99.52239359985106,98.52043089992367,99.02062879991718,98.52043089992367,99.02062879991718,98.52043089992367,99.02062879991718,98.52043089992367,99.02062879991718,98.52043089992367,99.02062879991718,99.0036663999781,99.5048957997933,99.0036663999781,99.5048957997933,99.0036663999781,99.5048957997933,99.0036663999781,99.5048957997933,99.0036663999781,99.5048957997933,99.0036663999781,99.5048957997933,99.0036663999781,99.5048957997933,99.0036663999781,99.5048957997933,98.52043089992367,None,99.5048957997933,101.00752729992382,0.5000000000000002,101.02380279987119,None,101.77508959989063,None,,,,,,,[1.5],3.2600000000000025,0.7,11045,002,2024_Apr_13_1519,MFTM_A_new1021,2021.2.3,59.50238160338267,
