TrialType,Path,Correct,ms,s,ks,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,welcome.started,welcome.stopped,space.started,space.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Fixwarn.started,Fixwarn.stopped,table.started,table.stopped,key_resp__0.keys,key_resp__0.rt,key_resp__0.started,key_resp__0.stopped,type.started,type.stopped,space_3.started,space_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,stim_2.started,stim_2.stopped,text_2.started,text_2.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.started,key_resp_9.stopped,key_resp_9.rt,END.started,END.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,8.63258930000302,None,8.63258930000302,None,space,1.5190789999978733,8.63258930000302,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
,,,,,,,,,,,,,,,,,,10.168593000002147,None,10.168593000002147,None,space,2.0872577000045567,10.168593000002147,None,,,,,,,,,,,,,,,,,,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
,,,,,,,,,,,,,,,,,,,,,,,,,,12.288060300001234,None,12.288060300001234,None,space,21.832139600002847,12.288060300001234,None,,,,,,,,,,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
nogo,square.png,None,1413,1.413,1.913,0,0,0,16,,,,,,,,,,,,,,,,,,,,,,,,,34.203620799999044,34.7046857000023,34.68810729999677,36.108374299998104,None,1,34.203620799999044,None,,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1262,1.262,1.762,0,1,1,61,,,,,,,,,,,,,,,,,,,,,,,,,36.123299699997006,36.624133999997866,36.6079252999989,37.87632989999838,space,1,36.123299699997006,36.123299699997006,0.37246759999834467,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1796,1.796,2.296,0,2,2,58,,,,,,,,,,,,,,,,,,,,,,,,,37.89328479999676,38.39385760000005,38.37678279999818,40.179233800001384,space,1,37.89328479999676,37.89328479999676,0.4983944000050542,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1074,1.074,1.574,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,40.19626369999605,40.697790400001395,40.68193690000044,41.76579440000205,space,1,40.19626369999605,40.19626369999605,0.4039526999986265,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1991,1.991,2.491,0,4,4,82,,,,,,,,,,,,,,,,,,,,,,,,,41.781920499997796,42.283309200000076,42.26573199999984,44.26960410000174,space,1,41.781920499997796,41.781920499997796,0.3936914000005345,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1246,1.246,1.746,0,5,5,87,,,,,,,,,,,,,,,,,,,,,,,,,44.28617249999661,44.78706660000171,44.76939719999791,46.02200640000228,space,1,44.28617249999661,44.28617249999661,0.38580930000171065,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1386,1.386,1.886,0,6,6,83,,,,,,,,,,,,,,,,,,,,,,,,,46.03849489999993,46.53944419999607,46.52300390000164,None,space,1,46.03849489999993,46.03849489999993,0.3455123000021558,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
