TrialType,Path,Correct,ms,s,ks,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,welcome.started,welcome.stopped,space.started,space.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Fixwarn.started,Fixwarn.stopped,table.started,table.stopped,key_resp__0.keys,key_resp__0.rt,key_resp__0.started,key_resp__0.stopped,type.started,type.stopped,space_3.started,space_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,stim_2.started,stim_2.stopped,text_2.started,text_2.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,END.started,END.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,10.848803000000771,None,10.848803000000771,None,space,1.7667134000221267,10.848803000000771,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11008,001,2024_Jan_01_1541,gonogo_T,2021.2.3,60.116782855808154,
,,,,,,,,,,,,,,,,,,12.634908900014125,None,12.634908900014125,None,space,16.46042870002566,12.634908900014125,None,,,,,,,,,,,,,,,,,,,,,,,,11008,001,2024_Jan_01_1541,gonogo_T,2021.2.3,60.116782855808154,
,,,,,,,,,,,,,,,,,,,,,,,,,,29.125192800012883,None,29.125192800012883,None,space,20.634481100016274,29.125192800012883,None,,,,,,,,,,,,,,,,11008,001,2024_Jan_01_1541,gonogo_T,2021.2.3,60.116782855808154,
go,triangle.png,space,1154,1.154,1.654,0,0,0,71,,,,,,,,,,,,,,,,,,,,,,,,,49.85605410003336,50.35724740003934,50.35724740003934,None,space,1,0.6953020999790169,49.85605410003336,51.51017940003658,,,,,,,11008,001,2024_Jan_01_1541,gonogo_T,2021.2.3,60.116782855808154,
nogo,square.png,None,1414,1.414,1.914,0,1,1,68,,,,,,,,,,,,,,,,,,,,,,,,,51.52587740001036,52.02659580000909,52.01030170003651,53.42897649999941,None,1,,51.52587740001036,None,,,,,,,11008,001,2024_Jan_01_1541,gonogo_T,2021.2.3,60.116782855808154,
go,triangle.png,space,1582,1.582,2.082,0,2,2,67,,,,,,,,,,,,,,,,,,,,,,,,,53.445525699993595,53.94684150000103,53.929652000020724,55.51507449999917,space,1,0.3302389999735169,53.445525699993595,53.445525699993595,,,,,,,11008,001,2024_Jan_01_1541,gonogo_T,2021.2.3,60.116782855808154,
go,triangle.png,space,1478,1.478,1.978,0,3,3,75,,,,,,,,,,,,,,,,,,,,,,,,,55.531688200018834,56.03256479999982,56.01608880003914,57.501212600036524,space,1,0.371976500027813,55.531688200018834,55.531688200018834,,,,,,,11008,001,2024_Jan_01_1541,gonogo_T,2021.2.3,60.116782855808154,
go,triangle.png,space,1879,1.879,2.379,0,4,4,11,,,,,,,,,,,,,,,,,,,,,,,,,57.517934200004674,58.01858540001558,58.001871299988125,59.88807640003506,space,1,0.4015743999625556,57.517934200004674,57.517934200004674,,,,,,,11008,001,2024_Jan_01_1541,gonogo_T,2021.2.3,60.116782855808154,
go,triangle.png,space,1529,1.529,2.029,0,5,5,51,,,,,,,,,,,,,,,,,,,,,,,,,59.90513369999826,60.405819400039036,60.389848400023766,61.92532839998603,space,1,0.40657979995012283,59.90513369999826,59.90513369999826,,,,,,,11008,001,2024_Jan_01_1541,gonogo_T,2021.2.3,60.116782855808154,
go,triangle.png,space,1036,1.036,1.536,0,6,6,70,,,,,,,,,,,,,,,,,,,,,,,,,61.9412192000309,62.44240549998358,62.425135000026785,63.460344700026326,space,1,0.36218120000557974,61.9412192000309,61.9412192000309,,,,,,,11008,001,2024_Jan_01_1541,gonogo_T,2021.2.3,60.116782855808154,
