TrialType,Path,Correct,ms,s,ks,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,welcome.started,welcome.stopped,space.started,space.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Fixwarn.started,Fixwarn.stopped,table.started,table.stopped,key_resp__0.keys,key_resp__0.rt,key_resp__0.started,key_resp__0.stopped,type.started,type.stopped,space_3.started,space_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,stim_2.started,stim_2.stopped,text_2.started,text_2.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.started,key_resp_9.stopped,key_resp_9.rt,END.started,END.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,31.21133809996536,None,31.21133809996536,None,space,6.215436800033785,31.21133809996536,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11009,001,2024_Jan_01_1640,gonogo_T,2021.2.3,59.74122490795418,
,,,,,,,,,,,,,,,,,,37.453907099959906,None,37.453907099959906,None,space,12.028815400029998,37.453907099959906,None,,,,,,,,,,,,,,,,,,,,,,,,11009,001,2024_Jan_01_1640,gonogo_T,2021.2.3,59.74122490795418,
,,,,,,,,,,,,,,,,,,,,,,,,,,49.52263009996386,None,49.52263009996386,None,space,13.064071900036652,49.52263009996386,None,,,,,,,,,,,,,,,,11009,001,2024_Jan_01_1640,gonogo_T,2021.2.3,59.74122490795418,
nogo,square.png,None,1154,1.154,1.654,0,0,0,40,,,,,,,,,,,,,,,,,,,,,,,,,62.674346199957654,63.17603589995997,63.159805900009815,None,None,1,62.674346199957654,None,,,,,,,,11009,001,2024_Jan_01_1640,gonogo_T,2021.2.3,59.74122490795418,
go,triangle.png,space,1450,1.45,1.95,0,1,1,78,,,,,,,,,,,,,,,,,,,,,,,,,64.32779209996806,64.82786409999244,64.81123539997498,66.26498999999603,space,1,64.32779209996806,64.32779209996806,0.27461149997543544,,,,,,,11009,001,2024_Jan_01_1640,gonogo_T,2021.2.3,59.74122490795418,
go,triangle.png,space,1329,1.329,1.829,0,2,2,90,,,,,,,,,,,,,,,,,,,,,,,,,66.28029919997789,66.78152719995705,66.76405870000599,68.0992769000004,space,1,66.28029919997789,66.28029919997789,0.2582053999649361,,,,,,,11009,001,2024_Jan_01_1640,gonogo_T,2021.2.3,59.74122490795418,
go,triangle.png,space,1529,1.529,2.029,0,3,3,51,,,,,,,,,,,,,,,,,,,,,,,,,68.11709650000557,68.61672529997304,68.60066009999719,70.1361312000081,space,1,68.11709650000557,68.11709650000557,0.26938349998090416,,,,,,,11009,001,2024_Jan_01_1640,gonogo_T,2021.2.3,59.74122490795418,
nogo,square.png,None,1131,1.131,1.631,0,4,4,52,,,,,,,,,,,,,,,,,,,,,,,,,70.15239719999954,70.65396500000497,70.63669219997246,71.77131099998951,None,1,70.15239719999954,70.15239719999954,,,,,,,,11009,001,2024_Jan_01_1640,gonogo_T,2021.2.3,59.74122490795418,
go,triangle.png,space,1448,1.448,1.948,0,5,5,43,,,,,,,,,,,,,,,,,,,,,,,,,71.78857809997862,72.28889879997587,72.27266049996251,73.72444679995533,space,1,71.78857809997862,71.78857809997862,0.25389950000680983,,,,,,,11009,001,2024_Jan_01_1640,gonogo_T,2021.2.3,59.74122490795418,
nogo,square.png,None,1414,1.414,1.914,0,6,6,68,,,,,,,,,,,,,,,,,,,,,,,,,73.74111229996197,74.24199929996394,74.22570010001073,75.64433709997684,None,1,73.74111229996197,73.74111229996197,,,,,,,,11009,001,2024_Jan_01_1640,gonogo_T,2021.2.3,59.74122490795418,
