TrialType,Path,Correct,ms,s,ks,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,welcome.started,welcome.stopped,space.started,space.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Fixwarn.started,Fixwarn.stopped,table.started,table.stopped,key_resp__0.keys,key_resp__0.rt,key_resp__0.started,key_resp__0.stopped,type.started,type.stopped,space_3.started,space_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,stim_2.started,stim_2.stopped,text_2.started,text_2.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.started,key_resp_9.stopped,key_resp_9.rt,END.started,END.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,11.993094300036319,None,11.993094300036319,None,space,4.590974000049755,11.993094300036319,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11019,001,2024_Jan_05_0947,gonogo_S,2021.2.3,60.12972387406447,
,,,,,,,,,,,,,,,,,,16.60065390006639,None,16.60065390006639,None,space,8.71920599997975,16.60065390006639,None,,,,,,,,,,,,,,,,,,,,,,,,11019,001,2024_Jan_05_0947,gonogo_S,2021.2.3,60.12972387406447,
,,,,,,,,,,,,,,,,,,,,,,,,,,25.36417519999668,None,25.36417519999668,None,space,10.219799200072885,25.36417519999668,None,,,,,,,,,,,,,,,,11019,001,2024_Jan_05_0947,gonogo_S,2021.2.3,60.12972387406447,
go,square.png,space,1150,1.15,1.65,0,0,0,19,,,,,,,,,,,,,,,,,,,,,,,,,35.678922899998724,36.18038879998494,36.16386109997984,37.31486879999284,None,0,35.678922899998724,None,,,,,,,,11019,001,2024_Jan_05_0947,gonogo_S,2021.2.3,60.12972387406447,
go,square.png,space,1692,1.692,2.192,0,1,1,30,,,,,,,,,,,,,,,,,,,,,,,,,37.33145290007815,37.83269609999843,37.81539890007116,39.51842590002343,space,1,37.33145290007815,37.33145290007815,0.08452429994940758,,,,,,,11019,001,2024_Jan_05_0947,gonogo_S,2021.2.3,60.12972387406447,
go,square.png,space,1975,1.975,2.475,0,2,2,87,,,,,,,,,,,,,,,,,,,,,,,,,39.534697200055234,40.035619999980554,40.018800700083375,42.004871100070886,space,1,39.534697200055234,39.534697200055234,0.4499292999971658,,,,,,,11019,001,2024_Jan_05_0947,gonogo_S,2021.2.3,60.12972387406447,
go,square.png,space,1210,1.21,1.71,0,3,3,80,,,,,,,,,,,,,,,,,,,,,,,,,42.02177410002332,42.52276780002285,42.50578340003267,43.72469679999631,space,1,42.02177410002332,42.02177410002332,0.3869353999616578,,,,,,,11019,001,2024_Jan_05_0947,gonogo_S,2021.2.3,60.12972387406447,
go,square.png,space,1766,1.766,2.266,0,4,4,23,,,,,,,,,,,,,,,,,,,,,,,,,43.7409939999925,44.2423213000875,44.22564780001994,45.994896900025196,space,1,43.7409939999925,43.7409939999925,0.2750414999900386,,,,,,,11019,001,2024_Jan_05_0947,gonogo_S,2021.2.3,60.12972387406447,
go,square.png,space,1536,1.536,2.036,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,46.01091680000536,46.511751800077036,46.49529510003049,48.03294240008108,space,1,46.01091680000536,46.01091680000536,0.26895989989861846,,,,,,,11019,001,2024_Jan_05_0947,gonogo_S,2021.2.3,60.12972387406447,
go,square.png,space,1303,1.303,1.803,0,6,6,70,,,,,,,,,,,,,,,,,,,,,,,,,48.04817970003933,48.54866930004209,48.53218930005096,None,space,1,48.04817970003933,48.04817970003933,0.3121046000160277,,,,,,,11019,001,2024_Jan_05_0947,gonogo_S,2021.2.3,60.12972387406447,
