TrialType,Path,Correct,ms,s,ks,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,welcome.started,welcome.stopped,space.started,space.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Fixwarn.started,Fixwarn.stopped,table.started,table.stopped,key_resp__0.keys,key_resp__0.rt,key_resp__0.started,key_resp__0.stopped,type.started,type.stopped,space_3.started,space_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,stim_2.started,stim_2.stopped,text_2.started,text_2.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,END.started,END.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,8.303215399966575,None,8.303215399966575,None,space,2.2858820999972522,8.303215399966575,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11025,001,2024_Jan_08_0939,gonogo_S,2021.2.3,59.56476029695219,
,,,,,,,,,,,,,,,,,,10.607286999933422,None,10.607286999933422,None,space,1.5899951999308541,10.607286999933422,None,,,,,,,,,,,,,,,,,,,,,,,,11025,001,2024_Jan_08_0939,gonogo_S,2021.2.3,59.56476029695219,
,,,,,,,,,,,,,,,,,,,,,,,,,,12.243302899994887,None,12.243302899994887,None,space,8.665851500001736,12.243302899994887,None,,,,,,,,,,,,,,,,11025,001,2024_Jan_08_0939,gonogo_S,2021.2.3,59.56476029695219,
go,square.png,space,1890,1.89,2.3899999999999997,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,21.005384200019762,21.507606599945575,21.507606599945575,None,space,1,0.39177460002247244,21.005384200019762,None,,,,,,,11025,001,2024_Jan_08_0939,gonogo_S,2021.2.3,59.56476029695219,
go,square.png,space,1670,1.67,2.17,0,1,1,94,,,,,,,,,,,,,,,,,,,,,,,,,23.409117099945433,23.909898199955933,23.89441289997194,23.409117099945433,space,1,0.32387359999120235,23.409117099945433,23.409117099945433,,,,,,,11025,001,2024_Jan_08_0939,gonogo_S,2021.2.3,59.56476029695219,
nogo,triangle.png,None,1867,1.867,2.367,0,2,2,33,,,,,,,,,,,,,,,,,,,,,,,,,25.579597600037232,26.080931999953464,26.06379039993044,27.93356739997398,None,1,,25.579597600037232,25.579597600037232,,,,,,,11025,001,2024_Jan_08_0939,gonogo_S,2021.2.3,59.56476029695219,
go,square.png,space,1552,1.552,2.052,0,3,3,59,,,,,,,,,,,,,,,,,,,,,,,,,27.94930530001875,28.450509799993597,28.433278299984522,29.98649599996861,space,1,0.3122361999703571,27.94930530001875,27.94930530001875,,,,,,,11025,001,2024_Jan_08_0939,gonogo_S,2021.2.3,59.56476029695219,
go,square.png,space,1513,1.513,2.013,0,4,4,31,,,,,,,,,,,,,,,,,,,,,,,,,30.002722800010815,30.504195599933155,30.486365200020373,32.00534349994268,space,1,0.3065922000678256,30.002722800010815,30.002722800010815,,,,,,,11025,001,2024_Jan_08_0939,gonogo_S,2021.2.3,59.56476029695219,
nogo,triangle.png,None,1218,1.218,1.718,0,5,5,25,,,,,,,,,,,,,,,,,,,,,,,,,32.02220949996263,32.52321449993178,32.507515299948864,33.72481859999243,None,1,,32.02220949996263,32.02220949996263,,,,,,,11025,001,2024_Jan_08_0939,gonogo_S,2021.2.3,59.56476029695219,
go,square.png,space,1136,1.136,1.636,0,6,6,43,,,,,,,,,,,,,,,,,,,,,,,,,33.741971499985084,34.24197730002925,34.22518049995415,35.36093500000425,space,1,0.28752500005066395,33.741971499985084,33.741971499985084,,,,,,,11025,001,2024_Jan_08_0939,gonogo_S,2021.2.3,59.56476029695219,
go,square.png,space,1821,1.821,2.3209999999999997,0,7,7,58,,,,,,,,,,,,,,,,,,,,,,,,,35.37750890001189,35.87831419997383,35.86173140001483,None,space,1,0.3636285000247881,35.37750890001189,35.37750890001189,,,,,,,11025,001,2024_Jan_08_0939,gonogo_S,2021.2.3,59.56476029695219,
go,square.png,space,1692,1.692,2.192,0,8,8,30,,,,,,,,,,,,,,,,,,,,,,,,,37.69772860000376,38.198393199942075,38.18146590003744,39.88349419995211,space,1,0.3319037000183016,37.69772860000376,37.69772860000376,,,,,,,11025,001,2024_Jan_08_0939,gonogo_S,2021.2.3,59.56476029695219,
go,square.png,space,1513,1.513,2.013,0,9,9,8,,,,,,,,,,,,,,,,,,,,,,,,,39.90036379999947,40.400899500004016,40.385055999970064,41.903551499941386,space,1,0.3135940000647679,39.90036379999947,39.90036379999947,,,,,,,11025,001,2024_Jan_08_0939,gonogo_S,2021.2.3,59.56476029695219,
go,square.png,space,1057,1.057,1.557,0,10,10,40,,,,,,,,,,,,,,,,,,,,,,,,,41.91989839996677,42.420694199972786,42.40386960003525,43.472972200019285,space,1,0.32517070008907467,41.91989839996677,41.91989839996677,,,,,,,11025,001,2024_Jan_08_0939,gonogo_S,2021.2.3,59.56476029695219,
go,square.png,space,1520,1.52,2.02,0,11,11,32,,,,,,,,,,,,,,,,,,,,,,,,,43.49010029993951,43.99088519997895,43.97303829994053,45.49192729999777,space,1,0.2750600000144914,43.49010029993951,43.49010029993951,,,,,,,11025,001,2024_Jan_08_0939,gonogo_S,2021.2.3,59.56476029695219,
go,square.png,space,1194,1.194,1.694,0,12,12,26,,,,,,,,,,,,,,,,,,,,,,,,,45.52525159996003,46.02631779992953,46.00939429993741,47.211758699966595,space,1,0.3357620999449864,45.52525159996003,45.52525159996003,,,,,,,11025,001,2024_Jan_08_0939,gonogo_S,2021.2.3,59.56476029695219,
go,square.png,space,1150,1.15,1.65,0,13,13,19,,,,,,,,,,,,,,,,,,,,,,,,,47.22790239995811,47.72853510000277,47.7127160000382,48.86493989999872,space,1,0.29018569993786514,47.22790239995811,47.22790239995811,,,,,,,11025,001,2024_Jan_08_0939,gonogo_S,2021.2.3,59.56476029695219,
go,square.png,space,1125,1.125,1.625,0,14,14,90,,,,,,,,,,,,,,,,,,,,,,,,,48.880541699938476,49.38292150001507,49.36424929997884,50.499896300025284,space,1,0.28520099993329495,48.880541699938476,48.880541699938476,,,,,,,11025,001,2024_Jan_08_0939,gonogo_S,2021.2.3,59.56476029695219,
