TrialType,Path,Correct,ms,s,ks,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,welcome.started,welcome.stopped,space.started,space.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Fixwarn.started,Fixwarn.stopped,table.started,table.stopped,key_resp__0.keys,key_resp__0.rt,key_resp__0.started,key_resp__0.stopped,type.started,type.stopped,space_3.started,space_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,stim_2.started,stim_2.stopped,text_2.started,text_2.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.started,key_resp_9.stopped,key_resp_9.rt,END.started,END.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,8.510728700086474,None,8.510728700086474,None,space,1.012820400064811,8.510728700086474,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
,,,,,,,,,,,,,,,,,,9.546429800102487,None,9.546429800102487,None,space,3.121620000107214,9.546429800102487,None,,,,,,,,,,,,,,,,,,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
,,,,,,,,,,,,,,,,,,,,,,,,,,12.703564000083134,None,12.703564000083134,None,space,13.964873800054193,12.703564000083134,None,,,,,,,,,,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
go,triangle.png,space,1036,1.036,1.536,0,0,0,70,,,,,,,,,,,,,,,,,,,,,,,,,26.77274479996413,27.27314479998313,27.257587400032207,None,None,0,26.77274479996413,None,,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
go,triangle.png,space,1879,1.879,2.379,0,1,1,11,,,,,,,,,,,,,,,,,,,,,,,,,28.308830100111663,28.808787300018594,28.794186000013724,30.678386500105262,space,1,28.308830100111663,28.308830100111663,0.3351429000031203,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
go,triangle.png,space,1323,1.323,1.823,0,2,2,21,,,,,,,,,,,,,,,,,,,,,,,,,30.69477239996195,31.196371900150552,31.180948300054297,32.51481710001826,space,1,30.69477239996195,30.69477239996195,0.5496510998345912,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
nogo,square.png,None,1698,1.698,2.198,0,3,3,32,,,,,,,,,,,,,,,,,,,,,,,,,32.53221650002524,33.03227480011992,33.015453699976206,34.717686200048774,None,1,32.53221650002524,32.53221650002524,,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
nogo,square.png,None,1913,1.913,2.413,0,4,4,36,,,,,,,,,,,,,,,,,,,,,,,,,34.73513439996168,35.23557300004177,35.21920759999193,37.13896659994498,None,1,34.73513439996168,34.73513439996168,,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
go,triangle.png,space,1052,1.052,1.552,0,5,5,89,,,,,,,,,,,,,,,,,,,,,,,,,37.15480230003595,37.65550069999881,37.639388900017366,38.69071470014751,space,1,37.15480230003595,37.15480230003595,0.37814030004665256,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
nogo,square.png,None,1467,1.467,1.967,0,6,6,72,,,,,,,,,,,,,,,,,,,,,,,,,38.70713740005158,39.20906769996509,39.19231870002113,40.66095330007374,None,1,38.70713740005158,38.70713740005158,,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
