TrialType,Path,Correct,ms,s,ks,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,welcome.started,welcome.stopped,space.started,space.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Fixwarn.started,Fixwarn.stopped,table.started,table.stopped,key_resp__0.keys,key_resp__0.rt,key_resp__0.started,key_resp__0.stopped,type.started,type.stopped,space_3.started,space_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,stim_2.started,stim_2.stopped,text_2.started,text_2.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,END.started,END.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,9.560326700098813,None,9.560326700098813,None,space,147.14894489990547,9.560326700098813,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11038,001,2024_Mar_11_1627,gonogo_S,2021.2.3,59.9243395248409,
,,,,,,,,,,,,,,,,,,156.73080440005288,None,156.73080440005288,None,space,2.5627208000514656,156.73080440005288,None,,,,,,,,,,,,,,,,,,,,,,,,11038,001,2024_Mar_11_1627,gonogo_S,2021.2.3,59.9243395248409,
,,,,,,,,,,,,,,,,,,,,,,,,,,159.33555170008913,None,159.33555170008913,None,space,4.950035500107333,159.33555170008913,None,,,,,,,,,,,,,,,,11038,001,2024_Mar_11_1627,gonogo_S,2021.2.3,59.9243395248409,
go,square.png,space,1520,1.52,2.02,0,0,0,32,,,,,,,,,,,,,,,,,,,,,,,,,164.3756727001164,164.87727670022286,164.85974540002644,None,space,1,0.5503521000500768,164.3756727001164,None,,,,,,,11038,001,2024_Mar_11_1627,gonogo_S,2021.2.3,59.9243395248409,
nogo,triangle.png,None,1924,1.924,2.424,0,1,1,13,,,,,,,,,,,,,,,,,,,,,,,,,166.39513750001788,166.89663890004158,166.87947100005113,168.81593060004525,None,1,,166.39513750001788,166.39513750001788,,,,,,,11038,001,2024_Mar_11_1627,gonogo_S,2021.2.3,59.9243395248409,
nogo,triangle.png,None,1190,1.19,1.69,0,2,2,53,,,,,,,,,,,,,,,,,,,,,,,,,168.83226660010405,169.33308730018325,169.3164081000723,170.51880800002255,None,1,,168.83226660010405,168.83226660010405,,,,,,,11038,001,2024_Mar_11_1627,gonogo_S,2021.2.3,59.9243395248409,
go,square.png,space,1297,1.297,1.797,0,3,3,56,,,,,,,,,,,,,,,,,,,,,,,,,170.5353760002181,171.03791760001332,171.01889670011587,172.32210310013033,space,1,0.30224360013380647,170.5353760002181,170.5353760002181,,,,,,,11038,001,2024_Mar_11_1627,gonogo_S,2021.2.3,59.9243395248409,
nogo,triangle.png,None,1771,1.771,2.271,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,172.33785130013712,172.83846030011773,172.82265860005282,None,None,1,,172.33785130013712,172.33785130013712,,,,,,,11038,001,2024_Mar_11_1627,gonogo_S,2021.2.3,59.9243395248409,
nogo,triangle.png,None,1317,1.317,1.817,0,5,5,85,,,,,,,,,,,,,,,,,,,,,,,,,174.6083487002179,175.1092501000967,175.09243190009147,176.41053750016727,None,1,,174.6083487002179,174.6083487002179,,,,,,,11038,001,2024_Mar_11_1627,gonogo_S,2021.2.3,59.9243395248409,
nogo,triangle.png,None,1450,1.45,1.95,0,6,6,37,,,,,,,,,,,,,,,,,,,,,,,,,176.4279724000953,176.92995410016738,176.91104680020362,178.36437480011955,None,1,,176.4279724000953,176.4279724000953,,,,,,,11038,001,2024_Mar_11_1627,gonogo_S,2021.2.3,59.9243395248409,
