TrialType,Path,Correct,ms,s,ks,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,welcome.started,welcome.stopped,space.started,space.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Fixwarn.started,Fixwarn.stopped,table.started,table.stopped,key_resp__0.keys,key_resp__0.rt,key_resp__0.started,key_resp__0.stopped,type.started,type.stopped,space_3.started,space_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,stim_2.started,stim_2.stopped,text_2.started,text_2.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,END.started,END.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,8.988649100007024,None,8.988649100007024,None,space,1.2456544999731705,8.988649100007024,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11041,001,2024_Mar_15_1429,gonogo_T,2021.2.3,60.20436976083712,
,,,,,,,,,,,,,,,,,,10.257347100006882,None,10.257347100006882,None,space,6.313017199980095,10.257347100006882,None,,,,,,,,,,,,,,,,,,,,,,,,11041,001,2024_Mar_15_1429,gonogo_T,2021.2.3,60.20436976083712,
,,,,,,,,,,,,,,,,,,,,,,,,,,16.616941299987957,None,16.616941299987957,None,space,4.017719600000419,16.616941299987957,None,,,,,,,,,,,,,,,,11041,001,2024_Mar_15_1429,gonogo_T,2021.2.3,60.20436976083712,
go,triangle.png,space,1566,1.566,2.066,0,0,0,25,,,,,,,,,,,,,,,,,,,,,,,,,20.722741200006567,21.2234997000196,21.2234997000196,None,space,1,0.5755175000522286,20.722741200006567,None,,,,,,,11041,001,2024_Mar_15_1429,gonogo_T,2021.2.3,60.20436976083712,
go,triangle.png,space,1767,1.767,2.267,0,1,1,77,,,,,,,,,,,,,,,,,,,,,,,,,22.79286729998421,23.293553500028793,23.27672220004024,25.048884299991187,space,1,0.33011270000133663,22.79286729998421,22.79286729998421,,,,,,,11041,001,2024_Mar_15_1429,gonogo_T,2021.2.3,60.20436976083712,
go,triangle.png,space,1180,1.18,1.68,0,2,2,81,,,,,,,,,,,,,,,,,,,,,,,,,25.063407899986487,25.563794300018344,25.547339499986265,26.73212830000557,space,1,0.37109039997449145,25.063407899986487,25.063407899986487,,,,,,,11041,001,2024_Mar_15_1429,gonogo_T,2021.2.3,60.20436976083712,
nogo,square.png,None,1518,1.518,2.018,0,3,3,56,,,,,,,,,,,,,,,,,,,,,,,,,26.74887310003396,27.24965599999996,27.23331480001798,28.751862500037532,None,1,,26.74887310003396,26.74887310003396,,,,,,,11041,001,2024_Mar_15_1429,gonogo_T,2021.2.3,60.20436976083712,
go,triangle.png,space,1445,1.445,1.945,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,28.768515900010243,29.26946310000494,29.252554700011387,30.704562400002033,space,1,0.43422620004275814,28.768515900010243,28.768515900010243,,,,,,,11041,001,2024_Mar_15_1429,gonogo_T,2021.2.3,60.20436976083712,
go,triangle.png,space,1869,1.869,2.369,0,5,5,59,,,,,,,,,,,,,,,,,,,,,,,,,30.721733700018376,31.22250969999004,31.205554299987853,33.075134699989576,space,1,0.3769074000301771,30.721733700018376,30.721733700018376,,,,,,,11041,001,2024_Mar_15_1429,gonogo_T,2021.2.3,60.20436976083712,
nogo,square.png,None,1413,1.413,1.913,0,6,6,16,,,,,,,,,,,,,,,,,,,,,,,,,33.09159910003655,33.59242520004045,33.57569860003423,34.99434380000457,None,1,,33.09159910003655,33.09159910003655,,,,,,,11041,001,2024_Mar_15_1429,gonogo_T,2021.2.3,60.20436976083712,
go,triangle.png,space,1105,1.105,1.605,0,7,7,57,,,,,,,,,,,,,,,,,,,,,,,,,35.01141610002378,35.51219640002819,35.495237199997064,36.61397710000165,space,1,0.4071576000424102,35.01141610002378,35.01141610002378,,,,,,,11041,001,2024_Mar_15_1429,gonogo_T,2021.2.3,60.20436976083712,
