TrialType,Path,Correct,ms,s,ks,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,welcome.started,welcome.stopped,space.started,space.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Fixwarn.started,Fixwarn.stopped,table.started,table.stopped,key_resp__0.keys,key_resp__0.rt,key_resp__0.started,key_resp__0.stopped,type.started,type.stopped,space_3.started,space_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,stim_2.started,stim_2.stopped,text_2.started,text_2.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.started,key_resp_9.stopped,key_resp_9.rt,END.started,END.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,8.106521599926054,None,8.106521599926054,None,space,7.730328599922359,8.106521599926054,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11045,001,2024_Apr_13_1123,gonogo_T,2021.2.3,59.94373678498334,
,,,,,,,,,,,,,,,,,,15.851992399897426,None,15.851992399897426,None,space,3.289336600108072,15.851992399897426,None,,,,,,,,,,,,,,,,,,,,,,,,11045,001,2024_Apr_13_1123,gonogo_T,2021.2.3,59.94373678498334,
,,,,,,,,,,,,,,,,,,,,,,,,,,19.17325079999864,None,19.17325079999864,None,space,4.231852099997923,19.17325079999864,None,,,,,,,,,,,,,,,,11045,001,2024_Apr_13_1123,gonogo_T,2021.2.3,59.94373678498334,
go,triangle.png,space,1493,1.493,1.993,0,0,0,69,,,,,,,,,,,,,,,,,,,,,,,,,23.496218499960378,23.99704599985853,23.980693799909204,25.482367399847135,None,0,23.496218499960378,None,,,,,,,,11045,001,2024_Apr_13_1123,gonogo_T,2021.2.3,59.94373678498334,
go,triangle.png,space,1180,1.18,1.68,0,1,1,81,,,,,,,,,,,,,,,,,,,,,,,,,25.499530099797994,26.00018069986254,25.98398819984868,27.168353099841624,space,1,25.499530099797994,25.499530099797994,0.6981816000770777,,,,,,,11045,001,2024_Apr_13_1123,gonogo_T,2021.2.3,59.94373678498334,
go,triangle.png,space,1582,1.582,2.082,0,2,2,67,,,,,,,,,,,,,,,,,,,,,,,,,27.18527329992503,27.685874299844727,27.66924769990146,29.254966699983925,space,1,27.18527329992503,27.18527329992503,0.5324500999413431,,,,,,,11045,001,2024_Apr_13_1123,gonogo_T,2021.2.3,59.94373678498334,
go,triangle.png,space,1796,1.796,2.296,0,3,3,58,,,,,,,,,,,,,,,,,,,,,,,,,29.271797699853778,29.77271889988333,29.755906999809667,31.55821659998037,space,1,29.271797699853778,29.271797699853778,0.3977759999688715,,,,,,,11045,001,2024_Apr_13_1123,gonogo_T,2021.2.3,59.94373678498334,
nogo,square.png,None,1698,1.698,2.198,0,4,4,32,,,,,,,,,,,,,,,,,,,,,,,,,31.5749327999074,32.07627179985866,32.059262899914756,33.76172529999167,None,1,31.5749327999074,31.5749327999074,,,,,,,,11045,001,2024_Apr_13_1123,gonogo_T,2021.2.3,59.94373678498334,
go,triangle.png,space,1105,1.105,1.605,0,5,5,57,,,,,,,,,,,,,,,,,,,,,,,,,33.77832829998806,34.278998899972066,34.26268169982359,35.38112509995699,space,1,33.77832829998806,33.77832829998806,0.3311550000216812,,,,,,,11045,001,2024_Apr_13_1123,gonogo_T,2021.2.3,59.94373678498334,
nogo,square.png,None,1102,1.102,1.602,0,6,6,80,,,,,,,,,,,,,,,,,,,,,,,,,35.39765449985862,35.8983481999021,35.88167359982617,36.983369999798015,None,1,35.39765449985862,35.39765449985862,,,,,,,,11045,001,2024_Apr_13_1123,gonogo_T,2021.2.3,59.94373678498334,
