TrialType,Path,Correct,ms,s,ks,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,welcome.started,welcome.stopped,space.started,space.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Fixwarn.started,Fixwarn.stopped,table.started,table.stopped,key_resp__0.keys,key_resp__0.rt,key_resp__0.started,key_resp__0.stopped,type.started,type.stopped,space_3.started,space_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,stim_2.started,stim_2.stopped,text_2.started,text_2.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,END.started,END.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,7.549328500172123,None,7.549328500172123,None,space,3.0652463999576867,7.549328500172123,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
,,,,,,,,,,,,,,,,,,10.637090500211343,None,10.637090500211343,None,space,3.833433600142598,10.637090500211343,None,,,,,,,,,,,,,,,,,,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
,,,,,,,,,,,,,,,,,,,,,,,,,,14.5109509001486,None,14.5109509001486,None,space,12.63186620012857,14.5109509001486,None,,,,,,,,,,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1136,1.136,1.636,0,0,0,43,,,,,,,,,,,,,,,,,,,,,,,,,27.228514600079507,27.729578000027686,27.713004500139505,28.848375500179827,space,1,0.43431399995461106,27.228514600079507,None,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1148,1.148,1.648,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,28.86490250006318,29.365693900035694,29.3485344001092,30.500710500171408,space,1,0.3736534998752177,28.86490250006318,28.86490250006318,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
nogo,triangle.png,None,1144,1.144,1.644,0,2,2,41,,,,,,,,,,,,,,,,,,,,,,,,,30.51711060013622,31.017969500040635,31.001049500191584,32.15289290016517,None,1,,30.51711060013622,30.51711060013622,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
nogo,triangle.png,None,1317,1.317,1.817,0,3,3,85,,,,,,,,,,,,,,,,,,,,,,,,,32.16949070012197,32.67012170003727,32.65355970012024,33.972400300204754,None,1,,32.16949070012197,32.16949070012197,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1084,1.084,1.584,0,4,4,95,,,,,,,,,,,,,,,,,,,,,,,,,33.98889350006357,34.48962040012702,34.473250000039116,35.557774800108746,space,1,0.44182860013097525,33.98889350006357,33.98889350006357,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1865,1.865,2.365,0,5,5,75,,,,,,,,,,,,,,,,,,,,,,,,,35.57450730004348,36.07516590016894,36.058768700109795,37.92811380000785,space,1,0.33659869991242886,35.57450730004348,35.57450730004348,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1303,1.303,1.803,0,6,6,70,,,,,,,,,,,,,,,,,,,,,,,,,37.944909300189465,38.44547980022617,38.42937140003778,None,space,1,0.5019572998862714,37.944909300189465,37.944909300189465,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1564,1.564,2.064,0,7,7,82,,,,,,,,,,,,,,,,,,,,,,,,,39.74762300006114,40.24844970018603,40.231749300146475,41.80053830007091,space,1,0.6033097000326961,39.74762300006114,39.74762300006114,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1297,1.297,1.797,0,8,8,56,,,,,,,,,,,,,,,,,,,,,,,,,41.8176073001232,42.31803419999778,42.30126060009934,43.60322380019352,space,1,0.3814154998399317,41.8176073001232,41.8176073001232,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1536,1.536,2.036,0,9,9,3,,,,,,,,,,,,,,,,,,,,,,,,,43.62015329999849,44.12089190003462,44.10421770019457,45.63979910011403,space,1,0.4907857000362128,43.62015329999849,43.62015329999849,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
nogo,triangle.png,None,1629,1.629,2.129,0,10,10,73,,,,,,,,,,,,,,,,,,,,,,,,,45.656579500064254,46.15777810011059,46.140499900095165,47.776755400002,None,1,,45.656579500064254,45.656579500064254,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1663,1.663,2.1630000000000003,0,11,11,7,,,,,,,,,,,,,,,,,,,,,,,,,47.792958500096574,48.294480400159955,48.27716340008192,49.946344500174746,space,1,0.6150981998071074,47.792958500096574,47.792958500096574,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
nogo,triangle.png,None,1542,1.542,2.042,0,12,12,21,,,,,,,,,,,,,,,,,,,,,,,,,49.963436000049114,50.464264100184664,50.44707310013473,51.999820600030944,None,1,,49.963436000049114,49.963436000049114,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
nogo,triangle.png,None,1366,1.366,1.866,0,13,13,57,,,,,,,,,,,,,,,,,,,,,,,,,52.01610430004075,52.51732590002939,52.50028340006247,53.8687451002188,None,1,,52.01610430004075,52.01610430004075,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
nogo,triangle.png,None,1436,1.436,1.936,0,14,14,81,,,,,,,,,,,,,,,,,,,,,,,,,53.885621700203046,54.38653360004537,54.369738300098106,55.80540840001777,None,1,,53.885621700203046,53.885621700203046,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1437,1.437,1.937,0,15,15,50,,,,,,,,,,,,,,,,,,,,,,,,,55.82259750016965,56.322742900112644,56.305823400150985,57.75815110001713,space,1,0.4337705001235008,55.82259750016965,55.82259750016965,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
nogo,triangle.png,None,1939,1.939,2.439,0,16,16,65,,,,,,,,,,,,,,,,,,,,,,,,,57.77469560015015,58.275635700207204,58.259238900151104,60.212206800002605,None,1,,57.77469560015015,57.77469560015015,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1513,1.513,2.013,0,17,17,31,,,,,,,,,,,,,,,,,,,,,,,,,60.228881400078535,60.7292968002148,60.71290360018611,62.23229660000652,space,1,0.3868961001280695,60.228881400078535,60.228881400078535,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1780,1.78,2.2800000000000002,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,62.24830310000107,62.74897780013271,62.73312720004469,64.51824650005437,space,1,0.41526359994895756,62.24830310000107,62.24830310000107,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
nogo,triangle.png,None,1569,1.569,2.069,0,19,19,45,,,,,,,,,,,,,,,,,,,,,,,,,64.5348926000297,65.03582570003346,65.0188943000976,66.5881610000506,None,1,,64.5348926000297,64.5348926000297,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
nogo,triangle.png,None,1325,1.325,1.825,0,20,20,17,,,,,,,,,,,,,,,,,,,,,,,,,66.60526540013961,67.10559590021148,67.08900380018167,68.42457220004871,None,1,,66.60526540013961,66.60526540013961,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1044,1.044,1.544,0,21,21,92,,,,,,,,,,,,,,,,,,,,,,,,,68.44140860019252,68.94155660015531,68.9249360000249,69.97758100018837,space,1,0.4552712000440806,68.44140860019252,68.44140860019252,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1692,1.692,2.192,0,22,22,30,,,,,,,,,,,,,,,,,,,,,,,,,69.99335090001114,70.49443260021508,70.47795970016159,72.1800229002256,space,1,0.34249309985898435,69.99335090001114,69.99335090001114,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1069,1.069,1.569,0,23,23,20,,,,,,,,,,,,,,,,,,,,,,,,,72.19717040006071,72.69750680006109,72.68075740011409,73.74924910021946,space,1,0.34683130006305873,72.19717040006071,72.19717040006071,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1057,1.057,1.557,0,24,24,40,,,,,,,,,,,,,,,,,,,,,,,,,73.7655412000604,74.26645880006254,74.25009390013292,75.31805090000853,space,1,0.3784556998871267,73.7655412000604,73.7655412000604,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1967,1.967,2.467,0,25,25,54,,,,,,,,,,,,,,,,,,,,,,,,,75.33450180012733,75.83552550012246,75.81944700004533,77.78873370005749,space,1,0.34559609997086227,75.33450180012733,75.33450180012733,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
nogo,triangle.png,None,1190,1.19,1.69,0,26,26,53,,,,,,,,,,,,,,,,,,,,,,,,,77.80515070003457,78.30597070022486,78.28939970000647,79.49099910003133,None,1,,77.80515070003457,77.80515070003457,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
nogo,triangle.png,None,1683,1.683,2.183,0,27,27,29,,,,,,,,,,,,,,,,,,,,,,,,,79.50843020016328,80.00862810015678,79.99171240022406,81.67825080011971,None,1,,79.50843020016328,79.50843020016328,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1822,1.822,2.322,0,28,28,60,,,,,,,,,,,,,,,,,,,,,,,,,81.69431240018457,82.19499990018085,82.17823740001768,84.01455360022373,space,1,0.5142203001305461,81.69431240018457,81.69431240018457,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1843,1.843,2.343,0,29,29,64,,,,,,,,,,,,,,,,,,,,,,,,,84.03140050009824,84.53193930000998,84.5151223000139,86.36799070006236,space,1,0.3770018999930471,84.03140050009824,84.03140050009824,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1503,1.503,2.003,0,30,30,78,,,,,,,,,,,,,,,,,,,,,,,,,86.38464350020513,86.88589390018024,86.8686447001528,88.37084210012108,space,1,0.3439482001122087,86.38464350020513,86.38464350020513,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1899,1.899,2.399,0,31,31,55,,,,,,,,,,,,,,,,,,,,,,,,,88.38798600016162,88.88855260005221,88.8718860000372,90.77457330003381,space,1,0.4767072999384254,88.38798600016162,88.38798600016162,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1331,1.331,1.831,0,32,32,27,,,,,,,,,,,,,,,,,,,,,,,,,90.79121010005474,91.29187260009348,91.27560910000466,92.61079970002174,space,1,0.32164209987968206,90.79121010005474,90.79121010005474,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1230,1.23,1.73,0,33,33,35,,,,,,,,,,,,,,,,,,,,,,,,,92.62747340020724,93.12829500017688,93.11138220014982,94.34865540009923,space,1,0.36495790001936257,92.62747340020724,92.62747340020724,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1973,1.973,2.473,0,34,34,44,,,,,,,,,,,,,,,,,,,,,,,,,94.36378120002337,94.86484160018153,94.84767000004649,96.83445590012707,space,1,0.3331316998228431,94.36378120002337,94.36378120002337,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1240,1.24,1.74,0,35,35,86,,,,,,,,,,,,,,,,,,,,,,,,,96.8505874001421,97.35277510015294,97.3343456001021,98.58644500002265,space,1,0.39822149998508394,96.8505874001421,96.8505874001421,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
nogo,triangle.png,None,1118,1.118,1.618,0,36,36,69,,,,,,,,,,,,,,,,,,,,,,,,,98.60283930017613,99.10388070018962,99.08723810012452,100.20566340000369,None,1,,98.60283930017613,98.60283930017613,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1462,1.462,1.962,0,37,37,72,,,,,,,,,,,,,,,,,,,,,,,,,100.22245830018073,100.72317950008437,100.70648870011792,102.1755368001759,space,1,0.5382071000058204,100.22245830018073,100.22245830018073,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
nogo,triangle.png,None,1659,1.659,2.159,0,38,38,49,,,,,,,,,,,,,,,,,,,,,,,,,102.19191690022126,102.69257840001956,102.67596010002308,104.34517270000651,None,1,,102.19191690022126,102.19191690022126,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1420,1.42,1.92,0,39,39,6,,,,,,,,,,,,,,,,,,,,,,,,,104.36179370013997,104.86263450002298,104.84594340017065,106.26469120010734,space,1,0.4310385000426322,104.36179370013997,104.36179370013997,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1054,1.054,1.554,0,40,40,39,,,,,,,,,,,,,,,,,,,,,,,,,106.28147800010629,106.78254280006513,106.76543260016479,107.8339404000435,space,1,0.4074144000187516,106.28147800010629,106.28147800010629,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1503,1.503,2.003,0,41,41,79,,,,,,,,,,,,,,,,,,,,,,,,,107.85041300021112,108.3510386000853,108.33526080008596,109.83678830019198,space,1,0.38290280010551214,107.85041300021112,107.85041300021112,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1111,1.111,1.611,0,42,42,24,,,,,,,,,,,,,,,,,,,,,,,,,109.85353130009025,110.35415870021097,110.33788770018145,111.4562931000255,space,1,0.5876403001602739,109.85353130009025,109.85353130009025,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
nogo,triangle.png,None,1384,1.384,1.884,0,43,43,77,,,,,,,,,,,,,,,,,,,,,,,,,111.47268710006028,111.97334740008228,111.95670880004764,113.34220050019212,None,1,,111.47268710006028,111.47268710006028,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1445,1.445,1.945,0,44,44,74,,,,,,,,,,,,,,,,,,,,,,,,,113.35886350017972,113.85937560000457,113.84284550021403,115.29555860022083,space,1,0.5251386999152601,113.35886350017972,113.35886350017972,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1900,1.9,2.4,0,45,45,52,,,,,,,,,,,,,,,,,,,,,,,,,115.31162540009245,115.81320470012724,115.79635020019487,117.69904200010933,space,1,0.4097768999636173,115.31162540009245,115.31162540009245,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1227,1.227,1.727,0,46,46,34,,,,,,,,,,,,,,,,,,,,,,,,,117.71570770000108,118.21614810009487,118.19948670011945,119.43496980005875,space,1,0.4298257001210004,117.71570770000108,117.71570770000108,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1513,1.513,2.013,0,47,47,8,,,,,,,,,,,,,,,,,,,,,,,,,119.45127440011129,119.95192460017279,119.93530590017326,121.45429370016791,space,1,0.37439780007116497,119.45127440011129,119.45127440011129,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1110,1.11,1.61,0,48,48,76,,,,,,,,,,,,,,,,,,,,,,,,,121.4710669000633,121.97187130013481,121.95493430015631,123.07355740014464,space,1,0.3945369999855757,121.4710669000633,121.4710669000633,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1210,1.21,1.71,0,49,49,80,,,,,,,,,,,,,,,,,,,,,,,,,123.09009569999762,123.59079500008374,123.57433190010488,124.79266250017099,space,1,0.3351362000685185,123.09009569999762,123.09009569999762,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1552,1.552,2.052,0,50,50,59,,,,,,,,,,,,,,,,,,,,,,,,,124.80945130018517,125.31008580001071,125.29331740015186,126.84609170001931,space,1,0.3918281998485327,124.80945130018517,124.80945130018517,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1189,1.189,1.689,0,51,51,11,,,,,,,,,,,,,,,,,,,,,,,,,126.86225500004366,127.36400490021333,127.34662980004214,128.5483767001424,space,1,0.36366010014899075,126.86225500004366,126.86225500004366,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1670,1.67,2.17,0,52,52,94,,,,,,,,,,,,,,,,,,,,,,,,,128.56497830012813,129.06584370019846,129.04941350012086,130.71869230014272,space,1,0.40447039995342493,128.56497830012813,128.56497830012813,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1776,1.776,2.276,0,53,53,14,,,,,,,,,,,,,,,,,,,,,,,,,130.73532000021078,131.23577340017073,131.2191270000767,133.00545749999583,space,1,0.3541918999981135,130.73532000021078,130.73532000021078,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
nogo,triangle.png,None,1867,1.867,2.367,0,54,54,33,,,,,,,,,,,,,,,,,,,,,,,,,133.02231170004234,133.52246250002645,133.5056395002175,135.37598050013185,None,1,,133.02231170004234,133.02231170004234,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
nogo,triangle.png,None,1450,1.45,1.95,0,55,55,37,,,,,,,,,,,,,,,,,,,,,,,,,135.3924224001821,135.89258320000954,135.87627030001022,137.32849170011468,None,1,,135.3924224001821,135.3924224001821,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1060,1.06,1.56,0,56,56,51,,,,,,,,,,,,,,,,,,,,,,,,,137.34489730000496,137.8459412001539,137.82908680010587,138.89782250020653,space,1,0.48979909997433424,137.34489730000496,137.34489730000496,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
nogo,triangle.png,None,1771,1.771,2.271,0,57,57,1,,,,,,,,,,,,,,,,,,,,,,,,,138.9139479000587,139.41467980016023,139.39806510019116,None,None,1,,138.9139479000587,138.9139479000587,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1361,1.361,1.861,0,58,58,67,,,,,,,,,,,,,,,,,,,,,,,,,141.1840370001737,141.68487320002168,141.66855360008776,143.03671350004151,space,1,0.37766540003940463,141.1840370001737,141.1840370001737,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
nogo,triangle.png,None,1909,1.909,2.409,0,59,59,9,,,,,,,,,,,,,,,,,,,,,,,,,143.05364470020868,143.55439530010335,143.5377218001522,145.4571221000515,None,1,,143.05364470020868,143.05364470020868,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
nogo,triangle.png,None,1273,1.273,1.773,0,60,60,5,,,,,,,,,,,,,,,,,,,,,,,,,145.47406130004674,145.97485110000707,145.9584804000333,147.24347840016708,None,1,,145.47406130004674,145.47406130004674,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1562,1.562,2.0620000000000003,0,61,61,46,,,,,,,,,,,,,,,,,,,,,,,,,147.25973210018128,147.76100510009564,147.74389160005376,149.31304610008374,space,1,0.4542602999135852,147.25973210018128,147.25973210018128,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
go,square.png,space,1160,1.16,1.66,0,62,62,48,,,,,,,,,,,,,,,,,,,,,,,,,149.32966610020958,149.83056810009293,149.81501760007814,150.9822255000472,space,1,0.44861810002475977,149.32966610020958,149.32966610020958,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
nogo,triangle.png,None,1924,1.924,2.424,0,63,63,13,,,,,,,,,,,,,,,,,,,,,,,,,150.99896480003372,151.49967440008186,151.4831738001667,153.41984580014832,None,1,,150.99896480003372,150.99896480003372,,,,,,,11046,001,2024_Apr_15_1356,gonogo_S,2021.2.3,59.94671939673294,
