backseq,backinstr,backfile,instruction,Trialtype,back,number,P1,P2,P3,P4,corrAns,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,image.started,image.stopped,image_2.started,image_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_3.started,image_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_4.started,image_4.stopped,text.started,text.stopped,H1.started,H1.stopped,H2.started,H2.stopped,H3.started,H3.stopped,H4.started,H4.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,F1.started,F1.stopped,F2.started,F2.stopped,F3.started,F3.stopped,F4.started,F4.stopped,image_7.started,image_7.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_5.started,image_5.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,H1_2.started,H1_2.stopped,H2_2.started,H2_2.stopped,H3_2.started,H3_2.stopped,H4_2.started,H4_2.stopped,F1_2.started,F1_2.stopped,F2_2.started,F2_2.stopped,F3_2.started,F3_2.stopped,F4_2.started,F4_2.stopped,image_8.started,image_8.stopped,text_2.started,text_2.stopped,image_6.started,image_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.65118700000312,None,9.603307199999108,None,space,7.275534000000334,9.603307199999108,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11001,001,2023_Dec_29_1020,nback,2021.2.3,60.33415468144957,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,17.09730860000127,None,space,73.97366119999788,17.09730860000127,None,91.27329570000438,95.78084550000494,95.74809780000214,None,96.14855940000416,97.14969689999998,96.14855940000416,97.14969689999998,96.14855940000416,97.14969689999998,96.14855940000416,97.14969689999998,up,1,0.75468450000335,96.14855940000416,None,96.14855940000416,None,96.14855940000416,96.6489431000009,96.14855940000416,96.6489431000009,96.14855940000416,96.6489431000009,96.14855940000416,96.6489431000009,96.14855940000416,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11001,001,2023_Dec_29_1020,nback,2021.2.3,60.33415468144957,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,97.6176734000037,98.6185345000049,97.6176734000037,98.6185345000049,97.6176734000037,98.6185345000049,97.6176734000037,98.6185345000049,left,1,0.40515799999411684,97.6176734000037,None,97.6176734000037,None,97.6176734000037,98.11785520000558,97.6176734000037,98.11785520000558,97.6176734000037,98.11785520000558,97.6176734000037,98.11785520000558,97.6176734000037,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11001,001,2023_Dec_29_1020,nback,2021.2.3,60.33415468144957,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,99.10236240000086,100.10411480000039,99.10236240000086,100.10411480000039,99.10236240000086,100.10411480000039,99.10236240000086,100.10411480000039,right,1,0.3686913999990793,99.10236240000086,None,99.10236240000086,None,99.10236240000086,99.60342279999895,99.10236240000086,99.60342279999895,99.10236240000086,99.60342279999895,99.10236240000086,99.60342279999895,99.10236240000086,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11001,001,2023_Dec_29_1020,nback,2021.2.3,60.33415468144957,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,100.62177890000021,101.62302009999985,100.62177890000021,101.62302009999985,100.62177890000021,101.62302009999985,100.62177890000021,101.62302009999985,down,1,0.39296009999816306,100.62177890000021,None,100.62177890000021,None,100.62177890000021,101.15479920000507,100.62177890000021,101.15479920000507,100.62177890000021,101.15479920000507,100.62177890000021,101.15479920000507,100.62177890000021,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11001,001,2023_Dec_29_1020,nback,2021.2.3,60.33415468144957,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,102.1059796000045,103.10835619999852,102.1059796000045,103.10835619999852,102.1059796000045,103.10835619999852,102.1059796000045,103.10835619999852,left,1,0.45282070000394015,102.1059796000045,None,102.1059796000045,None,102.1059796000045,102.60783790000278,102.1059796000045,102.60783790000278,102.1059796000045,102.60783790000278,102.1059796000045,102.60783790000278,102.1059796000045,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11001,001,2023_Dec_29_1020,nback,2021.2.3,60.33415468144957,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,103.60847180000565,104.61076930000127,103.60847180000565,104.61076930000127,103.60847180000565,104.61076930000127,103.60847180000565,104.61076930000127,up,1,0.41429860000062035,103.60847180000565,None,103.60847180000565,None,103.60847180000565,104.10920669999905,103.60847180000565,104.10920669999905,103.60847180000565,104.10920669999905,103.60847180000565,104.10920669999905,103.60847180000565,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11001,001,2023_Dec_29_1020,nback,2021.2.3,60.33415468144957,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,105.11071910000464,106.11311530000239,105.11071910000464,106.11311530000239,105.11071910000464,106.11311530000239,105.11071910000464,106.11311530000239,down,1,0.4323651999948197,105.11071910000464,None,105.11071910000464,None,105.11071910000464,105.61200680000184,105.11071910000464,105.61200680000184,105.11071910000464,105.61200680000184,105.11071910000464,105.61200680000184,105.11071910000464,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11001,001,2023_Dec_29_1020,nback,2021.2.3,60.33415468144957,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,106.61452120000467,107.6152360000051,106.61452120000467,107.6152360000051,106.61452120000467,107.6152360000051,106.61452120000467,107.6152360000051,right,1,0.3445434000022942,106.61452120000467,None,106.61452120000467,None,106.61452120000467,107.11450830000103,106.61452120000467,107.11450830000103,106.61452120000467,107.11450830000103,106.61452120000467,107.11450830000103,106.61452120000467,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11001,001,2023_Dec_29_1020,nback,2021.2.3,60.33415468144957,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,108.11637290000363,109.11741240000265,108.11637290000363,109.11741240000265,108.11637290000363,109.11741240000265,108.11637290000363,109.11741240000265,right,1,0.3943892999959644,108.11637290000363,None,108.11637290000363,None,108.11637290000363,108.61673380000138,108.11637290000363,108.61673380000138,108.11637290000363,108.61673380000138,108.11637290000363,108.61673380000138,108.11637290000363,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11001,001,2023_Dec_29_1020,nback,2021.2.3,60.33415468144957,
