backseq,backinstr,backfile,instruction,Trialtype,back,number,P1,P2,P3,P4,corrAns,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,image.started,image.stopped,image_2.started,image_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_3.started,image_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_4.started,image_4.stopped,text.started,text.stopped,H1.started,H1.stopped,H2.started,H2.stopped,H3.started,H3.stopped,H4.started,H4.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,F1.started,F1.stopped,F2.started,F2.stopped,F3.started,F3.stopped,F4.started,F4.stopped,image_7.started,image_7.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_5.started,image_5.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,H1_2.started,H1_2.stopped,H2_2.started,H2_2.stopped,H3_2.started,H3_2.stopped,H4_2.started,H4_2.stopped,F1_2.started,F1_2.stopped,F2_2.started,F2_2.stopped,F3_2.started,F3_2.stopped,F4_2.started,F4_2.stopped,image_8.started,image_8.stopped,key_resp_5.rt,text_2.started,text_2.stopped,image_6.started,image_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.212433699998655,None,10.131227599995327,None,space,25.47350830000505,10.131227599995327,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11002,001,2023_Dec_29_1307,nback,2021.2.3,60.46976541877763,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,35.80179510000016,None,space,8.139301299997896,35.80179510000016,None,44.14812749999692,48.655892299997504,48.58867169999576,None,48.989282900001854,49.98967659999471,48.989282900001854,49.98967659999471,48.989282900001854,49.98967659999471,48.989282900001854,49.98967659999471,up,1,0.6157020999962697,48.989282900001854,None,48.989282900001854,None,48.989282900001854,49.48952509999799,48.989282900001854,49.48952509999799,48.989282900001854,49.48952509999799,48.989282900001854,49.48952509999799,48.989282900001854,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11002,001,2023_Dec_29_1307,nback,2021.2.3,60.46976541877763,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,50.474243299999216,51.47512409999763,50.474243299999216,51.47512409999763,50.474243299999216,51.47512409999763,50.474243299999216,51.47512409999763,left,1,0.4511133999985759,50.474243299999216,None,50.474243299999216,None,50.474243299999216,50.97567069999786,50.474243299999216,50.97567069999786,50.474243299999216,50.97567069999786,50.474243299999216,50.97567069999786,50.474243299999216,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11002,001,2023_Dec_29_1307,nback,2021.2.3,60.46976541877763,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,51.97590779999882,52.97843759999523,51.97590779999882,52.97843759999523,51.97590779999882,52.97843759999523,51.97590779999882,52.97843759999523,right,1,0.4771729999993113,51.97590779999882,None,51.97590779999882,None,51.97590779999882,52.476753299997654,51.97590779999882,52.476753299997654,51.97590779999882,52.476753299997654,51.97590779999882,52.476753299997654,51.97590779999882,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11002,001,2023_Dec_29_1307,nback,2021.2.3,60.46976541877763,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,53.5281055000014,54.531285500001104,53.5281055000014,54.531285500001104,53.5281055000014,54.531285500001104,53.5281055000014,54.531285500001104,down,1,0.7488792000003741,53.5281055000014,None,53.5281055000014,None,53.5281055000014,54.0291561999984,53.5281055000014,54.0291561999984,53.5281055000014,54.0291561999984,53.5281055000014,54.0291561999984,53.5281055000014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11002,001,2023_Dec_29_1307,nback,2021.2.3,60.46976541877763,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,54.981117299998004,55.98247899999842,54.981117299998004,55.98247899999842,54.981117299998004,55.98247899999842,54.981117299998004,55.98247899999842,left,1,0.36783009999635397,54.981117299998004,None,54.981117299998004,None,54.981117299998004,55.48186120000173,54.981117299998004,55.48186120000173,54.981117299998004,55.48186120000173,54.981117299998004,55.48186120000173,54.981117299998004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11002,001,2023_Dec_29_1307,nback,2021.2.3,60.46976541877763,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,56.48269009999785,57.4844901999968,56.48269009999785,57.4844901999968,56.48269009999785,57.4844901999968,56.48269009999785,57.4844901999968,up,1,0.27433190000010654,56.48269009999785,None,56.48269009999785,None,56.48269009999785,56.98399879999488,56.48269009999785,56.98399879999488,56.48269009999785,56.98399879999488,56.48269009999785,56.98399879999488,56.48269009999785,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11002,001,2023_Dec_29_1307,nback,2021.2.3,60.46976541877763,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,57.968021699998644,58.9708221999972,57.968021699998644,58.9708221999972,57.968021699998644,58.9708221999972,57.968021699998644,58.9708221999972,down,1,0.6929966999960016,57.968021699998644,None,57.968021699998644,None,57.968021699998644,58.469678000001295,57.968021699998644,58.469678000001295,57.968021699998644,58.469678000001295,57.968021699998644,58.469678000001295,57.968021699998644,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11002,001,2023_Dec_29_1307,nback,2021.2.3,60.46976541877763,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,59.47034029999486,60.4719139000008,59.47034029999486,60.4719139000008,59.47034029999486,60.4719139000008,59.47034029999486,60.4719139000008,right,1,0.44691880000027595,59.47034029999486,None,59.47034029999486,None,59.47034029999486,59.97116939999978,59.47034029999486,59.97116939999978,59.47034029999486,59.97116939999978,59.47034029999486,59.97116939999978,59.47034029999486,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11002,001,2023_Dec_29_1307,nback,2021.2.3,60.46976541877763,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,60.972662899999705,61.974054099999194,60.972662899999705,61.974054099999194,60.972662899999705,61.974054099999194,60.972662899999705,61.974054099999194,right,1,0.46437230000447016,60.972662899999705,None,60.972662899999705,None,60.972662899999705,61.47335089999979,60.972662899999705,61.47335089999979,60.972662899999705,61.47335089999979,60.972662899999705,61.47335089999979,60.972662899999705,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11002,001,2023_Dec_29_1307,nback,2021.2.3,60.46976541877763,
