backseq,backinstr,backfile,instruction,size_in,Trialtype,back,number,P1,P2,P3,P4,corrAns,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,image.started,image.stopped,image_2.started,image_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_3.started,image_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_4.started,image_4.stopped,text.started,text.stopped,H1.started,H1.stopped,H2.started,H2.stopped,H3.started,H3.stopped,H4.started,H4.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,F1.started,F1.stopped,F2.started,F2.stopped,F3.started,F3.stopped,F4.started,F4.stopped,image_7.started,image_7.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_5.started,image_5.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,H1_2.started,H1_2.stopped,H2_2.started,H2_2.stopped,H3_2.started,H3_2.stopped,H4_2.started,H4_2.stopped,F1_2.started,F1_2.stopped,F2_2.started,F2_2.stopped,F3_2.started,F3_2.stopped,F4_2.started,F4_2.stopped,image_8.started,image_8.stopped,text_2.started,text_2.stopped,image_6.started,image_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.429613500018604,None,10.399282300029881,None,space,10.837691500084475,10.399282300029881,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11014,001,2024_Jan_04_1032,nback,2021.2.3,59.85780179641349,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,21.314594399998896,None,space,55.88258139998652,21.314594399998896,None,77.3302956999978,81.83803580002859,81.80483839998487,None,82.23874499998055,83.23967150005046,82.23874499998055,83.23967150005046,82.23874499998055,83.23967150005046,82.23874499998055,83.23967150005046,up,1,0.8468421000288799,82.23874499998055,None,82.23874499998055,None,82.23874499998055,82.738830300048,82.23874499998055,82.738830300048,82.23874499998055,82.738830300048,82.23874499998055,82.738830300048,82.23874499998055,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11014,001,2024_Jan_04_1032,nback,2021.2.3,59.85780179641349,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,83.72348539996892,84.72514550003689,83.72348539996892,84.72514550003689,83.72348539996892,84.72514550003689,83.72348539996892,84.72514550003689,left,1,0.45785310002975166,83.72348539996892,None,83.72348539996892,None,83.72348539996892,84.22418080002535,83.72348539996892,84.22418080002535,83.72348539996892,84.22418080002535,83.72348539996892,84.22418080002535,83.72348539996892,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11014,001,2024_Jan_04_1032,nback,2021.2.3,59.85780179641349,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,85.22564209997654,86.22896380000748,85.22564209997654,86.22896380000748,85.22564209997654,86.22896380000748,85.22564209997654,86.22896380000748,right,1,0.4114179000025615,85.22564209997654,None,85.22564209997654,None,85.22564209997654,85.7271317000268,85.22564209997654,85.7271317000268,85.22564209997654,85.7271317000268,85.22564209997654,85.7271317000268,85.22564209997654,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11014,001,2024_Jan_04_1032,nback,2021.2.3,59.85780179641349,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,86.72897419997025,87.72952549997717,86.72897419997025,87.72952549997717,86.72897419997025,87.72952549997717,86.72897419997025,87.72952549997717,down,1,0.5163815000560135,86.72897419997025,None,86.72897419997025,None,86.72897419997025,87.22927380003966,86.72897419997025,87.22927380003966,86.72897419997025,87.22927380003966,86.72897419997025,87.22927380003966,86.72897419997025,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11014,001,2024_Jan_04_1032,nback,2021.2.3,59.85780179641349,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,88.2305491999723,89.232296400005,88.2305491999723,89.232296400005,88.2305491999723,89.232296400005,88.2305491999723,89.232296400005,left,1,0.3908405000111088,88.2305491999723,None,88.2305491999723,None,88.2305491999723,88.73079359997064,88.2305491999723,88.73079359997064,88.2305491999723,88.73079359997064,88.2305491999723,88.73079359997064,88.2305491999723,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11014,001,2024_Jan_04_1032,nback,2021.2.3,59.85780179641349,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,89.73310289997607,90.73436949995812,89.73310289997607,90.73436949995812,89.73310289997607,90.73436949995812,89.73310289997607,90.73436949995812,up,1,0.34460349997971207,89.73310289997607,None,89.73310289997607,None,89.73310289997607,90.23355670005549,89.73310289997607,90.23355670005549,89.73310289997607,90.23355670005549,89.73310289997607,90.23355670005549,89.73310289997607,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11014,001,2024_Jan_04_1032,nback,2021.2.3,59.85780179641349,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,91.2179552000016,92.21934339997824,91.2179552000016,92.21934339997824,91.2179552000016,92.21934339997824,91.2179552000016,92.21934339997824,down,1,0.5391136000398546,91.2179552000016,None,91.2179552000016,None,91.2179552000016,91.7192839999916,91.2179552000016,91.7192839999916,91.2179552000016,91.7192839999916,91.2179552000016,91.7192839999916,91.2179552000016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11014,001,2024_Jan_04_1032,nback,2021.2.3,59.85780179641349,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,92.72155480005313,93.72200189996511,92.72155480005313,93.72200189996511,92.72155480005313,93.72200189996511,92.72155480005313,93.72200189996511,right,1,0.3485637999838218,92.72155480005313,None,92.72155480005313,None,92.72155480005313,93.22150159999728,92.72155480005313,93.22150159999728,92.72155480005313,93.22150159999728,92.72155480005313,93.22150159999728,92.72155480005313,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11014,001,2024_Jan_04_1032,nback,2021.2.3,59.85780179641349,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,94.22238489997108,95.22415290004574,94.22238489997108,95.22415290004574,94.22238489997108,95.22415290004574,94.22238489997108,95.22415290004574,right,1,0.383499100105837,94.22238489997108,None,94.22238489997108,None,94.22238489997108,94.72363430005498,94.22238489997108,94.72363430005498,94.22238489997108,94.72363430005498,94.22238489997108,94.72363430005498,94.22238489997108,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11014,001,2024_Jan_04_1032,nback,2021.2.3,59.85780179641349,
