backseq,backinstr,backfile,instruction,size_in,Trialtype,back,number,P1,P2,P3,P4,corrAns,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,image.started,image.stopped,image_2.started,image_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_3.started,image_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_4.started,image_4.stopped,text.started,text.stopped,H1.started,H1.stopped,H2.started,H2.stopped,H3.started,H3.stopped,H4.started,H4.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,F1.started,F1.stopped,F2.started,F2.stopped,F3.started,F3.stopped,F4.started,F4.stopped,image_7.started,image_7.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_5.started,image_5.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,H1_2.started,H1_2.stopped,H2_2.started,H2_2.stopped,H3_2.started,H3_2.stopped,H4_2.started,H4_2.stopped,F1_2.started,F1_2.stopped,F2_2.started,F2_2.stopped,F3_2.started,F3_2.stopped,F4_2.started,F4_2.stopped,image_8.started,image_8.stopped,key_resp_5.rt,text_2.started,text_2.stopped,image_6.started,image_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.288893899996765,None,11.241545700002462,None,space,5.88321260001976,11.241545700002462,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11043,001,2024_Mar_21_0830,nback,2021.2.3,60.06424472987095,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,17.181872399989516,None,space,16.3590463999426,17.181872399989516,None,33.72412820009049,38.23118450003676,38.1978320000926,None,38.58236630004831,39.58288500003982,38.58236630004831,39.58288500003982,38.58236630004831,39.58288500003982,38.58236630004831,39.58288500003982,up,1,0.5185347000369802,38.58236630004831,None,38.58236630004831,None,38.58236630004831,39.08229340007529,38.58236630004831,39.08229340007529,38.58236630004831,39.08229340007529,38.58236630004831,39.08229340007529,38.58236630004831,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11043,001,2024_Mar_21_0830,nback,2021.2.3,60.06424472987095,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,40.06690279999748,41.06867370009422,40.06690279999748,41.06867370009422,40.06690279999748,41.06867370009422,40.06690279999748,41.06867370009422,left,1,0.41842759994324297,40.06690279999748,None,40.06690279999748,None,40.06690279999748,40.567877800087444,40.06690279999748,40.567877800087444,40.06690279999748,40.567877800087444,40.06690279999748,40.567877800087444,40.06690279999748,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11043,001,2024_Mar_21_0830,nback,2021.2.3,60.06424472987095,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,41.56941800005734,42.57100540003739,41.56941800005734,42.57100540003739,41.56941800005734,42.57100540003739,41.56941800005734,42.57100540003739,right,1,0.34767679998185486,41.56941800005734,None,41.56941800005734,None,41.56941800005734,42.07055930001661,41.56941800005734,42.07055930001661,41.56941800005734,42.07055930001661,41.56941800005734,42.07055930001661,41.56941800005734,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11043,001,2024_Mar_21_0830,nback,2021.2.3,60.06424472987095,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,43.071523000020534,44.07353110006079,43.071523000020534,44.07353110006079,43.071523000020534,44.07353110006079,43.071523000020534,44.07353110006079,down,1,0.7336308999219909,43.071523000020534,None,43.071523000020534,None,43.071523000020534,43.57377960009035,43.071523000020534,43.57377960009035,43.071523000020534,43.57377960009035,43.071523000020534,43.57377960009035,43.071523000020534,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11043,001,2024_Mar_21_0830,nback,2021.2.3,60.06424472987095,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,44.57422569999471,45.575270500034094,44.57422569999471,45.575270500034094,44.57422569999471,45.575270500034094,44.57422569999471,45.575270500034094,left,1,0.4790114000206813,44.57422569999471,None,44.57422569999471,None,44.57422569999471,45.07486719998997,44.57422569999471,45.07486719998997,44.57422569999471,45.07486719998997,44.57422569999471,45.07486719998997,44.57422569999471,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11043,001,2024_Mar_21_0830,nback,2021.2.3,60.06424472987095,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0762979000574,47.07789660000708,46.0762979000574,47.07789660000708,46.0762979000574,47.07789660000708,46.0762979000574,47.07789660000708,up,1,0.37720769993029535,46.0762979000574,None,46.0762979000574,None,46.0762979000574,46.577097100089304,46.0762979000574,46.577097100089304,46.0762979000574,46.577097100089304,46.0762979000574,46.577097100089304,46.0762979000574,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11043,001,2024_Mar_21_0830,nback,2021.2.3,60.06424472987095,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,47.561651200056076,48.56339750008192,47.561651200056076,48.56339750008192,47.561651200056076,48.56339750008192,47.561651200056076,48.56339750008192,down,1,0.4435752999270335,47.561651200056076,None,47.561651200056076,None,47.561651200056076,48.06260880001355,47.561651200056076,48.06260880001355,47.561651200056076,48.06260880001355,47.561651200056076,48.06260880001355,47.561651200056076,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11043,001,2024_Mar_21_0830,nback,2021.2.3,60.06424472987095,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,49.06384680001065,50.06713340000715,49.06384680001065,50.06713340000715,49.06384680001065,50.06713340000715,49.06384680001065,50.06713340000715,right,1,0.3653765000635758,49.06384680001065,None,49.06384680001065,None,49.06384680001065,49.56491479999386,49.06384680001065,49.56491479999386,49.06384680001065,49.56491479999386,49.06384680001065,49.56491479999386,49.06384680001065,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11043,001,2024_Mar_21_0830,nback,2021.2.3,60.06424472987095,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,50.566139700007625,51.56840800005011,50.566139700007625,51.56840800005011,50.566139700007625,51.56840800005011,50.566139700007625,51.56840800005011,right,1,0.3840722000459209,50.566139700007625,None,50.566139700007625,None,50.566139700007625,51.067190700094216,50.566139700007625,51.067190700094216,50.566139700007625,51.067190700094216,50.566139700007625,51.067190700094216,50.566139700007625,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11043,001,2024_Mar_21_0830,nback,2021.2.3,60.06424472987095,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,52.06851780007128,53.070823900052346,52.06851780007128,53.070823900052346,52.06851780007128,53.070823900052346,52.06851780007128,53.070823900052346,down,1,0.44881259999237955,52.06851780007128,None,52.06851780007128,None,52.06851780007128,52.56913900002837,52.06851780007128,52.56913900002837,52.06851780007128,52.56913900002837,52.06851780007128,52.56913900002837,52.06851780007128,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11043,001,2024_Mar_21_0830,nback,2021.2.3,60.06424472987095,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,53.57088650006335,54.57213440001942,53.57088650006335,54.57213440001942,53.57088650006335,54.57213440001942,53.57088650006335,54.57213440001942,up,1,0.41033290000632405,53.57088650006335,None,53.57088650006335,None,53.57088650006335,54.0713825999992,53.57088650006335,54.0713825999992,53.57088650006335,54.0713825999992,53.57088650006335,54.0713825999992,53.57088650006335,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11043,001,2024_Mar_21_0830,nback,2021.2.3,60.06424472987095,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,55.07323570002336,56.074594200006686,55.07323570002336,56.074594200006686,55.07323570002336,56.074594200006686,55.07323570002336,56.074594200006686,left,1,0.3084159999853,55.07323570002336,None,55.07323570002336,None,55.07323570002336,55.57412690005731,55.07323570002336,55.57412690005731,55.07323570002336,55.57412690005731,55.07323570002336,55.57412690005731,55.07323570002336,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11043,001,2024_Mar_21_0830,nback,2021.2.3,60.06424472987095,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,56.57528920006007,57.57679590000771,56.57528920006007,57.57679590000771,56.57528920006007,57.57679590000771,56.57528920006007,57.57679590000771,down,1,0.3825793999712914,56.57528920006007,None,56.57528920006007,None,56.57528920006007,57.07619699998759,56.57528920006007,57.07619699998759,56.57528920006007,57.07619699998759,56.57528920006007,57.07619699998759,56.57528920006007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11043,001,2024_Mar_21_0830,nback,2021.2.3,60.06424472987095,
