backseq,backinstr,backfile,instruction,size_in,Trialtype,back,number,P1,P2,P3,P4,corrAns,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,image.started,image.stopped,image_2.started,image_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_3.started,image_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_4.started,image_4.stopped,text.started,text.stopped,H1.started,H1.stopped,H2.started,H2.stopped,H3.started,H3.stopped,H4.started,H4.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,F1.started,F1.stopped,F2.started,F2.stopped,F3.started,F3.stopped,F4.started,F4.stopped,image_7.started,image_7.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_5.started,image_5.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,H1_2.started,H1_2.stopped,H2_2.started,H2_2.stopped,H3_2.started,H3_2.stopped,H4_2.started,H4_2.stopped,F1_2.started,F1_2.stopped,F2_2.started,F2_2.stopped,F3_2.started,F3_2.stopped,F4_2.started,F4_2.stopped,image_8.started,image_8.stopped,text_2.started,text_2.stopped,image_6.started,image_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.205101399915293,None,11.140775500098243,None,space,4.5405607998836786,11.140775500098243,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11045,001,2024_Apr_13_1128,nback,2021.2.3,60.06770827691016,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,15.746817100094631,None,space,3.189940599957481,15.746817100094631,None,19.168591500027105,23.675306200049818,23.593395200092345,None,24.043691100087017,25.04414450004697,24.043691100087017,25.04414450004697,24.043691100087017,25.04414450004697,24.043691100087017,25.04414450004697,up,1,0.5413023999426514,24.043691100087017,None,24.043691100087017,None,24.043691100087017,24.54379429994151,24.043691100087017,24.54379429994151,24.043691100087017,24.54379429994151,24.043691100087017,24.54379429994151,24.043691100087017,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11045,001,2024_Apr_13_1128,nback,2021.2.3,60.06770827691016,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,25.478311700047925,26.479664199985564,25.478311700047925,26.479664199985564,25.478311700047925,26.479664199985564,25.478311700047925,26.479664199985564,left,1,0.5866963998414576,25.478311700047925,None,25.478311700047925,None,25.478311700047925,25.97894679987803,25.478311700047925,25.97894679987803,25.478311700047925,25.97894679987803,25.478311700047925,25.97894679987803,25.478311700047925,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11045,001,2024_Apr_13_1128,nback,2021.2.3,60.06770827691016,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,26.98032289999537,27.982130100019276,26.98032289999537,27.982130100019276,26.98032289999537,27.982130100019276,26.98032289999537,27.982130100019276,right,1,0.4768308000639081,26.98032289999537,None,26.98032289999537,None,26.98032289999537,27.48196840006858,26.98032289999537,27.48196840006858,26.98032289999537,27.48196840006858,26.98032289999537,27.48196840006858,26.98032289999537,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11045,001,2024_Apr_13_1128,nback,2021.2.3,60.06770827691016,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,28.482633899897337,29.48508120002225,28.482633899897337,29.48508120002225,28.482633899897337,29.48508120002225,28.482633899897337,29.48508120002225,down,1,0.3828577999956906,28.482633899897337,None,28.482633899897337,None,28.482633899897337,28.983477999921888,28.482633899897337,28.983477999921888,28.482633899897337,28.983477999921888,28.482633899897337,28.983477999921888,28.482633899897337,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11045,001,2024_Apr_13_1128,nback,2021.2.3,60.06770827691016,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,29.984910300001502,30.98645170009695,29.984910300001502,30.98645170009695,29.984910300001502,30.98645170009695,29.984910300001502,30.98645170009695,left,1,0.5445016999728978,29.984910300001502,None,29.984910300001502,None,29.984910300001502,30.48560780007392,29.984910300001502,30.48560780007392,29.984910300001502,30.48560780007392,29.984910300001502,30.48560780007392,29.984910300001502,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11045,001,2024_Apr_13_1128,nback,2021.2.3,60.06770827691016,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,31.487284499919042,32.48867710004561,31.487284499919042,32.48867710004561,31.487284499919042,32.48867710004561,31.487284499919042,32.48867710004561,up,1,0.5380184999667108,31.487284499919042,None,31.487284499919042,None,31.487284499919042,31.98820269992575,31.487284499919042,31.98820269992575,31.487284499919042,31.98820269992575,31.487284499919042,31.98820269992575,31.487284499919042,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11045,001,2024_Apr_13_1128,nback,2021.2.3,60.06770827691016,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,32.989560399902984,33.990868099965155,32.989560399902984,33.990868099965155,32.989560399902984,33.990868099965155,32.989560399902984,33.990868099965155,down,1,0.35575049999170005,32.989560399902984,None,32.989560399902984,None,32.989560399902984,33.49065660010092,32.989560399902984,33.49065660010092,32.989560399902984,33.49065660010092,32.989560399902984,33.49065660010092,32.989560399902984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11045,001,2024_Apr_13_1128,nback,2021.2.3,60.06770827691016,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,34.475166799966246,35.476807500002906,34.475166799966246,35.476807500002906,34.475166799966246,35.476807500002906,34.475166799966246,35.476807500002906,right,1,0.3513693001586944,34.475166799966246,None,34.475166799966246,None,34.475166799966246,34.975902300095186,34.475166799966246,34.975902300095186,34.475166799966246,34.975902300095186,34.475166799966246,34.975902300095186,34.475166799966246,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11045,001,2024_Apr_13_1128,nback,2021.2.3,60.06770827691016,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,35.97732109995559,36.979138399939984,35.97732109995559,36.979138399939984,35.97732109995559,36.979138399939984,35.97732109995559,36.979138399939984,right,1,0.4087801000569016,35.97732109995559,None,35.97732109995559,None,35.97732109995559,36.47823889995925,35.97732109995559,36.47823889995925,35.97732109995559,36.47823889995925,35.97732109995559,36.47823889995925,35.97732109995559,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11045,001,2024_Apr_13_1128,nback,2021.2.3,60.06770827691016,
