arrwidth1,arrwidth2,arrwidth3,arrwidth4,arrwidth5,keyb,type,orientation,instruction_image,block_filename,block_type,arrow11,arrow22,arrow33,arrow44,arrow55,keyb_3,orientation3,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,welcome.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,instruction_example.started,instruction_example.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,instruction_task.started,instruction_task.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,A1.started,A1.stopped,A2.started,A2.stopped,A3.started,A3.stopped,A4.started,A4.stopped,A5.started,A5.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,fb.started,fb.stopped,instruction_block.started,instruction_block.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_8.started,text_8.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,text_5.started,text_5.stopped,A11_3.started,A11_3.stopped,A22_2.started,A22_2.stopped,A33_2.started,A33_2.stopped,A44_2.started,A44_2.stopped,A55_2.started,A55_2.stopped,M1_3.started,M1_3.stopped,M2_2.started,M2_2.stopped,M3_2.started,M3_2.stopped,M4_2.started,M4_2.stopped,M5_2.started,M5_2.stopped,M6_2.started,M6_2.stopped,M7_2.started,M7_2.stopped,M8_2.started,M8_2.stopped,key_resp_9.started,key_resp_9.stopped,fixation.started,fixation.stopped,ET,fb_3.started,fb_3.stopped,text_9.started,text_9.stopped,fb_4.started,fb_4.stopped,text_7.started,text_7.stopped,endtext.started,endtext.stopped,fixation_ITI,CCC,Acc,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.946230300003663,None,space,1.6867498999927193,10.946230300003663,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11006,001,2024_Jan_01_1003,MFTM_A_new1021,2021.2.3,60.027036180308464,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.648592000012286,None,right,42.48783820000244,12.648592000012286,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11006,001,2024_Jan_01_1003,MFTM_A_new1021,2021.2.3,60.027036180308464,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.16244500002358,None,space,11.350726299977396,55.16244500002358,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11006,001,2024_Jan_01_1003,MFTM_A_new1021,2021.2.3,60.027036180308464,
0.6,0.6,0.6,-0.6,-0.6,right,3:2,R,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,66.54669109999668,None,66.54669109999668,None,66.54669109999668,None,66.54669109999668,None,66.54669109999668,None,66.54669109999668,None,right,1,4.078186200000346,66.54669109999668,None,70.66820840002038,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11006,001,2024_Jan_01_1003,MFTM_A_new1021,2021.2.3,60.027036180308464,
-0.6,-0.6,-0.6,0.6,0.6,left,3:2,L,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,71.41967050003586,None,71.41967050003586,None,71.41967050003586,None,71.41967050003586,None,71.41967050003586,None,71.41967050003586,None,left,1,1.3248511999845505,71.41967050003586,None,72.77130670001497,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11006,001,2024_Jan_01_1003,MFTM_A_new1021,2021.2.3,60.027036180308464,
-0.6,-0.6,-0.6,0.6,0.6,left,3:2,L,,,,,,,,,,,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,73.52306490001502,None,73.52306490001502,None,73.52306490001502,None,73.52306490001502,None,73.52306490001502,None,73.52306490001502,None,left,1,1.1819676000159234,73.52306490001502,None,74.72405530000106,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11006,001,2024_Jan_01_1003,MFTM_A_new1021,2021.2.3,60.027036180308464,
0.6,0.6,0.6,-0.6,-0.6,right,3:2,R,,,,,,,,,,,1,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,75.47503700002562,None,75.47503700002562,None,75.47503700002562,None,75.47503700002562,None,75.47503700002562,None,75.47503700002562,None,right,1,4.477508099982515,75.47503700002562,None,79.98171860002913,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11006,001,2024_Jan_01_1003,MFTM_A_new1021,2021.2.3,60.027036180308464,
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,0,0,0,0,0,0,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.94981580000604,None,space,43.4428250999772,80.94981580000604,None,124.48040940001374,None,left,1,1.5810911000007764,124.93193190003512,None,124.93193190003512,127.93673050001962,124.93193190003512,127.93673050001962,124.93193190003512,127.93673050001962,124.93193190003512,127.93673050001962,124.93193190003512,127.93673050001962,127.9201074000448,128.42041180003434,127.9201074000448,128.42041180003434,127.9201074000448,128.42041180003434,127.9201074000448,128.42041180003434,127.9201074000448,128.42041180003434,127.9201074000448,128.42041180003434,127.9201074000448,128.42041180003434,127.9201074000448,128.42041180003434,124.93193190003512,None,128.42041180003434,128.42041180003434,3,128.4373655000236,None,129.18868670001393,None,,,,,,,,,,11006,001,2024_Jan_01_1003,MFTM_A_new1021,2021.2.3,60.027036180308464,
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,0,0,0,0,1,1,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.68891950004036,None,right,1,1.4982995000318624,130.1903600000078,132.19313620001776,130.1903600000078,131.6917786000413,130.1903600000078,131.6917786000413,130.1903600000078,131.6917786000413,130.1903600000078,131.6917786000413,130.1903600000078,131.6917786000413,131.67607919999864,132.17651920003118,131.67607919999864,132.17651920003118,131.67607919999864,132.17651920003118,131.67607919999864,132.17651920003118,131.67607919999864,132.17651920003118,131.67607919999864,132.17651920003118,131.67607919999864,132.17651920003118,131.67607919999864,132.17651920003118,130.1903600000078,None,132.17651920003118,133.6786482000025,1.5,133.6946622999967,None,134.44650950003415,None,,,,,,,,,,11006,001,2024_Jan_01_1003,MFTM_A_new1021,2021.2.3,60.027036180308464,
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,0,0,0,0,2,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.94768909999402,None,left,0,1.5050908999983221,135.44736849999754,136.74962620000588,135.44736849999754,136.24906140001258,135.44736849999754,136.24906140001258,135.44736849999754,136.24906140001258,135.44736849999754,136.24906140001258,135.44736849999754,136.24906140001258,136.23174940003082,136.73333419999108,136.23174940003082,136.73333419999108,136.23174940003082,136.73333419999108,136.23174940003082,136.73333419999108,136.23174940003082,136.73333419999108,136.23174940003082,136.73333419999108,136.23174940003082,136.73333419999108,136.23174940003082,136.73333419999108,135.44736849999754,None,136.73333419999108,138.93627890001517,0.8,138.95255430001998,None,139.70462370000314,None,,,,,,,,,,11006,001,2024_Jan_01_1003,MFTM_A_new1021,2021.2.3,60.027036180308464,
