arrwidth1,arrwidth2,arrwidth3,arrwidth4,arrwidth5,keyb,type,orientation,instruction_image,block_filename,block_type,arrow11,arrow22,arrow33,arrow44,arrow55,keyb_3,orientation3,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,welcome.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,instruction_example.started,instruction_example.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,instruction_task.started,instruction_task.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,A1.started,A1.stopped,A2.started,A2.stopped,A3.started,A3.stopped,A4.started,A4.stopped,A5.started,A5.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,fb.started,fb.stopped,instruction_block.started,instruction_block.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_8.started,text_8.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,text_5.started,text_5.stopped,A11_3.started,A11_3.stopped,A22_2.started,A22_2.stopped,A33_2.started,A33_2.stopped,A44_2.started,A44_2.stopped,A55_2.started,A55_2.stopped,M1_3.started,M1_3.stopped,M2_2.started,M2_2.stopped,M3_2.started,M3_2.stopped,M4_2.started,M4_2.stopped,M5_2.started,M5_2.stopped,M6_2.started,M6_2.stopped,M7_2.started,M7_2.stopped,M8_2.started,M8_2.stopped,key_resp_9.started,key_resp_9.stopped,fixation.started,fixation.stopped,ET,fb_3.started,fb_3.stopped,text_9.started,text_9.stopped,fb_4.started,fb_4.stopped,text_7.started,text_7.stopped,endtext.started,endtext.stopped,fixation_ITI,CCC,Acc,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.38964179996401,None,space,42.817057400010526,21.38964179996401,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11037,001,2024_Mar_11_1501,MFTM_A_new1021,2021.2.3,59.89250489460407,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.22162700002082,None,space,10.68957530008629,64.22162700002082,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11037,001,2024_Mar_11_1501,MFTM_A_new1021,2021.2.3,59.89250489460407,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.93775469996035,None,space,2.813645499991253,74.93775469996035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11037,001,2024_Mar_11_1501,MFTM_A_new1021,2021.2.3,59.89250489460407,
0.6,0.6,0.6,-0.6,-0.6,right,3:2,R,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,77.79320749989711,None,77.79320749989711,None,77.79320749989711,None,77.79320749989711,None,77.79320749989711,None,77.79320749989711,None,right,1,4.51000149990432,77.79320749989711,None,82.35036939987913,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11037,001,2024_Mar_11_1501,MFTM_A_new1021,2021.2.3,59.89250489460407,
-0.6,-0.6,-0.6,0.6,0.6,left,3:2,L,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,83.10093439999036,None,83.10093439999036,None,83.10093439999036,None,83.10093439999036,None,83.10093439999036,None,83.10093439999036,None,left,1,1.7542167999781668,83.10093439999036,None,84.8862383000087,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11037,001,2024_Mar_11_1501,MFTM_A_new1021,2021.2.3,59.89250489460407,
0.6,0.6,0.6,-0.6,-0.6,right,3:2,R,,,,,,,,,,,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,85.63723320001736,None,85.63723320001736,None,85.63723320001736,None,85.63723320001736,None,85.63723320001736,None,85.63723320001736,None,right,1,1.6747989999130368,85.63723320001736,None,87.33969870000146,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11037,001,2024_Mar_11_1501,MFTM_A_new1021,2021.2.3,59.89250489460407,
-0.6,-0.6,-0.6,0.6,0.6,left,3:2,L,,,,,,,,,,,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,88.09096199995838,None,88.09096199995838,None,88.09096199995838,None,88.09096199995838,None,88.09096199995838,None,88.09096199995838,None,left,1,1.7083846000023186,88.09096199995838,None,89.82692010002211,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11037,001,2024_Mar_11_1501,MFTM_A_new1021,2021.2.3,59.89250489460407,
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,0,0,0,0,0,0,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.84508809982799,None,space,30.820193800143898,90.84508809982799,None,121.75919469981454,None,None,0,0,122.20926309982315,None,122.20926309982315,125.21440709987655,122.20926309982315,125.21440709987655,122.20926309982315,125.21440709987655,122.20926309982315,125.21440709987655,122.20926309982315,125.21440709987655,125.19749920000322,125.69871749985032,125.19749920000322,125.69871749985032,125.19749920000322,125.69871749985032,125.19749920000322,125.69871749985032,125.19749920000322,125.69871749985032,125.19749920000322,125.69871749985032,125.19749920000322,125.69871749985032,125.19749920000322,125.69871749985032,122.20926309982315,None,125.69871749985032,125.69871749985032,3,125.7136941999197,None,126.46685520000756,None,,,,,,,,,,11037,001,2024_Mar_11_1501,MFTM_A_new1021,2021.2.3,59.89250489460407,
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,0,0,0,0,1,1,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.96717419987544,None,None,0,0,127.4668837999925,129.47127399989404,127.4668837999925,128.9691581998486,127.4668837999925,128.9691581998486,127.4668837999925,128.9691581998486,127.4668837999925,128.9691581998486,127.4668837999925,128.9691581998486,128.95336389984004,129.45404869993217,128.95336389984004,129.45404869993217,128.95336389984004,129.45404869993217,128.95336389984004,129.45404869993217,128.95336389984004,129.45404869993217,128.95336389984004,129.45404869993217,128.95336389984004,129.45404869993217,128.95336389984004,129.45404869993217,127.4668837999925,None,129.45404869993217,130.95581689989194,1.5,130.97321549989283,None,131.72343649994582,None,,,,,,,,,,11037,001,2024_Mar_11_1501,MFTM_A_new1021,2021.2.3,59.89250489460407,
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,0,0,0,0,2,2,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.2242085998878,None,right,0,2.3793325999286026,132.72547579999082,134.02799269999377,132.72547579999082,133.52640779991634,132.72547579999082,133.52640779991634,132.72547579999082,133.52640779991634,132.72547579999082,133.52640779991634,132.72547579999082,133.52640779991634,133.510359399952,134.01103059994057,133.510359399952,134.01103059994057,133.510359399952,134.01103059994057,133.510359399952,134.01103059994057,133.510359399952,134.01103059994057,133.510359399952,134.01103059994057,133.510359399952,134.01103059994057,133.510359399952,134.01103059994057,132.72547579999082,None,134.01103059994057,136.21396939991973,0.8,136.23023939994164,None,136.98210639995523,None,,,,,,,,,,11037,001,2024_Mar_11_1501,MFTM_A_new1021,2021.2.3,59.89250489460407,
