arrwidth1,arrwidth2,arrwidth3,arrwidth4,arrwidth5,keyb,type,orientation,instruction_image,block_filename,block_type,arrow11,arrow22,arrow33,arrow44,arrow55,keyb_3,orientation3,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,welcome.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,instruction_example.started,instruction_example.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,instruction_task.started,instruction_task.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,A1.started,A1.stopped,A2.started,A2.stopped,A3.started,A3.stopped,A4.started,A4.stopped,A5.started,A5.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,fb.started,fb.stopped,instruction_block.started,instruction_block.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_8.started,text_8.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,text_5.started,text_5.stopped,A11_3.started,A11_3.stopped,A22_2.started,A22_2.stopped,A33_2.started,A33_2.stopped,A44_2.started,A44_2.stopped,A55_2.started,A55_2.stopped,M1_3.started,M1_3.stopped,M2_2.started,M2_2.stopped,M3_2.started,M3_2.stopped,M4_2.started,M4_2.stopped,M5_2.started,M5_2.stopped,M6_2.started,M6_2.stopped,M7_2.started,M7_2.stopped,M8_2.started,M8_2.stopped,key_resp_9.started,key_resp_9.stopped,fixation.started,fixation.stopped,ET,fb_3.started,fb_3.stopped,text_9.started,text_9.stopped,fb_4.started,fb_4.stopped,text_7.started,text_7.stopped,endtext.started,endtext.stopped,fixation_ITI,CCC,Acc,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.955306799849495,None,space,2.9202654999680817,11.955306799849495,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11045,001,2024_Apr_13_1057,MFTM_A_new1021,2021.2.3,59.73651420746242,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.892706899903715,None,space,5.958681900054216,14.892706899903715,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11045,001,2024_Apr_13_1057,MFTM_A_new1021,2021.2.3,59.73651420746242,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.86828069994226,None,left,6.72737199999392,20.86828069994226,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11045,001,2024_Apr_13_1057,MFTM_A_new1021,2021.2.3,59.73651420746242,
0.6,0.6,0.6,-0.6,-0.6,right,3:2,R,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,27.62890510004945,None,27.62890510004945,None,27.62890510004945,None,27.62890510004945,None,27.62890510004945,None,27.62890510004945,None,right,1,3.062851099995896,27.62890510004945,None,30.734241700032726,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11045,001,2024_Apr_13_1057,MFTM_A_new1021,2021.2.3,59.73651420746242,
-0.6,-0.6,-0.6,0.6,0.6,left,3:2,L,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,31.484492199961096,None,31.484492199961096,None,31.484492199961096,None,31.484492199961096,None,31.484492199961096,None,31.484492199961096,None,left,1,1.503586000064388,31.484492199961096,None,33.0034184998367,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11045,001,2024_Apr_13_1057,MFTM_A_new1021,2021.2.3,59.73651420746242,
0.6,0.6,0.6,-0.6,-0.6,right,3:2,R,,,,,,,,,,,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,33.755270399851725,None,33.755270399851725,None,33.755270399851725,None,33.755270399851725,None,33.755270399851725,None,33.755270399851725,None,right,1,2.344663599971682,33.755270399851725,None,36.12480859993957,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11045,001,2024_Apr_13_1057,MFTM_A_new1021,2021.2.3,59.73651420746242,
-0.6,-0.6,-0.6,0.6,0.6,left,3:2,L,,,,,,,,,,,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,36.87623219983652,None,36.87623219983652,None,36.87623219983652,None,36.87623219983652,None,36.87623219983652,None,36.87623219983652,None,left,1,1.2638071000110358,36.87623219983652,None,38.16158179985359,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11045,001,2024_Apr_13_1057,MFTM_A_new1021,2021.2.3,59.73651420746242,
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,0,0,0,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.19603440002538,None,left,11.640567499911413,39.19603440002538,None,50.94767490006052,None,right,1,1.5752450998406857,51.38112679985352,None,51.38112679985352,54.385301399976015,51.38112679985352,54.385301399976015,51.38112679985352,54.385301399976015,51.38112679985352,54.385301399976015,51.38112679985352,54.385301399976015,54.36897349986248,54.86982679995708,54.36897349986248,54.86982679995708,54.36897349986248,54.86982679995708,54.36897349986248,54.86982679995708,54.36897349986248,54.86982679995708,54.36897349986248,54.86982679995708,54.36897349986248,54.86982679995708,54.36897349986248,54.86982679995708,51.38112679985352,None,54.86982679995708,54.86982679995708,3,54.88615279993974,None,55.63731399993412,None,,,,,,,,,,11045,001,2024_Apr_13_1057,MFTM_A_new1021,2021.2.3,59.73651420746242,
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,0,0,0,0,1,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.138370600063354,None,left,1,1.3014599001035094,56.63904000003822,58.643784099956974,56.63904000003822,58.14190039993264,56.63904000003822,58.14190039993264,56.63904000003822,58.14190039993264,56.63904000003822,58.14190039993264,56.63904000003822,58.14190039993264,58.12462319992483,58.62567469989881,58.12462319992483,58.62567469989881,58.12462319992483,58.62567469989881,58.12462319992483,58.62567469989881,58.12462319992483,58.62567469989881,58.12462319992483,58.62567469989881,58.12462319992483,58.62567469989881,58.12462319992483,58.62567469989881,56.63904000003822,None,58.62567469989881,60.12778880004771,1.5,60.14466889994219,None,60.89563989988528,None,,,,,,,,,,11045,001,2024_Apr_13_1057,MFTM_A_new1021,2021.2.3,59.73651420746242,
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,0,0,0,0,2,2,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.39653619984165,None,right,0,1.8430182000156492,61.89733459986746,63.198981299996376,61.89733459986746,62.69821619987488,61.89733459986746,62.69821619987488,61.89733459986746,62.69821619987488,61.89733459986746,62.69821619987488,61.89733459986746,62.69821619987488,62.68151309993118,63.18234509998001,62.68151309993118,63.18234509998001,62.68151309993118,63.18234509998001,62.68151309993118,63.18234509998001,62.68151309993118,63.18234509998001,62.68151309993118,63.18234509998001,62.68151309993118,63.18234509998001,62.68151309993118,63.18234509998001,61.89733459986746,None,63.18234509998001,65.38544690003619,0.8,65.40226290002465,None,66.15335140004754,None,,,,,,,,,,11045,001,2024_Apr_13_1057,MFTM_A_new1021,2021.2.3,59.73651420746242,
