arrwidth1,arrwidth2,arrwidth3,arrwidth4,arrwidth5,keyb,type,orientation,instruction_image,block_filename,block_type,arrow11,arrow22,arrow33,arrow44,arrow55,keyb_3,orientation3,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,welcome.started,key_resp.started,key_resp.keys,key_resp.rt,instruction_example.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,instruction_task.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,text_2.started,A1.started,A2.started,A3.started,A4.started,A5.started,key_resp_4.started,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,fb.started,instruction_block.started,key_resp_8.started,key_resp_8.keys,key_resp_8.rt,text_8.started,text_5.started,A11_3.started,A22_2.started,A33_2.started,A44_2.started,A55_2.started,key_resp_9.started,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,M1_3.started,M2_2.started,M3_2.started,M4_2.started,M5_2.started,M6_2.started,M7_2.started,M8_2.started,A11_3.stopped,A22_2.stopped,A33_2.stopped,A44_2.stopped,A55_2.stopped,M1_3.stopped,M2_2.stopped,M3_2.stopped,M4_2.stopped,M5_2.stopped,M6_2.stopped,M7_2.stopped,M8_2.stopped,fixation.started,fixation.stopped,text_5.stopped,key_resp_9.stopped,ET,fb_3.started,fb_3.stopped,text_9.started,text_9.stopped,text_8.stopped,fb_4.started,text_7.started,text_7.stopped,endtext.started,fb_4.stopped,endtext.stopped,fixation_ITI,CCC,Acc,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.21878860000288,22.21878860000288,space,2.66560949999257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12007,001,2024-06-14_17h02.22.255,MFTM_A_new1021,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.906556500005536,24.906556500005536,right,15.149617100003525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12007,001,2024-06-14_17h02.22.255,MFTM_A_new1021,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.082331700003124,40.082331700003124,space,1.2315532000066014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12007,001,2024-06-14_17h02.22.255,MFTM_A_new1021,2022.2.4,None,
-0.6,-0.6,-0.6,0.6,0.6,left,3:2,L,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,41.339462400006596,41.339462400006596,41.339462400006596,41.339462400006596,41.339462400006596,41.339462400006596,41.339462400006596,left,1,6.477202499998384,47.83630370000901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12007,001,2024-06-14_17h02.22.255,MFTM_A_new1021,2022.2.4,None,
0.6,0.6,0.6,-0.6,-0.6,right,3:2,R,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,48.59017209999729,48.59017209999729,48.59017209999729,48.59017209999729,48.59017209999729,48.59017209999729,48.59017209999729,right,1,9.386247800008277,57.9901366999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12007,001,2024-06-14_17h02.22.255,MFTM_A_new1021,2022.2.4,None,
-0.6,-0.6,-0.6,0.6,0.6,left,3:2,L,,,,,,,,,,,1,0,2,1,,,,,,,,,,,,,,,,,,,,,58.744959200004814,58.744959200004814,58.744959200004814,58.744959200004814,58.744959200004814,58.744959200004814,58.744959200004814,left,1,2.0880337999988114,60.84706670000742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12007,001,2024-06-14_17h02.22.255,MFTM_A_new1021,2022.2.4,None,
0.6,0.6,0.6,-0.6,-0.6,right,3:2,R,,,,,,,,,,,1,1,3,0,,,,,,,,,,,,,,,,,,,,,61.600373100009165,61.600373100009165,61.600373100009165,61.600373100009165,61.600373100009165,61.600373100009165,61.600373100009165,right,1,2.871872500007157,64.50078879999637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12007,001,2024-06-14_17h02.22.255,MFTM_A_new1021,2022.2.4,None,
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,0,0,0,0,0,0,34,,,,,,,,,,,,,,,,,,,,,,,,65.37777089999872,65.37777089999872,space,21.42098039999837,86.83094220000203,87.3227448999969,87.3227448999969,87.3227448999969,87.3227448999969,87.3227448999969,87.3227448999969,87.3227448999969,right,1,2.0546463999926345,90.30386260000523,90.30386260000523,90.30386260000523,90.30386260000523,90.30386260000523,90.30386260000523,90.30386260000523,90.30386260000523,90.32295470000827,90.32295470000827,90.32295470000827,90.32295470000827,90.32295470000827,90.80122069999925,90.80122069999925,90.80122069999925,90.80122069999925,90.80122069999925,90.80122069999925,90.80122069999925,90.80122069999925,90.80122069999925,90.80122069999925,90.82334750000155,90.82334750000155,3,90.82334750000155,91.56777160000638,91.56777160000638,92.06532599999628,,,,,,,,,,,12007,001,2024-06-14_17h02.22.255,MFTM_A_new1021,2022.2.4,None,
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,0,0,0,0,1,1,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.06532599999628,92.57872590000625,92.57872590000625,92.57872590000625,92.57872590000625,92.57872590000625,92.57872590000625,92.57872590000625,left,1,2.709334300001501,94.05735230000573,94.05735230000573,94.05735230000573,94.05735230000573,94.05735230000573,94.05735230000573,94.05735230000573,94.05735230000573,94.07870070000354,94.07870070000354,94.07870070000354,94.07870070000354,94.07870070000354,94.55635830000392,94.55635830000392,94.55635830000392,94.55635830000392,94.55635830000392,94.55635830000392,94.55635830000392,94.55635830000392,94.55635830000392,96.05661220000184,94.5788484000077,96.07912310000393,1.5,96.07912310000393,96.8227862000058,96.8227862000058,97.32320800000161,92.57872590000625,,,,,,,,,,12007,001,2024-06-14_17h02.22.255,MFTM_A_new1021,2022.2.4,None,
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,0,0,0,0,2,2,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.32320800000161,97.83086440000625,97.83086440000625,97.83086440000625,97.83086440000625,97.83086440000625,97.83086440000625,97.83086440000625,left,1,3.465522800004692,98.62591390000307,98.62591390000307,98.62591390000307,98.62591390000307,98.62591390000307,98.62591390000307,98.62591390000307,98.62591390000307,98.63472329999786,98.63472329999786,98.63472329999786,98.63472329999786,98.63472329999786,99.12144970000372,99.12144970000372,99.12144970000372,99.12144970000372,99.12144970000372,99.12144970000372,99.12144970000372,99.12144970000372,99.1123246000061,101.31249500000558,99.1342439,101.33487449999666,0.8,101.33487449999666,102.07884430000558,102.07884430000558,102.57873439999821,97.83086440000625,,,,,,,,,,12007,001,2024-06-14_17h02.22.255,MFTM_A_new1021,2022.2.4,None,
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,0,0,0,0,3,3,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.57873439999821,103.08135970000876,103.08135970000876,103.08135970000876,103.08135970000876,103.08135970000876,103.08135970000876,103.08135970000876,left,0,2.470225400000345,103.32113409999874,103.32113409999874,103.32113409999874,103.32113409999874,103.32113409999874,103.32113409999874,103.32113409999874,103.32113409999874,103.33241620000626,103.33241620000626,103.33241620000626,103.33241620000626,103.33241620000626,103.82128470001044,103.82128470001044,103.82128470001044,103.82128470001044,103.82128470001044,103.82128470001044,103.82128470001044,103.82128470001044,103.82128470001044,106.56822749999992,103.83426770000369,106.58117930000299,3,106.58117930000299,,107.33428439999989,,103.08135970000876,,,,,,,,,,12007,001,2024-06-14_17h02.22.255,MFTM_A_new1021,2022.2.4,None,
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.84558570000809,108.82286070000555,108.82286070000555,108.82286070000555,108.84295820000989,111.96170310000889,,,,12007,001,2024-06-14_17h02.22.255,MFTM_A_new1021,2022.2.4,None,
