backseq,backinstr,backfile,instruction,Trialtype,back,number,P1,P2,P3,P4,corrAns,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,image.started,image.stopped,image_2.started,image_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_3.started,image_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_4.started,image_4.stopped,text.started,text.stopped,H1.started,H1.stopped,H2.started,H2.stopped,H3.started,H3.stopped,H4.started,H4.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,F1.started,F1.stopped,F2.started,F2.stopped,F3.started,F3.stopped,F4.started,F4.stopped,image_7.started,image_7.stopped,key_resp_3.rt,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_5.started,image_5.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,H1_2.started,H1_2.stopped,H2_2.started,H2_2.stopped,H3_2.started,H3_2.stopped,H4_2.started,H4_2.stopped,F1_2.started,F1_2.stopped,F2_2.started,F2_2.stopped,F3_2.started,F3_2.stopped,F4_2.started,F4_2.stopped,image_8.started,image_8.stopped,key_resp_5.rt,text_2.started,text_2.stopped,image_6.started,image_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.056666700002097,None,9.958963899996888,None,space,1.650362700005644,9.958963899996888,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11003,001,2023_Dec_29_1211,nback,2021.2.3,59.51321758807262,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,11.793332200002624,None,space,4.77638090000255,11.793332200002624,None,16.750470300001325,21.257521400002588,21.207511499997054,None,21.625517699998454,22.62629190000007,21.625517699998454,22.62629190000007,21.625517699998454,22.62629190000007,21.625517699998454,22.62629190000007,None,0,21.625517699998454,None,21.625517699998454,None,21.625517699998454,22.126585899997735,21.625517699998454,22.126585899997735,21.625517699998454,22.126585899997735,21.625517699998454,22.126585899997735,21.625517699998454,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11003,001,2023_Dec_29_1211,nback,2021.2.3,59.51321758807262,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,23.110155599999416,24.11257160000241,23.110155599999416,24.11257160000241,23.110155599999416,24.11257160000241,23.110155599999416,24.11257160000241,left,1,23.110155599999416,None,23.110155599999416,None,23.110155599999416,23.611116500003845,23.110155599999416,23.611116500003845,23.110155599999416,23.611116500003845,23.110155599999416,23.611116500003845,23.110155599999416,None,0.7393646999989869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11003,001,2023_Dec_29_1211,nback,2021.2.3,59.51321758807262,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,24.61251810000249,25.613889300002484,24.61251810000249,25.613889300002484,24.61251810000249,25.613889300002484,24.61251810000249,25.613889300002484,right,1,24.61251810000249,None,24.61251810000249,None,24.61251810000249,25.11444499999925,24.61251810000249,25.11444499999925,24.61251810000249,25.11444499999925,24.61251810000249,25.11444499999925,24.61251810000249,None,0.34925680000014836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11003,001,2023_Dec_29_1211,nback,2021.2.3,59.51321758807262,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,26.164733600002364,27.166170700002112,26.164733600002364,27.166170700002112,26.164733600002364,27.166170700002112,26.164733600002364,27.166170700002112,down,1,26.164733600002364,None,26.164733600002364,None,26.164733600002364,26.665556599997217,26.164733600002364,26.665556599997217,26.164733600002364,26.665556599997217,26.164733600002364,26.665556599997217,26.164733600002364,None,0.3643974999940838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11003,001,2023_Dec_29_1211,nback,2021.2.3,59.51321758807262,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,27.616936099999293,28.618791300003068,27.616936099999293,28.618791300003068,27.616936099999293,28.618791300003068,27.616936099999293,28.618791300003068,left,1,27.616936099999293,None,27.616936099999293,None,27.616936099999293,28.1180846999996,27.616936099999293,28.1180846999996,27.616936099999293,28.1180846999996,27.616936099999293,28.1180846999996,27.616936099999293,None,0.3282621999969706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11003,001,2023_Dec_29_1211,nback,2021.2.3,59.51321758807262,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,29.119100399999297,30.12069160000101,29.119100399999297,30.12069160000101,29.119100399999297,30.12069160000101,29.119100399999297,30.12069160000101,up,1,29.119100399999297,None,29.119100399999297,None,29.119100399999297,29.62021950000053,29.119100399999297,29.62021950000053,29.119100399999297,29.62021950000053,29.119100399999297,29.62021950000053,29.119100399999297,None,0.40985709999949904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11003,001,2023_Dec_29_1211,nback,2021.2.3,59.51321758807262,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,30.6213190999988,31.62343890000193,30.6213190999988,31.62343890000193,30.6213190999988,31.62343890000193,30.6213190999988,31.62343890000193,down,1,30.6213190999988,None,30.6213190999988,None,30.6213190999988,31.122991700001876,30.6213190999988,31.122991700001876,30.6213190999988,31.122991700001876,30.6213190999988,31.122991700001876,30.6213190999988,None,0.5802615000065998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11003,001,2023_Dec_29_1211,nback,2021.2.3,59.51321758807262,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,32.10747840000113,33.108374000003096,32.10747840000113,33.108374000003096,32.10747840000113,33.108374000003096,32.10747840000113,33.108374000003096,right,1,32.10747840000113,None,32.10747840000113,None,32.10747840000113,32.60794280000118,32.10747840000113,32.60794280000118,32.10747840000113,32.60794280000118,32.10747840000113,32.60794280000118,32.10747840000113,None,0.6456061999997473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11003,001,2023_Dec_29_1211,nback,2021.2.3,59.51321758807262,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,33.60846160000074,34.611460400003125,33.60846160000074,34.611460400003125,33.60846160000074,34.611460400003125,33.60846160000074,34.611460400003125,right,1,33.60846160000074,None,33.60846160000074,None,33.60846160000074,34.10975809999945,33.60846160000074,34.10975809999945,33.60846160000074,34.10975809999945,33.60846160000074,34.10975809999945,33.60846160000074,None,0.49650399999518413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11003,001,2023_Dec_29_1211,nback,2021.2.3,59.51321758807262,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,35.11136319999787,36.112993700000516,35.11136319999787,36.112993700000516,35.11136319999787,36.112993700000516,35.11136319999787,36.112993700000516,down,1,35.11136319999787,None,35.11136319999787,None,35.11136319999787,35.612022200002684,35.11136319999787,35.612022200002684,35.11136319999787,35.612022200002684,35.11136319999787,35.612022200002684,35.11136319999787,None,0.5457345999966492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11003,001,2023_Dec_29_1211,nback,2021.2.3,59.51321758807262,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,36.61362799999915,37.615099000002374,36.61362799999915,37.615099000002374,36.61362799999915,37.615099000002374,36.61362799999915,37.615099000002374,up,1,36.61362799999915,None,36.61362799999915,None,36.61362799999915,37.11493989999872,36.61362799999915,37.11493989999872,36.61362799999915,37.11493989999872,36.61362799999915,37.11493989999872,36.61362799999915,None,0.4594074999986333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11003,001,2023_Dec_29_1211,nback,2021.2.3,59.51321758807262,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,38.117000300000655,39.11801220000052,38.117000300000655,39.11801220000052,38.117000300000655,39.11801220000052,38.117000300000655,39.11801220000052,left,1,38.117000300000655,None,38.117000300000655,None,38.117000300000655,38.61660269999993,38.117000300000655,38.61660269999993,38.117000300000655,38.61660269999993,38.117000300000655,38.61660269999993,38.117000300000655,None,0.3880741000029957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11003,001,2023_Dec_29_1211,nback,2021.2.3,59.51321758807262,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,39.61794170000212,40.61963139999716,39.61794170000212,40.61963139999716,39.61794170000212,40.61963139999716,39.61794170000212,40.61963139999716,down,1,39.61794170000212,None,39.61794170000212,None,39.61794170000212,40.119463100003486,39.61794170000212,40.119463100003486,39.61794170000212,40.119463100003486,39.61794170000212,40.119463100003486,39.61794170000212,None,0.431106699994416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11003,001,2023_Dec_29_1211,nback,2021.2.3,59.51321758807262,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,41.12012659999891,42.12244649999775,41.12012659999891,42.12244649999775,41.12012659999891,42.12244649999775,41.12012659999891,42.12244649999775,right,1,41.12012659999891,None,41.12012659999891,None,41.12012659999891,41.62152760000026,41.12012659999891,41.62152760000026,41.12012659999891,41.62152760000026,41.12012659999891,41.62152760000026,41.12012659999891,None,0.41741470000124536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11003,001,2023_Dec_29_1211,nback,2021.2.3,59.51321758807262,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,42.605704100002185,43.607856299997366,42.605704100002185,43.607856299997366,42.605704100002185,43.607856299997366,42.605704100002185,43.607856299997366,up,1,42.605704100002185,None,42.605704100002185,None,42.605704100002185,43.10653750000347,42.605704100002185,43.10653750000347,42.605704100002185,43.10653750000347,42.605704100002185,43.10653750000347,42.605704100002185,None,0.6680094999974244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11003,001,2023_Dec_29_1211,nback,2021.2.3,59.51321758807262,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,44.10803580000356,45.10938460000034,44.10803580000356,45.10938460000034,44.10803580000356,45.10938460000034,44.10803580000356,45.10938460000034,left,1,44.10803580000356,None,44.10803580000356,None,44.10803580000356,44.60861979999754,44.10803580000356,44.60861979999754,44.10803580000356,44.60861979999754,44.10803580000356,44.60861979999754,44.10803580000356,None,0.35750750000443077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11003,001,2023_Dec_29_1211,nback,2021.2.3,59.51321758807262,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,45.610577500003274,46.61201230000006,45.610577500003274,46.61201230000006,45.610577500003274,46.61201230000006,45.610577500003274,46.61201230000006,None,0,45.610577500003274,None,45.610577500003274,None,45.610577500003274,46.11164650000137,45.610577500003274,46.11164650000137,45.610577500003274,46.11164650000137,45.610577500003274,46.11164650000137,45.610577500003274,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11003,001,2023_Dec_29_1211,nback,2021.2.3,59.51321758807262,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,47.11230059999798,48.113892399996985,47.11230059999798,48.113892399996985,47.11230059999798,48.113892399996985,47.11230059999798,48.113892399996985,up,1,47.11230059999798,None,47.11230059999798,None,47.11230059999798,47.61327750000055,47.11230059999798,47.61327750000055,47.11230059999798,47.61327750000055,47.11230059999798,47.61327750000055,47.11230059999798,None,0.5049653000023682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11003,001,2023_Dec_29_1211,nback,2021.2.3,59.51321758807262,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,48.614841499998874,49.61686300000292,48.614841499998874,49.61686300000292,48.614841499998874,49.61686300000292,48.614841499998874,49.61686300000292,down,1,48.614841499998874,None,48.614841499998874,None,48.614841499998874,49.115353799999866,48.614841499998874,49.115353799999866,48.614841499998874,49.115353799999866,48.614841499998874,49.115353799999866,48.614841499998874,None,0.47470520000206307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11003,001,2023_Dec_29_1211,nback,2021.2.3,59.51321758807262,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,50.116814000000886,51.11911140000302,50.116814000000886,51.11911140000302,50.116814000000886,51.11911140000302,50.116814000000886,51.11911140000302,left,1,50.116814000000886,None,50.116814000000886,None,50.116814000000886,50.61755760000233,50.116814000000886,50.61755760000233,50.116814000000886,50.61755760000233,50.116814000000886,50.61755760000233,50.116814000000886,None,0.3164777999991202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11003,001,2023_Dec_29_1211,nback,2021.2.3,59.51321758807262,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11003,001,2023_Dec_29_1211,nback,2021.2.3,59.51321758807262,
