backseq,backinstr,backfile,instruction,size_in,Trialtype,back,number,P1,P2,P3,P4,corrAns,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,image.started,image.stopped,image_2.started,image_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_3.started,image_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_4.started,image_4.stopped,text.started,text.stopped,H1.started,H1.stopped,H2.started,H2.stopped,H3.started,H3.stopped,H4.started,H4.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,F1.started,F1.stopped,F2.started,F2.stopped,F3.started,F3.stopped,F4.started,F4.stopped,image_7.started,image_7.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_5.started,image_5.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,H1_2.started,H1_2.stopped,H2_2.started,H2_2.stopped,H3_2.started,H3_2.stopped,H4_2.started,H4_2.stopped,F1_2.started,F1_2.stopped,F2_2.started,F2_2.stopped,F3_2.started,F3_2.stopped,F4_2.started,F4_2.stopped,image_8.started,image_8.stopped,key_resp_5.rt,text_2.started,text_2.stopped,image_6.started,image_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.859213899937458,None,12.82851819996722,None,space,33.157463799929246,12.82851819996722,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11015,001,2024_Jan_04_1129,nback,2021.2.3,59.33013902267368,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,46.04254139994737,None,space,44.43162469996605,46.04254139994737,None,90.60961629997473,95.11662330001127,95.08360060001723,None,95.51780659996439,96.51831189997029,95.51780659996439,96.51831189997029,95.51780659996439,96.51831189997029,95.51780659996439,96.51831189997029,up,1,0.5481471000239253,95.51780659996439,None,95.51780659996439,None,95.51780659996439,96.01749210001435,95.51780659996439,96.01749210001435,95.51780659996439,96.01749210001435,95.51780659996439,96.01749210001435,95.51780659996439,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11015,001,2024_Jan_04_1129,nback,2021.2.3,59.33013902267368,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,97.00194500002544,98.00365770002827,97.00194500002544,98.00365770002827,97.00194500002544,98.00365770002827,97.00194500002544,98.00365770002827,left,1,0.37610779993701726,97.00194500002544,None,97.00194500002544,None,97.00194500002544,97.50297459994908,97.00194500002544,97.50297459994908,97.00194500002544,97.50297459994908,97.00194500002544,97.50297459994908,97.00194500002544,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11015,001,2024_Jan_04_1129,nback,2021.2.3,59.33013902267368,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,98.5087641000282,99.52310290001333,98.5087641000282,99.52310290001333,98.5087641000282,99.52310290001333,98.5087641000282,99.52310290001333,right,1,0.3013088000006974,98.5087641000282,None,98.5087641000282,None,98.5087641000282,99.02228819997981,98.5087641000282,99.02228819997981,98.5087641000282,99.02228819997981,98.5087641000282,99.02228819997981,98.5087641000282,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11015,001,2024_Jan_04_1129,nback,2021.2.3,59.33013902267368,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00653779995628,101.00800090003759,100.00653779995628,101.00800090003759,100.00653779995628,101.00800090003759,100.00653779995628,101.00800090003759,down,1,0.22742759995162487,100.00653779995628,None,100.00653779995628,None,100.00653779995628,100.50832130003255,100.00653779995628,100.50832130003255,100.00653779995628,100.50832130003255,100.00653779995628,100.50832130003255,100.00653779995628,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11015,001,2024_Jan_04_1129,nback,2021.2.3,59.33013902267368,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,101.5096395999426,102.51122809993103,101.5096395999426,102.51122809993103,101.5096395999426,102.51122809993103,101.5096395999426,102.51122809993103,left,1,0.3406886999728158,101.5096395999426,None,101.5096395999426,None,101.5096395999426,102.00993579998612,101.5096395999426,102.00993579998612,101.5096395999426,102.00993579998612,101.5096395999426,102.00993579998612,101.5096395999426,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11015,001,2024_Jan_04_1129,nback,2021.2.3,59.33013902267368,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,103.01109319995157,104.01348219998181,103.01109319995157,104.01348219998181,103.01109319995157,104.01348219998181,103.01109319995157,104.01348219998181,up,1,0.3677262000273913,103.01109319995157,None,103.01109319995157,None,103.01109319995157,103.51179839996621,103.01109319995157,103.51179839996621,103.01109319995157,103.51179839996621,103.01109319995157,103.51179839996621,103.01109319995157,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11015,001,2024_Jan_04_1129,nback,2021.2.3,59.33013902267368,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,104.49738930002786,105.49803310004063,104.49738930002786,105.49803310004063,104.49738930002786,105.49803310004063,104.49738930002786,105.49803310004063,down,1,0.31280680000782013,104.49738930002786,None,104.49738930002786,None,104.49738930002786,104.99795929994434,104.49738930002786,104.99795929994434,104.49738930002786,104.99795929994434,104.49738930002786,104.99795929994434,104.49738930002786,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11015,001,2024_Jan_04_1129,nback,2021.2.3,59.33013902267368,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,105.99868990003597,107.00038620003033,105.99868990003597,107.00038620003033,105.99868990003597,107.00038620003033,105.99868990003597,107.00038620003033,right,1,0.364628899958916,105.99868990003597,None,105.99868990003597,None,105.99868990003597,106.50011749996338,105.99868990003597,106.50011749996338,105.99868990003597,106.50011749996338,105.99868990003597,106.50011749996338,105.99868990003597,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11015,001,2024_Jan_04_1129,nback,2021.2.3,59.33013902267368,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,107.50116700003855,108.50320649996866,107.50116700003855,108.50320649996866,107.50116700003855,108.50320649996866,107.50116700003855,108.50320649996866,right,1,0.357035499997437,107.50116700003855,None,107.50116700003855,None,107.50116700003855,108.00166730000637,107.50116700003855,108.00166730000637,107.50116700003855,108.00166730000637,107.50116700003855,108.00166730000637,107.50116700003855,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11015,001,2024_Jan_04_1129,nback,2021.2.3,59.33013902267368,
