backseq,backinstr,backfile,instruction,size_in,Trialtype,back,number,P1,P2,P3,P4,corrAns,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,image.started,image.stopped,image_2.started,image_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_3.started,image_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_4.started,image_4.stopped,text.started,text.stopped,H1.started,H1.stopped,H2.started,H2.stopped,H3.started,H3.stopped,H4.started,H4.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,F1.started,F1.stopped,F2.started,F2.stopped,F3.started,F3.stopped,F4.started,F4.stopped,image_7.started,image_7.stopped,key_resp_3.rt,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_5.started,image_5.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,H1_2.started,H1_2.stopped,H2_2.started,H2_2.stopped,H3_2.started,H3_2.stopped,H4_2.started,H4_2.stopped,F1_2.started,F1_2.stopped,F2_2.started,F2_2.stopped,F3_2.started,F3_2.stopped,F4_2.started,F4_2.stopped,image_8.started,image_8.stopped,text_2.started,text_2.stopped,image_6.started,image_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.36064540001098,None,19.329069899977185,None,space,17.28482159995474,19.329069899977185,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11016,001,2024_Jan_04_1358,nback,2021.2.3,59.76600413999689,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,36.6883824999677,None,space,80.16644300008193,36.6883824999677,None,117.02351790003013,121.5305028000148,121.46362529997714,None,121.89761949994136,122.89994539995678,121.89761949994136,122.89994539995678,121.89761949994136,122.89994539995678,121.89761949994136,122.89994539995678,None,0,121.89761949994136,None,121.89761949994136,None,121.89761949994136,122.39890010003,121.89761949994136,122.39890010003,121.89761949994136,122.39890010003,121.89761949994136,122.39890010003,121.89761949994136,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11016,001,2024_Jan_04_1358,nback,2021.2.3,59.76600413999689,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,123.3832314000465,124.3853285999503,123.3832314000465,124.3853285999503,123.3832314000465,124.3853285999503,123.3832314000465,124.3853285999503,None,0,123.3832314000465,None,123.3832314000465,None,123.3832314000465,123.88397119997535,123.3832314000465,123.88397119997535,123.3832314000465,123.88397119997535,123.3832314000465,123.88397119997535,123.3832314000465,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11016,001,2024_Jan_04_1358,nback,2021.2.3,59.76600413999689,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,124.88543759996537,125.88687819999177,124.88543759996537,125.88687819999177,124.88543759996537,125.88687819999177,124.88543759996537,125.88687819999177,None,0,124.88543759996537,None,124.88543759996537,None,124.88543759996537,125.38687040004879,124.88543759996537,125.38687040004879,124.88543759996537,125.38687040004879,124.88543759996537,125.38687040004879,124.88543759996537,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11016,001,2024_Jan_04_1358,nback,2021.2.3,59.76600413999689,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,126.38799570000265,127.38953080005012,126.38799570000265,127.38953080005012,126.38799570000265,127.38953080005012,126.38799570000265,127.38953080005012,down,1,126.38799570000265,None,126.38799570000265,None,126.38799570000265,126.88827460003085,126.38799570000265,126.88827460003085,126.38799570000265,126.88827460003085,126.38799570000265,126.88827460003085,126.38799570000265,None,0.6182389999739826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11016,001,2024_Jan_04_1358,nback,2021.2.3,59.76600413999689,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,127.88982459995896,128.89137960004155,127.88982459995896,128.89137960004155,127.88982459995896,128.89137960004155,127.88982459995896,128.89137960004155,left,1,127.88982459995896,None,127.88982459995896,None,127.88982459995896,128.3903223000234,127.88982459995896,128.3903223000234,127.88982459995896,128.3903223000234,127.88982459995896,128.3903223000234,127.88982459995896,None,0.31624079996254295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11016,001,2024_Jan_04_1358,nback,2021.2.3,59.76600413999689,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,129.39252230001148,130.3943623000523,129.39252230001148,130.3943623000523,129.39252230001148,130.3943623000523,129.39252230001148,130.3943623000523,up,1,129.39252230001148,None,129.39252230001148,None,129.39252230001148,129.89353600004688,129.39252230001148,129.89353600004688,129.39252230001148,129.89353600004688,129.39252230001148,129.89353600004688,129.39252230001148,None,0.3252638999838382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11016,001,2024_Jan_04_1358,nback,2021.2.3,59.76600413999689,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,130.87761249998584,131.87959350005258,130.87761249998584,131.87959350005258,130.87761249998584,131.87959350005258,130.87761249998584,131.87959350005258,down,1,130.87761249998584,None,130.87761249998584,None,130.87761249998584,131.37819169997238,130.87761249998584,131.37819169997238,130.87761249998584,131.37819169997238,130.87761249998584,131.37819169997238,130.87761249998584,None,0.6404332000529394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11016,001,2024_Jan_04_1358,nback,2021.2.3,59.76600413999689,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,132.37977739993948,133.38182510004845,132.37977739993948,133.38182510004845,132.37977739993948,133.38182510004845,132.37977739993948,133.38182510004845,right,1,132.37977739993948,None,132.37977739993948,None,132.37977739993948,132.88066469994374,132.37977739993948,132.88066469994374,132.37977739993948,132.88066469994374,132.37977739993948,132.88066469994374,132.37977739993948,None,0.44233869994059205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11016,001,2024_Jan_04_1358,nback,2021.2.3,59.76600413999689,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,133.8827609999571,134.88416510005482,133.8827609999571,134.88416510005482,133.8827609999571,134.88416510005482,133.8827609999571,134.88416510005482,right,1,133.8827609999571,None,133.8827609999571,None,133.8827609999571,134.382810399984,133.8827609999571,134.382810399984,133.8827609999571,134.382810399984,133.8827609999571,134.382810399984,133.8827609999571,None,0.4190575999673456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11016,001,2024_Jan_04_1358,nback,2021.2.3,59.76600413999689,
