backseq,backinstr,backfile,instruction,size_in,Trialtype,back,number,P1,P2,P3,P4,corrAns,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,image.started,image.stopped,image_2.started,image_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_3.started,image_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_4.started,image_4.stopped,text.started,text.stopped,H1.started,H1.stopped,H2.started,H2.stopped,H3.started,H3.stopped,H4.started,H4.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,F1.started,F1.stopped,F2.started,F2.stopped,F3.started,F3.stopped,F4.started,F4.stopped,image_7.started,image_7.stopped,key_resp_3.rt,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_5.started,image_5.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,H1_2.started,H1_2.stopped,H2_2.started,H2_2.stopped,H3_2.started,H3_2.stopped,H4_2.started,H4_2.stopped,F1_2.started,F1_2.stopped,F2_2.started,F2_2.stopped,F3_2.started,F3_2.stopped,F4_2.started,F4_2.stopped,image_8.started,image_8.stopped,key_resp_5.rt,text_2.started,text_2.stopped,image_6.started,image_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.178066399996169,None,10.113326300051995,None,space,3.073553499998525,10.113326300051995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12004,001,2024_Jun_13_1348,nback,2021.2.3,59.74625765910863,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,13.26772170001641,None,space,1.098852499970235,13.26772170001641,None,14.619802900007926,19.12711170001421,19.043340400094166,None,19.46035060007125,20.462192100007087,19.46035060007125,20.462192100007087,19.46035060007125,20.462192100007087,19.46035060007125,20.462192100007087,None,0,19.46035060007125,None,19.46035060007125,None,19.46035060007125,19.96106950007379,19.46035060007125,19.96106950007379,19.46035060007125,19.96106950007379,19.46035060007125,19.96106950007379,19.46035060007125,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12004,001,2024_Jun_13_1348,nback,2021.2.3,59.74625765910863,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,20.89577790000476,21.89751530007925,20.89577790000476,21.89751530007925,20.89577790000476,21.89751530007925,20.89577790000476,21.89751530007925,None,0,20.89577790000476,None,20.89577790000476,None,20.89577790000476,21.396614900091663,20.89577790000476,21.396614900091663,20.89577790000476,21.396614900091663,20.89577790000476,21.396614900091663,20.89577790000476,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12004,001,2024_Jun_13_1348,nback,2021.2.3,59.74625765910863,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,22.398080400074832,23.40048040007241,22.398080400074832,23.40048040007241,22.398080400074832,23.40048040007241,22.398080400074832,23.40048040007241,None,0,22.398080400074832,None,22.398080400074832,None,22.398080400074832,22.899036100017838,22.398080400074832,22.899036100017838,22.398080400074832,22.899036100017838,22.398080400074832,22.899036100017838,22.398080400074832,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12004,001,2024_Jun_13_1348,nback,2021.2.3,59.74625765910863,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,23.90041190001648,24.901842100080103,23.90041190001648,24.901842100080103,23.90041190001648,24.901842100080103,23.90041190001648,24.901842100080103,None,0,23.90041190001648,None,23.90041190001648,None,23.90041190001648,24.402430600021034,23.90041190001648,24.402430600021034,23.90041190001648,24.402430600021034,23.90041190001648,24.402430600021034,23.90041190001648,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12004,001,2024_Jun_13_1348,nback,2021.2.3,59.74625765910863,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,25.402680200058967,26.40429179999046,25.402680200058967,26.40429179999046,25.402680200058967,26.40429179999046,25.402680200058967,26.40429179999046,None,0,25.402680200058967,None,25.402680200058967,None,25.402680200058967,25.904140700004064,25.402680200058967,25.904140700004064,25.402680200058967,25.904140700004064,25.402680200058967,25.904140700004064,25.402680200058967,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12004,001,2024_Jun_13_1348,nback,2021.2.3,59.74625765910863,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,26.904772000038065,27.90696170006413,26.904772000038065,27.90696170006413,26.904772000038065,27.90696170006413,26.904772000038065,27.90696170006413,None,0,26.904772000038065,None,26.904772000038065,None,26.904772000038065,27.405898900004104,26.904772000038065,27.405898900004104,26.904772000038065,27.405898900004104,26.904772000038065,27.405898900004104,26.904772000038065,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12004,001,2024_Jun_13_1348,nback,2021.2.3,59.74625765910863,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,28.390404000063427,29.391891100094654,28.390404000063427,29.391891100094654,28.390404000063427,29.391891100094654,28.390404000063427,29.391891100094654,None,0,28.390404000063427,None,28.390404000063427,None,28.390404000063427,28.891250199987553,28.390404000063427,28.891250199987553,28.390404000063427,28.891250199987553,28.390404000063427,28.891250199987553,28.390404000063427,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12004,001,2024_Jun_13_1348,nback,2021.2.3,59.74625765910863,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,29.892595699988306,30.894263199996203,29.892595699988306,30.894263199996203,29.892595699988306,30.894263199996203,29.892595699988306,30.894263199996203,None,0,29.892595699988306,None,29.892595699988306,None,29.892595699988306,30.393197700032033,29.892595699988306,30.393197700032033,29.892595699988306,30.393197700032033,29.892595699988306,30.393197700032033,29.892595699988306,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12004,001,2024_Jun_13_1348,nback,2021.2.3,59.74625765910863,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,31.394876100006513,32.396456200047396,31.394876100006513,32.396456200047396,31.394876100006513,32.396456200047396,31.394876100006513,32.396456200047396,None,0,31.394876100006513,None,31.394876100006513,None,31.394876100006513,31.89561380003579,31.394876100006513,31.89561380003579,31.394876100006513,31.89561380003579,31.394876100006513,31.89561380003579,31.394876100006513,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12004,001,2024_Jun_13_1348,nback,2021.2.3,59.74625765910863,
