backseq,backinstr,backfile,instruction,size_in,Trialtype,back,number,P1,P2,P3,P4,corrAns,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,image.started,image.stopped,image_2.started,image_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_3.started,image_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_4.started,image_4.stopped,text.started,text.stopped,H1.started,H1.stopped,H2.started,H2.stopped,H3.started,H3.stopped,H4.started,H4.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,F1.started,F1.stopped,F2.started,F2.stopped,F3.started,F3.stopped,F4.started,F4.stopped,image_7.started,image_7.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_5.started,image_5.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,H1_2.started,H1_2.stopped,H2_2.started,H2_2.stopped,H3_2.started,H3_2.stopped,H4_2.started,H4_2.stopped,F1_2.started,F1_2.stopped,F2_2.started,F2_2.stopped,F3_2.started,F3_2.stopped,F4_2.started,F4_2.stopped,image_8.started,image_8.stopped,key_resp_5.rt,text_2.started,text_2.stopped,image_6.started,image_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.896736099999544,None,12.831483099999787,None,space,1.1584641999997984,12.831483099999787,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12010,001,2024_Jun_15_1940,nback,2021.2.3,59.546174783716324,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,14.049665300000015,None,space,3.8969406999995044,14.049665300000015,None,18.139830000000075,22.647135000000162,22.579580599999645,None,23.047074400000383,24.048592299999655,23.047074400000383,24.048592299999655,23.047074400000383,24.048592299999655,23.047074400000383,24.048592299999655,up,1,0.7722408999998152,23.047074400000383,None,23.047074400000383,None,23.047074400000383,23.547786000000087,23.047074400000383,23.547786000000087,23.047074400000383,23.547786000000087,23.047074400000383,23.547786000000087,23.047074400000383,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12010,001,2024_Jun_15_1940,nback,2021.2.3,59.546174783716324,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,24.482319599999755,25.484035599999515,24.482319599999755,25.484035599999515,24.482319599999755,25.484035599999515,24.482319599999755,25.484035599999515,left,1,0.585269100000005,24.482319599999755,None,24.482319599999755,None,24.482319599999755,24.98330729999998,24.482319599999755,24.98330729999998,24.482319599999755,24.98330729999998,24.482319599999755,24.98330729999998,24.482319599999755,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12010,001,2024_Jun_15_1940,nback,2021.2.3,59.546174783716324,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,25.98477389999971,26.98739139999998,25.98477389999971,26.98739139999998,25.98477389999971,26.98739139999998,25.98477389999971,26.98739139999998,right,1,0.5313551999997799,25.98477389999971,None,25.98477389999971,None,25.98477389999971,26.485398099999657,25.98477389999971,26.485398099999657,25.98477389999971,26.485398099999657,25.98477389999971,26.485398099999657,25.98477389999971,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12010,001,2024_Jun_15_1940,nback,2021.2.3,59.546174783716324,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,27.48697119999997,28.48854730000039,27.48697119999997,28.48854730000039,27.48697119999997,28.48854730000039,27.48697119999997,28.48854730000039,down,1,0.5322772999998051,27.48697119999997,None,27.48697119999997,None,27.48697119999997,27.988152300000365,27.48697119999997,27.988152300000365,27.48697119999997,27.988152300000365,27.48697119999997,27.988152300000365,27.48697119999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12010,001,2024_Jun_15_1940,nback,2021.2.3,59.546174783716324,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,28.989237499999945,29.990582399999766,28.989237499999945,29.990582399999766,28.989237499999945,29.990582399999766,28.989237499999945,29.990582399999766,left,1,0.4465285000005679,28.989237499999945,None,28.989237499999945,None,28.989237499999945,29.490333900000223,28.989237499999945,29.490333900000223,28.989237499999945,29.490333900000223,28.989237499999945,29.490333900000223,28.989237499999945,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12010,001,2024_Jun_15_1940,nback,2021.2.3,59.546174783716324,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,30.491576100000202,31.49277970000003,30.491576100000202,31.49277970000003,30.491576100000202,31.49277970000003,30.491576100000202,31.49277970000003,up,1,0.33578010000019276,30.491576100000202,None,30.491576100000202,None,30.491576100000202,30.99226019999969,30.491576100000202,30.99226019999969,30.491576100000202,30.99226019999969,30.491576100000202,30.99226019999969,30.491576100000202,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12010,001,2024_Jun_15_1940,nback,2021.2.3,59.546174783716324,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,31.993673199999648,32.99524709999969,31.993673199999648,32.99524709999969,31.993673199999648,32.99524709999969,31.993673199999648,32.99524709999969,down,1,0.5940697999994882,31.993673199999648,None,31.993673199999648,None,31.993673199999648,32.49463790000027,31.993673199999648,32.49463790000027,31.993673199999648,32.49463790000027,31.993673199999648,32.49463790000027,31.993673199999648,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12010,001,2024_Jun_15_1940,nback,2021.2.3,59.546174783716324,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,33.47933720000037,34.48084159999962,33.47933720000037,34.48084159999962,33.47933720000037,34.48084159999962,33.47933720000037,34.48084159999962,right,1,0.5007568999999421,33.47933720000037,None,33.47933720000037,None,33.47933720000037,33.98019459999978,33.47933720000037,33.98019459999978,33.47933720000037,33.98019459999978,33.47933720000037,33.98019459999978,33.47933720000037,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12010,001,2024_Jun_15_1940,nback,2021.2.3,59.546174783716324,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,34.981652499999655,35.983779199999844,34.981652499999655,35.983779199999844,34.981652499999655,35.983779199999844,34.981652499999655,35.983779199999844,right,1,0.4700311000005968,34.981652499999655,None,34.981652499999655,None,34.981652499999655,35.48231329999999,34.981652499999655,35.48231329999999,34.981652499999655,35.48231329999999,34.981652499999655,35.48231329999999,34.981652499999655,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12010,001,2024_Jun_15_1940,nback,2021.2.3,59.546174783716324,
