b_pra,ins_blocks,ins_blocks2,stim_word,stim_color,corrAns,cue_type,trial_type,task_type,rand,compatibility,switch,b_test,w_pic,w_pic2,trials_instr.thisRepN,trials_instr.thisTrialN,trials_instr.thisN,trials_instr.thisIndex,block_pra.thisRepN,block_pra.thisTrialN,block_pra.thisN,block_pra.thisIndex,trials_rep.thisRepN,trials_rep.thisTrialN,trials_rep.thisN,trials_rep.thisIndex,trials_pra.thisRepN,trials_pra.thisTrialN,trials_pra.thisN,trials_pra.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instr_image.started,instr_image.stopped,instr_key_resp.keys,instr_key_resp.rt,instr_key_resp.started,instr_key_resp.stopped,instr_pra_image.started,instr_pra_image.stopped,ip_key_resp.keys,ip_key_resp.rt,ip_key_resp.started,ip_key_resp.stopped,block_image.started,block_image.stopped,ib_key_resp.keys,ib_key_resp.rt,ib_key_resp.started,ib_key_resp.stopped,cd3.started,cd3.stopped,cd2.started,cd2.stopped,cd1.started,cd1.stopped,cd_text.started,cd_text.stopped,text_fix.started,text_fix.stopped,text_2.started,text_2.stopped,text_4.started,text_4.stopped,text_target.started,text_target.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,sceen_black.started,sceen_black.stopped,text_fb.started,text_fb.stopped,text.started,text.stopped,key_bf.keys,key_bf.rt,key_bf.started,key_bf.stopped,instr_test_image.started,instr_test_image.stopped,instr_exp_key_resp.keys,instr_exp_key_resp.rt,instr_exp_key_resp.started,instr_exp_key_resp.stopped,text_rest.started,text_rest.stopped,key_resp_rest.keys,key_resp_rest.rt,key_resp_rest.started,key_resp_rest.stopped,text_3.started,text_3.stopped,participant,session,balance,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,8.728086599963717,None,right,1.0041800999315456,8.728086599963717,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11009,2,1,2024_Jun_04_1613,stroop_task_switching2,2021.2.3,59.84042949387417,
,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,9.7794820999261,None,right,4.657532399985939,9.7794820999261,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11009,2,1,2024_Jun_04_1613,stroop_task_switching2,2021.2.3,59.84042949387417,
,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,14.469754299963824,None,right,11.131818800000474,14.469754299963824,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11009,2,1,2024_Jun_04_1613,stroop_task_switching2,2021.2.3,59.84042949387417,
,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,25.636693299980834,None,right,7.400384500040673,25.636693299980834,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11009,2,1,2024_Jun_04_1613,stroop_task_switching2,2021.2.3,59.84042949387417,
,,,,,,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,33.08136780001223,None,right,17.723531499970704,33.08136780001223,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11009,2,1,2024_Jun_04_1613,stroop_task_switching2,2021.2.3,59.84042949387417,
,,,,,,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,50.8413401999278,None,right,0.9199712999397889,50.8413401999278,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11009,2,1,2024_Jun_04_1613,stroop_task_switching2,2021.2.3,59.84042949387417,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.809789999970235,None,space,1.8228007999714464,51.809789999970235,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11009,2,1,2024_Jun_04_1613,stroop_task_switching2,2021.2.3,59.84042949387417,
condition/block_color,instruction/instr_color,instruction/i8,XX,red,d,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,53.67893809999805,None,space,19.591440099989995,53.67893809999805,None,74.32673700002488,75.32824509998318,75.32824509998318,76.32988430000842,76.32988430000842,None,73.35876420000568,74.36031339992769,77.3147970000282,77.51557309995405,77.49816959991585,77.7988125999691,77.7988125999691,None,78.29941139998846,None,d,1,0.6588764999760315,78.29941139998846,None,None,None,78.98374729999341,None,,,,,,,,,,,,,,,,,,,,,11009,2,1,2024_Jun_04_1613,stroop_task_switching2,2021.2.3,59.84042949387417,
condition/block_color,instruction/instr_color,instruction/i8,XX,green,k,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.98527369997464,80.18560760002583,80.16892399999779,80.47104959993158,80.47104959993158,None,80.97029139997903,None,k,1,0.8276500999927521,80.97029139997903,None,None,None,81.8215020999778,None,,,,,,,,,,,,,,,,,,,,,11009,2,1,2024_Jun_04_1613,stroop_task_switching2,2021.2.3,59.84042949387417,
condition/block_color,instruction/instr_color,instruction/i8,XX,yellow,j,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.82305509992875,83.02365679992363,83.00652529997751,83.30751810001675,83.30751810001675,None,83.8077948000282,None,j,1,0.7425755999283865,83.8077948000282,None,None,None,84.57551499991678,None,,,,,,,,,,,,,,,,,,,,,11009,2,1,2024_Jun_04_1613,stroop_task_switching2,2021.2.3,59.84042949387417,
condition/block_color,instruction/instr_color,instruction/i8,XX,blue,f,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.57701439992525,85.77863950002939,85.7606100999983,86.06120769993868,86.06120769993868,None,86.56184260000009,None,f,1,0.4445833000354469,86.56184260000009,None,None,None,87.0293692999985,None,,,,,,,,,,,,,,,,,,,,,11009,2,1,2024_Jun_04_1613,stroop_task_switching2,2021.2.3,59.84042949387417,
condition/block_color,instruction/instr_color,instruction/i8,XX,green,k,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.03096210001968,88.2312769999262,88.21442829992156,88.51583219994791,88.51583219994791,None,89.01573609991465,None,k,1,0.9510031000245363,89.01573609991465,None,None,None,89.98384889995214,None,,,,,,,,,,,,,,,,,,,,,11009,2,1,2024_Jun_04_1613,stroop_task_switching2,2021.2.3,59.84042949387417,
condition/block_color,instruction/instr_color,instruction/i8,XX,yellow,j,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.98521579999942,91.18761799996719,91.1691721000243,91.46946269995533,91.46946269995533,None,91.97019239992369,None,j,1,0.5084067999850959,91.97019239992369,None,None,None,92.50433279993013,None,,,,,,,,,,,,,,,,,,,,,11009,2,1,2024_Jun_04_1613,stroop_task_switching2,2021.2.3,59.84042949387417,
condition/block_color,instruction/instr_color,instruction/i8,XX,blue,f,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.50569319992792,93.70747749996372,93.68939509999473,93.99085820000619,93.99085820000619,None,94.49052340001799,None,f,1,0.4441615999676287,94.49052340001799,None,None,None,94.95802599994931,None,,,,,,,,,,,,,,,,,,,,,11009,2,1,2024_Jun_04_1613,stroop_task_switching2,2021.2.3,59.84042949387417,
condition/block_color,instruction/instr_color,instruction/i8,XX,red,d,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.95953599992208,96.16044140001759,96.1430873000063,96.44464769994374,96.44464769994374,None,96.9442255999893,None,d,1,0.6146117000607774,96.9442255999893,None,None,None,97.57871329993941,None,,,,,,,,,,,,,,,,,,,,,11009,2,1,2024_Jun_04_1613,stroop_task_switching2,2021.2.3,59.84042949387417,
