b_pra,ins_blocks,ins_blocks2,stim_word,stim_color,corrAns,cue_type,trial_type,task_type,rand,compatibility,switch,b_test,w_pic,w_pic2,trials_instr.thisRepN,trials_instr.thisTrialN,trials_instr.thisN,trials_instr.thisIndex,block_pra.thisRepN,block_pra.thisTrialN,block_pra.thisN,block_pra.thisIndex,trials_rep.thisRepN,trials_rep.thisTrialN,trials_rep.thisN,trials_rep.thisIndex,trials_pra.thisRepN,trials_pra.thisTrialN,trials_pra.thisN,trials_pra.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instr_image.started,instr_image.stopped,instr_key_resp.keys,instr_key_resp.rt,instr_key_resp.started,instr_key_resp.stopped,instr_pra_image.started,instr_pra_image.stopped,ip_key_resp.keys,ip_key_resp.rt,ip_key_resp.started,ip_key_resp.stopped,block_image.started,block_image.stopped,ib_key_resp.keys,ib_key_resp.rt,ib_key_resp.started,ib_key_resp.stopped,cd3.started,cd3.stopped,cd2.started,cd2.stopped,cd1.started,cd1.stopped,cd_text.started,cd_text.stopped,text_fix.started,text_fix.stopped,text_2.started,text_2.stopped,text_4.started,text_4.stopped,text_target.started,text_target.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,sceen_black.started,sceen_black.stopped,text_fb.started,text_fb.stopped,key_resp.rt,text.started,text.stopped,key_bf.keys,key_bf.rt,key_bf.started,key_bf.stopped,instr_test_image.started,instr_test_image.stopped,instr_exp_key_resp.keys,instr_exp_key_resp.rt,instr_exp_key_resp.started,instr_exp_key_resp.stopped,text_rest.started,text_rest.stopped,key_resp_rest.keys,key_resp_rest.rt,key_resp_rest.started,key_resp_rest.stopped,text_3.started,text_3.stopped,participant,session,balance,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,17.110844599985285,None,right,0.9209256999893114,17.110844599985285,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11038,2,2,2024_Jun_18_1327,stroop_task_switching2_b,2021.2.3,59.95491390344069,
,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,18.07682289998047,None,right,44.32148749998305,18.07682289998047,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11038,2,2,2024_Jun_18_1327,stroop_task_switching2_b,2021.2.3,59.95491390344069,
,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,62.44429369998397,None,right,0.23686350000207312,62.44429369998397,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11038,2,2,2024_Jun_18_1327,stroop_task_switching2_b,2021.2.3,59.95491390344069,
,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,62.72823700000299,None,right,0.14961580000817776,62.72823700000299,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11038,2,2,2024_Jun_18_1327,stroop_task_switching2_b,2021.2.3,59.95491390344069,
,,,,,,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,62.9119843999797,None,right,0.14228699999512173,62.9119843999797,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11038,2,2,2024_Jun_18_1327,stroop_task_switching2_b,2021.2.3,59.95491390344069,
,,,,,,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,63.095765899983235,None,right,0.484271199995419,63.095765899983235,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11038,2,2,2024_Jun_18_1327,stroop_task_switching2_b,2021.2.3,59.95491390344069,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.6136101000011,None,space,2.9544915000151377,63.6136101000011,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11038,2,2,2024_Jun_18_1327,stroop_task_switching2_b,2021.2.3,59.95491390344069,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,red,k,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,66.60069069999736,None,space,5.855286000005435,66.60069069999736,None,73.52875739999581,74.53077719997964,74.53077719997964,75.53154149997863,75.53154149997863,None,72.54456959999516,73.54530699999304,76.50035099999513,76.71593489998486,76.68259199999738,76.98399119998794,76.98399119998794,None,77.48491699999431,80.48840020000353,None,0,77.48491699999431,80.48840020000353,80.47266859997762,None,81.08948529997724,None,,,,,,,,,,,,,,,,,,,,,,11038,2,2,2024_Jun_18_1327,stroop_task_switching2_b,2021.2.3,59.95491390344069,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,green,d,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0920419000031,82.2919816999929,82.27562989998842,82.57608349999646,82.57608349999646,None,83.07560869998997,None,d,1,83.07560869998997,None,None,None,84.37759739998728,None,1.2742493000114337,,,,,,,,,,,,,,,,,,,,,11038,2,2,2024_Jun_18_1327,stroop_task_switching2_b,2021.2.3,59.95491390344069,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,yellow,f,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.38016949998564,85.57941069998196,85.56273189999047,85.863826899993,85.863826899993,None,86.36393469999894,None,f,1,86.36393469999894,None,None,None,87.28197529999306,None,0.8984804000065196,,,,,,,,,,,,,,,,,,,,,11038,2,2,2024_Jun_18_1327,stroop_task_switching2_b,2021.2.3,59.95491390344069,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,blue,j,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.28430559998378,88.48470749999979,88.4681279999786,88.76826009998331,88.76826009998331,None,89.26918239999213,None,j,1,89.26918239999213,None,None,None,90.25313219998498,None,0.9606534999911673,,,,,,,,,,,,,,,,,,,,,11038,2,2,2024_Jun_18_1327,stroop_task_switching2_b,2021.2.3,59.95491390344069,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,green,d,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25475269998424,91.45603189998656,91.43820330000017,91.7396736999799,91.7396736999799,None,92.23941259999992,None,d,1,92.23941259999992,None,None,None,93.4747914999898,None,1.2147839000099339,,,,,,,,,,,,,,,,,,,,,11038,2,2,2024_Jun_18_1327,stroop_task_switching2_b,2021.2.3,59.95491390344069,
