b_pra,ins_blocks,ins_blocks2,stim_word,stim_color,corrAns,cue_type,trial_type,task_type,rand,compatibility,switch,b_test,w_pic,w_pic2,trials_instr.thisRepN,trials_instr.thisTrialN,trials_instr.thisN,trials_instr.thisIndex,block_pra.thisRepN,block_pra.thisTrialN,block_pra.thisN,block_pra.thisIndex,trials_rep.thisRepN,trials_rep.thisTrialN,trials_rep.thisN,trials_rep.thisIndex,trials_pra.thisRepN,trials_pra.thisTrialN,trials_pra.thisN,trials_pra.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instr_image.started,instr_image.stopped,instr_key_resp.keys,instr_key_resp.rt,instr_key_resp.started,instr_key_resp.stopped,instr_pra_image.started,instr_pra_image.stopped,ip_key_resp.keys,ip_key_resp.rt,ip_key_resp.started,ip_key_resp.stopped,block_image.started,block_image.stopped,ib_key_resp.keys,ib_key_resp.rt,ib_key_resp.started,ib_key_resp.stopped,cd3.started,cd3.stopped,cd2.started,cd2.stopped,cd1.started,cd1.stopped,cd_text.started,cd_text.stopped,text_fix.started,text_fix.stopped,text_2.started,text_2.stopped,text_4.started,text_4.stopped,text_target.started,text_target.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,sceen_black.started,sceen_black.stopped,text_fb.started,text_fb.stopped,text.started,text.stopped,key_bf.keys,key_bf.rt,key_bf.started,key_bf.stopped,instr_test_image.started,instr_test_image.stopped,instr_exp_key_resp.keys,instr_exp_key_resp.rt,instr_exp_key_resp.started,instr_exp_key_resp.stopped,text_rest.started,text_rest.stopped,key_resp_rest.keys,key_resp_rest.rt,key_resp_rest.started,key_resp_rest.stopped,text_3.started,text_3.stopped,participant,session,balance,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,90.45968110000831,None,right,2.0236195000179578,90.45968110000831,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11041,2,1,2024_May_31_1435,stroop_task_switching2,2021.2.3,60.174844030664794,
,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,92.52930439999909,None,right,18.88263370000641,92.52930439999909,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11041,2,1,2024_May_31_1435,stroop_task_switching2,2021.2.3,60.174844030664794,
,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,111.45787579999887,None,right,15.690948400006164,111.45787579999887,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11041,2,1,2024_May_31_1435,stroop_task_switching2,2021.2.3,60.174844030664794,
,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,127.18146900000283,None,right,10.855348200013395,127.18146900000283,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11041,2,1,2024_May_31_1435,stroop_task_switching2,2021.2.3,60.174844030664794,
,,,,,,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,138.08127799999784,None,right,36.46881220000796,138.08127799999784,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11041,2,1,2024_May_31_1435,stroop_task_switching2,2021.2.3,60.174844030664794,
,,,,,,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,174.58647780001047,None,right,1.2352708999824245,174.58647780001047,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11041,2,1,2024_May_31_1435,stroop_task_switching2,2021.2.3,60.174844030664794,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.85641550002038,None,space,3.8692417000129353,175.85641550002038,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11041,2,1,2024_May_31_1435,stroop_task_switching2,2021.2.3,60.174844030664794,
condition/block_color,instruction/instr_color,instruction/i8,XX,red,d,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,179.7608466000238,None,space,4.589399399992544,179.7608466000238,None,185.40373839999666,186.4054060000053,186.4054060000053,187.4073910000152,187.4073910000152,None,184.43458760000067,185.43629120002151,188.39044760001707,188.59242060000543,188.57420960001764,188.8751858000178,188.8751858000178,None,189.3753726000141,None,d,1,0.6627703999984078,189.3753726000141,None,None,None,190.05970830001752,None,,,,,,,,,,,,,,,,,,,,,11041,2,1,2024_May_31_1435,stroop_task_switching2,2021.2.3,60.174844030664794,
condition/block_color,instruction/instr_color,instruction/i8,XX,green,k,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.0617194000224,191.2620969999989,191.24562610001885,191.54576590002398,191.54576590002398,None,192.0461172000214,None,k,1,1.184355700010201,192.0461172000214,None,None,None,193.2478999000159,None,,,,,,,,,,,,,,,,,,,,,11041,2,1,2024_May_31_1435,stroop_task_switching2,2021.2.3,60.174844030664794,
condition/block_color,instruction/instr_color,instruction/i8,XX,yellow,j,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.24952569999732,194.45052630000282,194.43304430000717,194.7348103999975,194.7348103999975,None,195.23415880001266,None,j,1,0.7565708000038285,195.23415880001266,None,None,None,196.01883460002136,None,,,,,,,,,,,,,,,,,,,,,11041,2,1,2024_May_31_1435,stroop_task_switching2,2021.2.3,60.174844030664794,
