b_pra,ins_blocks,ins_blocks2,stim_word,stim_color,corrAns,cue_type,trial_type,task_type,rand,compatibility,switch,b_test,w_pic,w_pic2,trials_instr.thisRepN,trials_instr.thisTrialN,trials_instr.thisN,trials_instr.thisIndex,block_pra.thisRepN,block_pra.thisTrialN,block_pra.thisN,block_pra.thisIndex,trials_rep.thisRepN,trials_rep.thisTrialN,trials_rep.thisN,trials_rep.thisIndex,trials_pra.thisRepN,trials_pra.thisTrialN,trials_pra.thisN,trials_pra.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instr_image.started,instr_key_resp.started,instr_key_resp.keys,instr_key_resp.rt,instr_pra_image.started,ip_key_resp.started,ip_key_resp.keys,ip_key_resp.rt,block_image.started,ib_key_resp.started,ib_key_resp.keys,ib_key_resp.rt,cd_text.started,cd3.started,cd_text.stopped,cd3.stopped,cd2.started,cd2.stopped,cd1.started,cd1.stopped,text_fix.started,text_2.started,text_fix.stopped,text_2.stopped,text_4.started,text_4.stopped,text_target.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,text_fb.started,text_fb.stopped,text.started,key_bf.started,key_bf.keys,key_bf.rt,text_target.stopped,key_resp.stopped,sceen_black.started,sceen_black.stopped,instr_test_image.started,instr_exp_key_resp.started,instr_exp_key_resp.keys,instr_exp_key_resp.rt,text_rest.started,key_resp_rest.started,key_resp_rest.keys,key_resp_rest.rt,text_3.started,participant,session,balance,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,39.1122206,39.1122206,right,3.6435253999952693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,42.79008099999919,42.79008099999919,space,32.17698270000983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,74.99820639999234,74.99820639999234,right,2.134599899989553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,77.16465710000193,77.16465710000193,right,20.091606599991792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
,,,,,,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,97.28669629999786,97.28669629999786,right,13.42517499999667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
,,,,,,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,110.74556419999863,110.74556419999863,right,21.70764630001213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
,,,,,,,,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,132.4789657999936,132.4789657999936,right,4.845438100004685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.34434149999288,137.34434149999288,space,1.8580359000043245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,red,k,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,139.2334802999976,139.2334802999976,space,4.762723599997116,144.0121780999907,144.99766459999955,145.0198653999978,145.99849639998865,145.99849639998865,146.9978606999939,147.0073823999992,148.0145218999969,148.0145218999969,148.1961494999996,148.22046019999834,148.49714719998883,148.49714719998883,149.00895069999387,149.00895069999387,149.00895069999387,k,1,0.874308899990865,149.90050099999644,,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,green,d,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.9095929999894,151.0962395999959,151.12038789999497,151.39621779999288,151.38597129999835,151.88718769999105,151.89626139999018,151.89626139999018,d,1,0.8910752999945544,152.8097049999924,,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,yellow,f,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.82074319999083,153.9966182999924,154.02026359998854,154.29598819999956,154.29598819999956,154.79913479999232,154.79913479999232,154.79913479999232,f,1,0.7565356999984942,155.57672539999476,156.57600059999095,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,blue,j,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.57600059999095,156.7754297999927,156.7754297999927,157.07568359999277,157.07568359999277,157.57640039999387,157.57640039999387,157.57640039999387,j,1,0.4908027000055881,158.08520689999568,159.08544899999106,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,green,d,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.08544899999106,159.27660820000165,159.2855630999984,159.57663339999272,159.57663339999272,160.0763267000002,160.0763267000002,160.0763267000002,f,0,0.9026306000014301,160.99901739999768,,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,yellow,f,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.99794299999485,162.18784339999547,162.19880929999636,162.49951739999233,162.48721949999162,,162.9986543999985,162.9986543999985,f,1,0.8604583999986062,163.87522889999673,164.874350699989,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,blue,j,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.874350699989,165.06480959999317,165.07399559998885,165.3652679999941,165.3652679999941,165.86518759999308,165.86518759999308,165.86518759999308,j,1,0.7459859999944456,166.63244390000182,,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,red,k,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.6403866999899,167.8312939999887,167.8404850999941,168.13183909999498,168.13183909999498,168.6305185999954,168.6305185999954,168.6305185999954,k,1,0.573146299997461,169.22115659998963,170.2208091999928,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,yellow,f,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.2208091999928,170.42069709999487,170.42069709999487,170.7202599000011,170.7202599000011,171.22021119999408,171.22021119999408,171.22021119999408,f,1,1.262534699999378,172.4967566999985,173.49588249999215,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,blue,j,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.49588249999215,173.68736489998992,173.6964239999943,173.98719020000135,173.9965225999913,174.49601629999233,174.49601629999233,174.49601629999233,j,1,0.5553004999965196,175.06434119999176,,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,red,k,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.07516989999567,176.2521895999962,176.27596719999565,176.55151459999615,176.55151459999615,177.0517045000015,177.0517045000015,177.0517045000015,k,1,0.3994775000028312,177.46495379999396,,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,green,d,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.4757232999982,178.65249229999608,178.67541949999577,178.9514887999976,178.9514887999976,179.45189189999655,179.45189189999655,179.45189189999655,d,1,1.1593247999990126,180.6314721999952,181.6311496999988,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,blue,j,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.6311496999988,181.83231719999458,181.83231719999458,182.13221909999265,182.13221909999265,,182.6340610999905,182.6340610999905,j,1,0.46492189999844413,183.1108164999896,184.10754079998878,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,red,k,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.10754079998878,184.3070960999903,184.3070960999903,184.60738649999257,184.60738649999257,185.10738570000103,185.10738570000103,185.10738570000103,k,1,0.5516337000008207,185.67409979998774,186.67429059999995,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,green,d,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.67429059999995,186.86415300000226,186.87375859999156,187.16448059999675,187.16448059999675,187.66549990000203,187.66549990000203,187.66549990000203,d,1,0.8576223999989452,188.54304099999717,,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,yellow,f,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.55422249999538,189.72933619999094,189.75357010000153,190.03024319998804,190.03024319998804,190.52933679999842,190.52933679999842,190.52933679999842,f,1,0.7771365999942645,191.32118509999418,192.3210662999918,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,red,k,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.3210662999918,192.52039789999253,192.52039789999253,192.82002049998846,192.82002049998846,,193.3219997999986,193.3219997999986,k,1,0.4801369000051636,193.8202719999972,194.82023889999255,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,green,d,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.82023889999255,195.0201464999991,195.0201464999991,195.31840769998962,195.3090264999919,195.809574599989,195.809574599989,195.809574599989,f,0,0.7853593000036199,196.61274779999803,,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,yellow,f,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.6185051999928,197.80983549999655,197.81894529999408,198.10929639999813,198.10929639999813,198.60932059999323,198.60932059999323,198.60932059999323,f,1,0.722676399993361,199.36462490000122,,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,blue,j,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.36429409999982,200.5431988999917,200.56525749999855,200.8424260999891,200.8424260999891,201.34335199999623,201.34335199999623,201.34335199999623,j,1,0.6200946000026306,201.9765883999935,,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,green,d,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.9866045999952,203.17411239999637,203.19805639999686,203.473679799994,203.473679799994,203.97397629999614,203.97397629999614,203.97397629999614,d,1,1.0762608000077307,205.0668488999945,,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,yellow,f,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.07458400000178,206.26514889999817,206.27423519999138,206.56546439998783,206.56546439998783,207.06503800000064,207.06503800000064,207.06503800000064,f,1,0.7943360999925062,207.87534959999903,208.87647029999061,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,blue,j,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.87647029999061,209.07664769999974,209.08779809999396,209.38661739999952,209.375386899992,209.87650459998986,209.87650459998986,209.87650459998986,j,1,0.6786276000057114,210.5760811999935,,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,red,k,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.58648749999702,211.76302849999047,211.78746739999042,212.0633078999963,212.0633078999963,212.56263449999096,212.56263449999096,212.56263449999096,k,1,0.46420029998989776,213.0421853000007,,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_color_b,instruction/instr_color,instruction/i8_b,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.08612399999402,214.08612399999402,space,4.091899699997157,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_color_b,instruction/instr_color,instruction/i8_b,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_word_b,instruction/instr_word,instruction/i9_b,黄,white,f,square,word_single,单词,0.0032461461866890584,,,,,,,,,,0,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,218.22180059998936,218.22180059998936,space,10.199876800004859,228.4458958999894,229.42992830000003,229.45454239999526,230.42998519999674,230.42998519999674,231.42958579999686,231.42958579999686,232.45652100000007,232.45652100000007,232.64188429999922,232.6626982000016,232.94327930000145,232.92989800000214,233.43332969999756,233.43332969999756,233.43332969999756,f,1,1.3218264000024647,234.77600689999235,235.77629719999095,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_word_b,instruction/instr_word,instruction/i9_b,蓝,white,j,square,word_single,单词,0.060540570646362424,,,,,,,,,,0,1,1,1,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.77629719999095,235.9755395999964,235.9755395999964,236.27649360000214,236.27649360000214,236.7900981999992,236.7900981999992,236.7900981999992,j,1,0.7827874000067823,237.58537159999833,238.58503239999118,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_word_b,instruction/instr_word,instruction/i9_b,黄,white,f,square,word_single,单词,0.06994067193778963,,,,,,,,,,0,1,1,1,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.58503239999118,238.78479009999137,238.78479009999137,239.08520339999814,239.08520339999814,239.58443149999948,239.58443149999948,239.58443149999948,f,1,0.6983226999873295,240.2979970000015,,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_word_b,instruction/instr_word,instruction/i9_b,蓝,white,j,square,word_single,单词,0.08193765152950094,,,,,,,,,,0,1,1,1,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.30926259999978,241.48516119999113,241.5092430999939,241.7860345999943,241.7860345999943,242.2852700999938,242.2852700999938,242.2852700999938,j,1,0.5814015000069048,242.88716990000103,,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_word_b,instruction/instr_word,instruction/i9_b,红,white,k,square,word_single,单词,0.1279694370605574,,,,,,,,,,0,1,1,1,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.8984388999961,244.07423109999218,244.09765729999344,244.37378660000104,244.37378660000104,244.87841639999533,244.87841639999533,244.87841639999533,k,1,0.4202132999926107,245.31972229998792,,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_word_b,instruction/instr_word,instruction/i9_b,红,white,k,square,word_single,单词,0.18345028784879092,,,,,,,,,,0,1,1,1,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.33211949998804,246.50810749999073,246.5322232999897,246.80821569998807,246.80821569998807,247.30746899999212,247.30746899999212,247.30746899999212,k,1,0.5926574000041,247.92082039998786,,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_word_b,instruction/instr_word,instruction/i9_b,蓝,white,j,square,word_single,单词,0.19920386223101294,,,,,,,,,,0,1,1,1,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.93206329998793,249.10952459998953,249.1302541999903,249.42091259999142,249.40963850000117,,249.91998449999664,249.91998449999664,j,1,0.6189732999919215,250.55494409998937,251.5550957999949,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_word_b,instruction/instr_word,instruction/i9_b,蓝,white,j,square,word_single,单词,0.26360599864925405,,,,,,,,,,0,1,1,1,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.5550957999949,251.75436669999908,251.76365689998784,252.05477459999383,252.05477459999383,,252.56327769999916,252.56327769999916,j,1,0.6709772999893175,253.25561029999517,254.2555665999971,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_word_b,instruction/instr_word,instruction/i9_b,蓝,white,j,square,word_single,单词,0.358985675745526,,,,,,,,,,0,1,1,1,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.2555665999971,254.45391630000086,254.46273919999658,254.75328160000208,254.75328160000208,,255.2545306999964,255.2545306999964,j,1,0.7242033999937121,255.99977589999617,,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_word_b,instruction/instr_word,instruction/i9_b,绿,white,d,square,word_single,单词,0.36496733802487347,,,,,,,,,,0,1,1,1,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.01010549999774,257.1849566999881,257.20951929999865,257.4854532999889,257.4854532999889,257.986888799991,257.986888799991,257.986888799991,d,1,1.0481602999934694,259.0541860999947,260.05250059999526,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_word_b,instruction/instr_word,instruction/i9_b,黄,white,f,square,word_single,单词,0.3743513623756727,,,,,,,,,,0,1,1,1,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.05250059999526,260.2522498999897,260.2522498999897,260.55190959999163,260.55190959999163,261.06509609999193,261.06509609999193,261.06509609999193,f,1,0.7858059999998659,261.86635149999347,,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_word_b,instruction/instr_word,instruction/i9_b,红,white,k,square,word_single,单词,0.3894803852598544,,,,,,,,,,0,1,1,1,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.87442870000086,263.0649975999986,263.07408649999707,263.36937119999493,263.36937119999493,,263.8677689999895,263.8677689999895,k,1,0.6063147999957437,264.48716439999407,,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_word_b,instruction/instr_word,instruction/i9_b,绿,white,d,square,word_single,单词,0.5393759672408067,,,,,,,,,,0,1,1,1,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.49820799999,265.67377829999896,265.69857090000005,265.97421380000014,265.97421380000014,266.4759436000022,266.4759436000022,266.4759436000022,d,1,1.0306751000025542,267.5220616000006,,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_word_b,instruction/instr_word,instruction/i9_b,蓝,white,j,square,word_single,单词,0.5995731954831104,,,,,,,,,,0,1,1,1,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.53177770000184,268.7197271999903,268.7306921999989,269.030502900001,269.0208464999887,269.5233911999967,269.5233911999967,269.5233911999967,j,1,0.5915963000006741,270.1319950999896,271.13138819999585,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_word_b,instruction/instr_word,instruction/i9_b,红,white,k,square,word_single,单词,0.6298674479151414,,,,,,,,,,0,1,1,1,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.13138819999585,271.3291287999891,271.3291287999891,271.62933599999815,271.62933599999815,272.13166269999056,272.13166269999056,272.13166269999056,k,1,0.38427220001176465,272.5310494000005,273.5297094999987,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_word_b,instruction/instr_word,instruction/i9_b,红,white,k,square,word_single,单词,0.7389942282348904,,,,,,,,,,0,1,1,1,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.5297094999987,273.7311272999941,273.7311272999941,274.0299989999912,274.0299989999912,274.529910799989,274.529910799989,274.529910799989,k,1,0.6650764999940293,275.20978239999386,,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
condition/block_word_b,instruction/instr_word,instruction/i9_b,绿,white,d,square,word_single,单词,0.7550853947239682,,,,,,,,,,0,1,1,1,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.21915839999565,276.40916959999595,276.4182281999965,276.70992809999734,276.70992809999734,,277.21191919999546,277.21191919999546,d,1,0.7193733000021894,277.9446683999995,,,,,,,,,,,,,,,,,,,12007,2,2,2024-06-14_18h02.08.375,stroop_task_switching2_b,2022.2.4,None,
